generation,rank_1,rank_2,swapAccepted
1000,2,3,0
2000,3,4,1
3000,1,3,1
4000,2,4,0
5000,1,3,0
6000,1,2,0
7000,1,4,0
8000,2,3,0
9000,1,3,0
10000,1,3,0
11000,2,4,0
12000,1,2,0
13000,1,4,0
14000,1,3,0
15000,3,4,0
16000,3,4,0
17000,2,3,0
18000,1,4,0
19000,2,3,0
20000,1,2,0
21000,1,3,0
22000,3,4,0
23000,1,2,0
24000,2,4,0
25000,1,3,0
26000,2,4,0
27000,3,4,0
28000,3,4,0
29000,1,2,0
30000,1,4,0
31000,1,3,0
32000,3,4,0
33000,2,4,0
34000,1,3,0
35000,1,4,0
36000,1,4,0
37000,3,4,0
38000,2,4,0
39000,3,4,0
40000,3,4,0
41000,1,2,0
42000,2,3,0
43000,3,4,0
44000,1,2,0
45000,3,4,0
46000,2,3,0
47000,2,4,0
48000,1,2,0
49000,2,3,0
50000,2,3,0
51000,1,3,0
52000,2,3,0
53000,1,4,0
54000,1,2,0
55000,1,3,0
56000,2,3,0
57000,1,3,0
58000,2,4,0
59000,2,3,0
60000,2,3,0
61000,2,4,0
62000,1,2,0
63000,3,4,0
64000,2,3,0
65000,3,4,0
66000,2,3,0
67000,2,3,0
68000,2,4,0
69000,2,4,0
70000,1,2,0
71000,3,4,0
72000,1,3,0
73000,1,3,0
74000,1,3,0
75000,2,3,0
76000,1,4,0
77000,1,4,0
78000,1,2,0
79000,2,4,0
80000,2,3,0
81000,1,3,0
82000,2,3,0
83000,2,3,0
84000,1,4,0
85000,3,4,0
86000,2,4,0
87000,1,2,0
88000,1,2,0
89000,3,4,0
90000,2,4,0
91000,1,2,0
92000,2,3,0
93000,1,3,0
94000,2,4,0
95000,1,2,0
96000,2,4,0
97000,1,4,0
98000,2,4,0
99000,2,3,0
100000,1,2,0
101000,3,4,0
102000,1,2,0
103000,1,3,0
104000,2,3,0
105000,1,4,0
106000,3,4,0
107000,1,2,0
108000,1,4,0
109000,2,4,0
110000,2,3,0
111000,1,2,0
112000,1,4,0
113000,3,4,0
114000,1,4,0
115000,1,3,0
116000,1,4,0
117000,2,4,0
118000,1,2,0
119000,2,4,0
120000,1,4,0
121000,1,3,0
122000,1,4,0
123000,3,4,0
124000,1,2,0
125000,3,4,0
126000,1,3,0
127000,1,3,0
128000,1,4,0
129000,2,3,0
130000,2,3,0
131000,3,4,0
132000,1,4,0
133000,1,4,0
134000,3,4,0
135000,1,2,0
136000,2,4,0
137000,2,3,0
138000,1,4,0
139000,1,2,0
140000,2,3,0
141000,3,4,0
142000,2,3,0
143000,3,4,0
144000,1,3,0
145000,2,4,0
146000,1,2,0
147000,2,4,0
148000,1,2,0
149000,1,2,0
150000,3,4,0
151000,2,3,0
152000,1,4,0
153000,1,2,0
154000,3,4,0
155000,1,2,0
156000,2,3,0
157000,3,4,0
158000,3,4,0
159000,2,3,0
160000,3,4,0
161000,1,3,0
162000,2,3,0
163000,3,4,0
164000,2,4,0
165000,1,4,0
166000,1,3,0
167000,1,2,0
168000,2,4,0
169000,3,4,0
170000,2,4,0
171000,1,3,0
172000,1,2,0
173000,2,4,0
174000,1,3,0
175000,1,3,0
176000,2,4,0
177000,1,3,0
178000,1,3,0
179000,1,3,0
180000,3,4,0
181000,1,4,0
182000,3,4,0
183000,3,4,0
184000,1,2,0
185000,1,2,0
186000,1,3,0
187000,1,3,0
188000,2,4,0
189000,1,4,0
190000,1,4,0
191000,1,3,0
192000,3,4,0
193000,1,4,0
194000,2,4,0
195000,2,4,0
196000,2,4,0
197000,1,4,0
198000,1,4,0
199000,1,3,0
200000,2,3,0
201000,1,3,0
202000,1,4,0
203000,2,4,0
204000,2,3,0
205000,1,2,0
206000,2,3,0
207000,2,3,0
208000,1,2,0
209000,3,4,0
210000,2,4,0
211000,1,3,0
212000,2,3,0
213000,1,2,0
214000,1,2,0
215000,1,2,0
216000,1,2,0
217000,1,2,0
218000,3,4,0
219000,2,3,0
220000,3,4,0
221000,1,2,0
222000,1,4,0
223000,3,4,0
224000,1,3,0
225000,3,4,0
226000,3,4,0
227000,1,4,0
228000,2,4,0
229000,2,3,0
230000,1,4,0
231000,3,4,0
232000,2,4,0
233000,1,4,0
234000,1,2,0
235000,1,3,0
236000,1,2,0
237000,2,4,0
238000,1,4,0
239000,1,3,0
240000,1,2,0
241000,3,4,0
242000,2,4,0
243000,1,4,0
244000,1,3,0
245000,1,4,0
246000,2,3,0
247000,1,4,0
248000,1,3,0
249000,2,3,0
250000,1,2,0
251000,2,3,0
252000,1,3,0
253000,1,2,0
254000,2,4,0
255000,1,4,0
256000,1,3,0
257000,1,2,0
258000,1,3,0
259000,2,3,0
260000,1,3,0
261000,1,2,0
262000,2,4,0
263000,2,3,0
264000,2,4,0
265000,3,4,0
266000,1,2,0
267000,3,4,0
268000,1,4,0
269000,1,2,0
270000,3,4,0
271000,3,4,0
272000,2,3,0
273000,1,3,0
