generation,leftchild,rightchild,abstime,betainit,betashift
0,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.5,0
1000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0796348,0
2000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0753853,0
3000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0754222,0
4000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0696828,0
5000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0684527,0
6000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0683783,0
7000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.06609,0
8000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0637573,0
9000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.06204,0
10000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0631839,0
11000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0624465,0
12000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0624465,0
13000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0592099,0
14000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0577384,0
15000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0535324,0
16000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0538798,0
17000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0538798,0
18000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0533349,0
19000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0493869,0
20000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0493869,0
21000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0493869,0
22000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.046878,0
23000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0485545,0
24000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.047188,0
25000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0449261,0
26000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0453921,0
27000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0438074,0
28000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0447064,0
