generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-200.21,-14014.4,1,0
1000,8,14.1821,-8631.27,7.31621,0.61
2000,15,105.216,-7543.01,6.0295,0.573
3000,7,28.5027,-6898.99,3.15465,0.554815
4000,16,105.092,-6726.21,7.82188,0.506
5000,26,197.33,-6462.81,11.6543,0.522
6000,30,229.835,-6248.86,13.4622,0.534
7000,35,287.205,-5939.53,18.5281,0.525
8000,40,335.434,-5849.23,17.6289,0.522
9000,50,411.594,-5561.18,31.3997,0.523
10000,54,449.173,-5291.15,26.5875,0.535
11000,58,486.636,-5190.13,27.1497,0.511
12000,58,482.314,-5012.15,27.1497,0.524
13000,64,538.621,-4753.43,33.041,0.504
14000,61,527.893,-4541.59,24.8281,0.495
15000,64,553.966,-4463.82,29.6428,0.503
16000,67,589.039,-4365.82,25.567,0.497
17000,69,597.395,-4175.32,38.8266,0.479
18000,75,648.686,-4107.99,37.5823,0.509
19000,75,639.198,-4061.18,38.7809,0.484
20000,79,674.277,-3957.94,39.0678,0.516
21000,87,746.669,-3834.8,39.0678,0.466
22000,94,808.005,-3742.11,48.3449,0.5
23000,102,884.129,-3703.15,50.3575,0.491
24000,100,858.608,-3537.61,55.6014,0.513
25000,98,838.358,-3346.23,52.7956,0.466
26000,97,826.07,-3280.71,53.6512,0.479
27000,102,865.545,-3160.02,61.8227,0.493
28000,104,886.493,-3061.66,59.6801,0.463
29000,109,932.433,-2947.32,57.7082,0.468
30000,109,929.754,-2878.73,59.4096,0.461
31000,112,969.25,-2751.03,47.0296,0.465
32000,125,1086.81,-2712.78,48.6016,0.464
33000,127,1082.16,-2640.42,73.1755,0.462
34000,129,1104.49,-2586.1,68.1951,0.428
35000,135,1168.5,-2510.56,68.7947,0.478
36000,142,1220.43,-2395.07,84.6441,0.459
37000,142,1234.84,-2289.04,66.0531,0.444
38000,131,1143.39,-2270.6,55.713,0.453
39000,135,1163.32,-2196.98,64.7798,0.471
40000,131,1133.26,-2106.19,64.7798,0.46
41000,138,1190.17,-2024.53,64.7798,0.466
42000,138,1183.66,-1945.82,69.0765,0.435
43000,138,1198.95,-1878.28,62.0026,0.46
44000,146,1262.52,-1834.31,70.017,0.452
45000,150,1298.51,-1776.44,69.6585,0.464
46000,159,1381.75,-1738.87,69.6585,0.449
47000,159,1366.31,-1642.43,88.1173,0.459
48000,158,1362.96,-1604.59,81.7033,0.441
49000,156,1324.93,-1554.15,92.0416,0.454
50000,164,1419.22,-1506.55,77.7239,0.483
51000,165,1423.08,-1434.87,77.7239,0.445
52000,162,1380.86,-1352.09,87.7144,0.465
53000,165,1414.41,-1295.53,82.9287,0.439
54000,164,1414.43,-1228.81,71.14,0.427
55000,174,1497.38,-1200.37,85.5764,0.448
