generation,rank_1,rank_2,swapAccepted
1000,2,3,0
2000,1,3,1
3000,1,2,1
4000,2,3,0
5000,1,2,1
6000,1,2,1
7000,2,4,0
8000,2,3,1
9000,2,4,0
10000,1,3,0
11000,2,3,0
12000,1,4,0
13000,3,4,1
14000,1,3,0
15000,1,3,0
16000,1,3,0
17000,2,3,0
18000,3,4,0
19000,1,3,0
20000,1,4,0
21000,1,2,0
22000,1,4,0
23000,3,4,0
24000,1,3,0
25000,2,3,1
26000,1,3,0
27000,1,2,0
28000,1,3,0
29000,1,4,0
30000,2,4,0
31000,1,4,0
32000,1,4,0
33000,2,3,1
34000,1,3,0
35000,1,4,0
36000,1,3,0
37000,1,4,0
38000,1,2,0
39000,1,2,0
40000,1,4,0
41000,2,3,0
42000,3,4,0
43000,1,4,0
44000,3,4,0
45000,1,2,0
46000,1,4,0
47000,3,4,0
48000,1,4,0
49000,2,3,0
50000,2,4,0
51000,1,4,0
52000,1,3,0
53000,2,3,0
54000,2,4,0
55000,1,4,0
56000,1,4,0
57000,3,4,0
58000,2,3,0
59000,2,3,0
60000,3,4,0
61000,1,3,0
62000,1,3,0
63000,2,4,0
64000,3,4,0
65000,1,3,0
66000,3,4,0
67000,2,4,0
68000,3,4,0
69000,2,3,1
70000,1,3,0
71000,1,3,0
72000,1,2,0
73000,1,3,0
74000,3,4,0
75000,1,3,0
76000,2,3,0
77000,1,3,0
78000,1,4,0
79000,1,4,0
80000,2,4,0
81000,2,3,0
82000,1,4,0
83000,3,4,0
84000,2,3,0
85000,1,2,0
86000,3,4,0
87000,2,4,0
88000,1,4,0
89000,2,4,0
90000,1,2,0
91000,1,3,0
92000,2,3,0
93000,2,3,0
94000,2,3,0
95000,1,4,0
96000,1,2,0
97000,2,4,0
98000,2,3,0
99000,2,3,0
100000,1,2,0
101000,1,3,0
102000,1,4,0
103000,2,3,0
104000,1,3,0
105000,1,2,0
106000,3,4,0
107000,2,3,0
108000,2,4,0
109000,1,4,0
110000,1,2,0
111000,2,3,0
112000,1,3,0
113000,1,3,0
114000,1,4,0
115000,1,4,0
116000,2,4,0
117000,3,4,0
118000,2,4,0
119000,2,3,0
120000,2,4,0
121000,2,4,0
122000,1,4,0
123000,3,4,0
124000,1,3,0
125000,3,4,0
126000,3,4,0
127000,1,4,0
128000,3,4,0
129000,2,4,0
130000,1,4,0
131000,3,4,0
132000,1,4,0
133000,1,3,0
134000,1,3,0
135000,2,4,1
136000,3,4,1
137000,1,3,0
138000,1,2,0
139000,2,4,0
140000,1,4,0
141000,2,4,0
142000,2,3,0
143000,2,4,0
144000,1,3,0
145000,3,4,0
146000,3,4,0
147000,2,3,0
148000,2,4,0
149000,1,3,0
150000,2,4,0
151000,1,3,0
152000,1,2,0
153000,2,3,0
154000,1,4,0
155000,1,2,0
156000,1,3,0
157000,3,4,0
158000,1,2,0
159000,2,3,0
160000,3,4,0
161000,1,4,0
162000,1,3,0
163000,1,3,0
164000,3,4,0
165000,2,4,0
166000,1,3,0
167000,2,4,0
168000,2,4,0
169000,1,4,0
170000,1,4,0
171000,3,4,0
172000,1,3,0
173000,2,3,0
174000,1,3,0
175000,1,2,1
176000,3,4,0
177000,2,3,0
178000,1,4,0
179000,1,3,0
180000,1,2,0
181000,1,2,0
182000,1,2,0
183000,3,4,0
184000,3,4,0
185000,1,2,0
186000,3,4,0
187000,1,4,0
188000,2,3,0
189000,3,4,0
190000,2,3,0
191000,3,4,0
192000,2,3,0
193000,2,4,0
194000,1,4,0
195000,1,3,0
196000,1,3,0
197000,2,4,0
198000,1,2,0
199000,1,4,0
200000,1,4,0
201000,3,4,0
202000,3,4,0
203000,1,3,0
204000,3,4,0
205000,2,4,0
206000,1,4,0
207000,2,3,0
208000,3,4,0
209000,1,2,0
210000,3,4,0
211000,2,4,0
212000,1,4,0
213000,1,4,0
214000,1,4,0
215000,3,4,0
216000,1,2,0
217000,2,4,0
218000,2,3,0
219000,1,2,0
220000,1,2,0
221000,1,3,0
222000,2,4,0
223000,2,3,0
224000,2,3,0
225000,1,2,0
226000,1,4,0
227000,1,4,0
228000,3,4,0
229000,2,4,0
230000,1,2,0
231000,3,4,0
232000,1,3,0
233000,2,3,0
234000,1,2,0
235000,2,3,0
236000,1,4,0
237000,3,4,0
238000,1,2,0
239000,1,4,0
240000,2,4,0
241000,2,3,0
242000,2,4,0
243000,3,4,0
244000,2,3,0
245000,1,3,0
246000,1,2,0
247000,1,2,0
248000,3,4,0
249000,1,4,0
250000,2,3,0
251000,1,3,0
252000,1,2,0
253000,1,2,0
254000,2,3,0
255000,1,4,0
256000,2,3,0
257000,1,2,0
258000,1,4,0
259000,3,4,0
260000,3,4,0
261000,1,4,0
262000,1,3,0
263000,2,3,0
264000,3,4,0
265000,1,2,0
266000,3,4,0
267000,2,3,0
268000,2,3,0
269000,2,3,0
270000,3,4,0
271000,2,3,0
272000,3,4,0
273000,2,3,0
274000,1,4,0
275000,2,4,0
276000,3,4,0
277000,1,3,0
278000,2,3,0
279000,2,3,0
280000,2,4,0
281000,2,3,0
282000,2,4,0
283000,2,4,0
284000,3,4,0
285000,3,4,0
286000,2,4,0
287000,2,3,0
288000,2,4,0
289000,1,3,0
290000,2,3,0
291000,1,2,0
292000,3,4,0
293000,1,3,0
294000,2,4,0
295000,1,2,0
296000,2,3,0
297000,2,3,0
298000,1,4,0
299000,1,4,0
300000,1,2,0
301000,1,2,0
302000,1,4,0
303000,2,4,0
304000,1,4,0
305000,3,4,0
306000,1,2,0
307000,2,4,0
308000,1,2,0
309000,2,4,0
310000,3,4,0
311000,2,4,0
