generation,leftchild,rightchild,abstime,betainit,betashift
0,Anseranas_semipalmata,Steatornis_caripensis,0,0.5,0
1000,Anseranas_semipalmata,Steatornis_caripensis,0,3.02272,0.422926
1000,Cacomantis_sepulcralis,Cacomantis_sonneratii,84.7508,63183,-0.0220482
1000,Anhinga_anhinga,NA,100.28,55807.8,-0.00185066
2000,Anseranas_semipalmata,Steatornis_caripensis,0,8.6643,0.422926
2000,Cacatua_alba,Cacatua_moluccensis,90.4897,5157.79,0.0028992
2000,Cacomantis_sepulcralis,Cacomantis_sonneratii,84.7508,20917.2,-0.0220482
2000,Anhinga_anhinga,Anhinga_novaehollandiae,93.9619,57305.6,-0.00185066
2000,Morus_serrator,Morus_capensis,95.595,22579.6,0.00684693
2000,Tauraco_leucotis,Musophaga_rossae,56.8628,54722.1,-0.0156108
3000,Anseranas_semipalmata,Steatornis_caripensis,0,15.6918,0.512192
3000,Accipiter_henstii,NA,89.7098,7681.97,0.00436655
3000,Ampelioides_tschudii,Pipreola_jucunda,84.5017,18262.4,-0.0185164
3000,Cacatua_alba,Cacatua_moluccensis,92.3841,4198.42,0.0028992
3000,Cacomantis_sepulcralis,Cacomantis_sonneratii,84.7508,38899.5,-0.0220482
3000,Anhinga_anhinga,Anhinga_novaehollandiae,89.1767,28225.1,-0.00185066
3000,Morus_serrator,Morus_capensis,96.9804,22952.3,0.00684693
3000,Tauraco_leucotis,Musophaga_rossae,58.7383,58679.6,-0.0156108
4000,Anseranas_semipalmata,Steatornis_caripensis,0,23.1877,0.512192
4000,Accipiter_henstii,NA,89.7098,7302.81,0.00436655
4000,Lophoictinia_isura,Henicopernis_longicauda,89.0654,230338,-0.000900096
4000,Orthonyx_temminckii,Orthonyx_spaldingii,68.9364,45666.3,-0.0150163
4000,Pipreola_jucunda,Pipreola_formosa,86.666,16205.9,-0.0185164
4000,Cacatua_alba,Cacatua_moluccensis,93.5657,7234.66,0.0028992
4000,Podilymbus_podiceps,NA,60.3738,189958,-0.00309954
4000,Cacomantis_sepulcralis,Cacomantis_sonneratii,84.7508,23061.9,-0.0220482
4000,Phalacrocorax_carunculatus,NA,96.534,223176,0.0114454
4000,Anhinga_anhinga,Anhinga_novaehollandiae,89.332,21739.9,-0.00185066
4000,Morus_serrator,Morus_capensis,96.1192,32942.8,0.00684693
4000,Tauraco_leucotis,Musophaga_rossae,58.8828,32120.8,-0.0156108
5000,Anseranas_semipalmata,Steatornis_caripensis,0,23.1877,0.512192
5000,Pandion_haliaetus,NA,68.1646,85426.9,-0.00575641
5000,Accipiter_henstii,NA,90.5131,7302.81,0.00436655
5000,Hamirostra_melanosternon,Lophoictinia_isura,86.0115,230338,-0.000900096
5000,Tockus_hartlaubi,NA,89.6031,25605.2,-0.00740407
5000,Orthonyx_temminckii,Orthonyx_spaldingii,68.9364,53258.5,-0.0150163
5000,Pipreola_jucunda,Pipreola_formosa,86.666,8789.82,-0.0185164
5000,Cacatua_alba,Cacatua_moluccensis,91.0128,6548.24,-0.0230348
5000,Arenaria_interpres,Calidris_bairdii,68.0601,14531.6,0.00507443
5000,Poliocephalus_rufopectus,Aechmophorus_occidentalis,58.8933,183889,-0.00309954
5000,Cacomantis_sepulcralis,Cacomantis_sonneratii,84.7541,22627.1,-0.0220482
5000,Scythrops_novaehollandiae,NA,68.5058,22735.4,-0.00225225
5000,Eupodotis_rueppellii,NA,92.3987,55145.8,-0.00246715
5000,Phalacrocorax_carunculatus,NA,95.1596,172431,0.0114454
5000,Anhinga_anhinga,Anhinga_novaehollandiae,87.5525,20821.5,-0.00185066
