generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.78865,-8.22525e+009,1,0
1000,8,-3659.63,-1.00166e+009,1.98195,0.099
2000,11,-1755.66,-1.15402e+008,4.66059,0.102949
3000,10,-1745.63,-6.87648e+007,7.5542,0.0949683
4000,12,-1920.06,-4.36692e+007,5.66449,0.091
5000,21,-1879.04,-3.20235e+007,9.89184,0.097
6000,18,-2385.75,-1.12025e+007,11.0373,0.0975
7000,27,-2454.57,-1.03969e+007,13.9332,0.119
8000,27,-3435.08,-9.74152e+006,15.2754,0.107
9000,32,-3484.39,-9.44317e+006,19.2255,0.105
10000,35,-3513.37,-9.27764e+006,17.9727,0.119
11000,39,-3545.37,-8.97579e+006,22.2092,0.123
12000,39,-4270.11,-8.06792e+006,21.4853,0.116
13000,34,-3787.04,-7.75986e+006,31.3329,0.137
14000,35,-3101.15,-5.10269e+006,16.1111,0.125
15000,35,-3103.97,-599959,16.6952,0.273
16000,43,-2662.32,-534312,21.2752,0.295
17000,46,-2700.69,-422810,21.2206,0.276
18000,45,-2762.58,-280594,24.8666,0.263
19000,51,-13167.3,-244216,21.6206,0.276
20000,59,-13195.8,-241680,25.8746,0.274
21000,63,-13231.3,-240823,31.9656,0.322
22000,71,-13232.5,-240123,31.9656,0.311
23000,73,-9233.97,-230083,35.4145,0.302
24000,74,-9246.31,-217678,36.9653,0.317
25000,83,-9313.87,-215526,34.0633,0.298
26000,90,-3180.76,-215076,41.7581,0.292
27000,94,-3217.93,-213784,45.154,0.316
28000,99,-3255.08,-206110,48.1733,0.284
29000,104,-3299.04,-205207,49.7001,0.305
30000,105,-3312.23,-196764,54.019,0.309
31000,107,-3329.36,-191027,54.6009,0.302
32000,107,-3341.2,-190515,56.5765,0.322
33000,107,-3330.74,-188349,53.5022,0.286
34000,105,-3312.64,-188256,54.0698,0.303
35000,115,-3254.26,-169265,55.6702,0.305
36000,115,-3255.53,-168382,57.5638,0.315
37000,111,-3213.53,-166320,51.2481,0.292
38000,114,-3246.59,-160253,53.9756,0.28
39000,125,-3240.64,-159641,60.7851,0.298
40000,130,-3291.26,-158722,64.4491,0.295
41000,138,-3348.26,-157939,66.662,0.279
42000,136,-3327.43,-157653,64.6909,0.273
43000,134,-3317.15,-156608,67.1215,0.281
44000,137,-3346.02,-156598,73.1053,0.303
45000,144,-3399.18,-156417,75.1449,0.301
46000,145,-3403.94,-155768,75.775,0.272
47000,150,-3443.09,-155220,80.8871,0.299
48000,155,-3488.84,-155057,77.2756,0.275
49000,156,-3493.4,-152070,75.9366,0.285
50000,165,-3581.38,-151757,84.4989,0.281
51000,165,-2888.99,-150068,78.52,0.287
52000,170,-2942.17,-147414,88.2062,0.284
53000,176,-2994.14,-146264,80.8888,0.282
54000,172,-2917.3,-145696,88.8546,0.273
55000,175,-2936.92,-145348,80.7658,0.262
56000,182,-2999.25,-145260,89.5353,0.254
57000,189,-3068.07,-143778,95.1702,0.249
58000,188,-3064.43,-143214,94.8002,0.297
59000,190,-3082.88,-142905,100.413,0.284
60000,193,-3094.16,-142846,93.2991,0.297
61000,194,-3099.04,-142790,93.2991,0.239
62000,194,-3106.01,-142690,93.2991,0.248
63000,190,-3085.34,-142282,92.8188,0.266
64000,188,-3083.81,-142108,107.977,0.278
65000,195,-3129.21,-141742,94.0097,0.272
66000,195,-3123.31,-140746,94.0097,0.268
67000,199,-3166.3,-140491,94.0097,0.267
68000,201,-3175.68,-140293,94.0097,0.228
69000,197,-3151.3,-140220,109.881,0.261
70000,200,-3173.93,-140132,106.77,0.259
71000,203,-3190.25,-140090,99.3325,0.28
72000,204,-3201.32,-139468,99.3325,0.259
73000,203,-3199.25,-139402,101.667,0.302
74000,203,-3210.15,-139365,112.561,0.283
75000,204,-3224.81,-138979,114.165,0.261
76000,199,-3162.89,-138862,97.8048,0.297
77000,200,-3177.84,-138796,97.8048,0.269
78000,201,-3192.03,-138741,103.164,0.263
79000,207,-3239.27,-138680,102.01,0.249
80000,202,-3200.45,-138572,97.1424,0.276
81000,207,-3239.44,-138372,103.709,0.253
82000,210,-3252.57,-137668,85.0178,0.253
83000,211,-3289.75,-137605,109.989,0.251
84000,209,-3268.04,-137196,109.989,0.24
85000,207,-3244.81,-137153,110.611,0.226
86000,205,-3207.02,-137048,94.382,0.267
87000,207,-3224.6,-137017,102.634,0.231
88000,209,-3238.08,-136937,102.634,0.236
89000,208,-3248.7,-136811,124.526,0.226
90000,206,-3206.69,-136761,100.417,0.227
91000,203,-3187.83,-136689,104.76,0.245
92000,200,-3144.77,-136624,91.4887,0.27
93000,200,-3162.77,-136481,104.605,0.25
94000,204,-3201.66,-136260,104.69,0.246
95000,200,-3082.8,-136149,95.19,0.239
96000,197,-3058.67,-136085,97.8143,0.256
97000,195,-3043.09,-136051,96.7713,0.216
98000,191,-2636.78,-136024,89.2191,0.23
99000,192,-2649.38,-135965,89.3436,0.244
100000,197,-2699.12,-135879,100.496,0.251
101000,211,-2806.97,-135817,95.1701,0.263
102000,217,-2860.21,-135727,98.3213,0.236
103000,216,-2705.74,-135656,98.3213,0.22
104000,210,-2649.61,-135618,98.1008,0.246
105000,206,-2603.41,-135544,86.6716,0.238
106000,198,-2548.56,-135504,100.964,0.233
107000,199,-2551.43,-135457,102.029,0.23
108000,203,-2591.64,-135411,106.416,0.238
109000,210,-2636,-135347,91.2424,0.219
110000,208,-2619.72,-135313,92.0934,0.225
111000,208,-2625.57,-135294,103.29,0.239
112000,207,-2556.15,-135278,95.1201,0.226
113000,207,-2575.29,-135190,101.226,0.206
114000,208,-2591.72,-135133,110.266,0.21
115000,211,-2623.71,-135062,117.435,0.261
116000,213,-2639.46,-135007,113.523,0.249
117000,218,-2665.1,-134975,106.145,0.226
118000,220,-2680.5,-134921,107.902,0.222
119000,222,-2701.77,-134929,107.902,0.24
120000,223,-2705.94,-134874,107.902,0.233
121000,222,-2708.54,-134863,112.536,0.24
122000,221,-2712.63,-134799,122.079,0.236
123000,224,-2729.75,-134731,122.079,0.251
124000,222,-2697.63,-134694,102.049,0.246
125000,223,-2732.73,-134657,123.089,0.26
126000,225,-2738.84,-134612,108.235,0.238
127000,230,-2787.75,-134530,108.235,0.237
128000,231,-2610.82,-134563,125.453,0.232
129000,230,-2586.73,-134541,115.162,0.251
130000,226,-2554.08,-134413,115.162,0.222
131000,226,-2560.37,-134354,123.083,0.238
132000,237,-2631.39,-134304,106.582,0.24
133000,235,-2605.64,-133986,122.198,0.224
134000,241,-2464.62,-133902,109.112,0.248
135000,241,-2499.74,-133899,138.152,0.223
136000,241,-2487.56,-133836,113.723,0.241
137000,246,-2547.37,-133792,135.526,0.246
138000,251,-2582.29,-133729,122.914,0.219
139000,251,-2585.4,-133615,125.726,0.25
140000,257,-2648.57,-133558,135.021,0.243
141000,262,-2684.39,-133506,135.288,0.217
142000,263,-2689.21,-133470,135.288,0.217
143000,263,-2679.77,-133194,128.798,0.24
144000,266,-2720.63,-133128,136.661,0.224
145000,265,-2690.17,-133066,118.099,0.228
146000,262,-2673.55,-132963,136.131,0.227
147000,265,-2684.58,-132896,136.131,0.233
148000,267,-2695.09,-132864,136.267,0.22
149000,268,-2705.51,-132721,136.267,0.211
150000,273,-2753.82,-132675,147.424,0.232
151000,276,-2766.9,-132629,134.081,0.241
152000,274,-2759.5,-132574,134.081,0.23
153000,274,-2687.88,-132595,146.669,0.233
154000,275,-2696.63,-132558,145.389,0.22
155000,282,-2749.66,-132536,141.501,0.221
156000,283,-2763.52,-132493,150.246,0.231
157000,280,-2722.79,-132378,140.185,0.228
158000,275,-2679.39,-132339,137.342,0.218
159000,282,-2749.07,-132307,151.471,0.209
160000,279,-2716.38,-132269,139.264,0.224
161000,279,-2714.51,-132202,131.04,0.248
162000,282,-2736.12,-132078,131.04,0.213
163000,287,-2786.8,-132047,131.005,0.225
164000,284,-2758.41,-131969,133.985,0.227
165000,280,-2723.15,-131911,130.415,0.215
166000,275,-2699.3,-131876,150.43,0.219
167000,274,-2686.81,-131887,150.43,0.213
168000,278,-2704.94,-131834,133.68,0.223
169000,276,-2685.85,-131804,133.68,0.209
170000,282,-2741.52,-131765,134.27,0.222
171000,281,-2737.25,-131716,138.12,0.198
172000,280,-2730.47,-131616,138.12,0.229
173000,285,-2765.97,-131536,138.12,0.216
174000,290,-2823.54,-131486,153.028,0.259
175000,1112,-10372.4,-123389,551.66,0.145318
176000,1107,-10332.6,-123371,551.66,0.152
177000,1105,-10317.8,-123232,551.66,0.185
178000,1095,-10232.6,-123181,551.66,0.142
179000,1087,-10158.3,-121787,548.327,0.141
180000,1073,-10024,-121783,532.622,0.147
181000,1053,-9845.89,-121736,532.622,0.168
182000,1046,-9785.56,-121559,532.622,0.164
183000,1044,-9748.61,-121518,530.094,0.172
184000,1043,-9720.23,-121499,504.369,0.141
185000,1036,-9665.72,-121484,504.369,0.158
186000,1028,-9620.73,-121335,516.943,0.139
187000,1020,-9563.41,-121341,536.09,0.135
188000,1009,-9431.55,-121268,502.241,0.171
189000,1003,-9379.11,-121253,488.979,0.164
190000,983,-9204.79,-121254,481.423,0.168
191000,968,-9087.7,-121178,500.187,0.159
192000,950,-8947.62,-121098,500.187,0.162
193000,938,-8823.32,-120902,481.971,0.147
194000,930,-8754.4,-120859,481.971,0.149
195000,920,-8666.12,-120535,481.971,0.152
196000,919,-8612.98,-120512,441.149,0.146
197000,910,-8526.66,-120492,441.149,0.137
198000,896,-8405.8,-120235,441.149,0.175
199000,886,-8306.46,-120044,434.275,0.182
200000,880,-8245.36,-119907,434.275,0.146
201000,867,-8133.17,-119479,434.275,0.161
202000,857,-8046.16,-119419,434.275,0.154
203000,851,-8013.44,-119329,449.043,0.142
204000,847,-7973.28,-119314,449.043,0.161
205000,844,-7950.16,-119295,449.043,0.152
206000,837,-7839.73,-118972,394.187,0.156
207000,832,-7844.54,-118929,428.86,0.159
208000,833,-7844.73,-118491,419.292,0.159
209000,819,-7702.44,-118480,393.144,0.143
210000,811,-7631.44,-118110,396.507,0.151
211000,795,-7507.81,-117607,396.507,0.152
212000,788,-7448.52,-117553,396.507,0.144
213000,784,-7416.59,-117521,396.507,0.167
214000,782,-7402.12,-117440,396.507,0.154
215000,774,-7343.52,-117381,396.507,0.137
216000,774,-7356.09,-117321,410.107,0.153
217000,770,-7290.7,-117329,383.221,0.138
218000,759,-7201.72,-117173,383.762,0.18
219000,752,-7111.39,-117152,362.504,0.173
220000,748,-7068.94,-117133,362.504,0.138
221000,738,-7000.55,-117064,378.564,0.162
222000,739,-7011.91,-117065,378.564,0.161
223000,730,-6922.1,-117043,360.882,0.17
224000,724,-6874.66,-117003,372.322,0.146
225000,711,-6769.25,-116997,372.322,0.161
226000,699,-6701.64,-116820,394.82,0.165
227000,703,-6691.3,-116764,349.789,0.148
228000,699,-6674.92,-116690,366.197,0.148
229000,686,-6522.74,-116558,316.467,0.148
230000,678,-6476.84,-116516,334.568,0.154
231000,663,-6349.02,-116469,334.568,0.15
232000,654,-6271.28,-116465,331.509,0.162
233000,652,-6256.29,-116435,328.661,0.134
234000,639,-6130.46,-116415,316.521,0.155
235000,630,-6052.53,-116067,310.974,0.159
236000,627,-6013.95,-116021,297.623,0.165
237000,619,-5945.43,-116009,297.623,0.144
238000,621,-5962.98,-115984,297.623,0.145
239000,610,-5869.81,-115981,297.623,0.143
240000,606,-5829.11,-115974,297.623,0.149
241000,601,-5779.9,-115954,297.623,0.135
242000,591,-5712.82,-115914,317.913,0.156
243000,578,-5584.14,-115637,297.031,0.151
244000,572,-5540.92,-115615,297.031,0.142
245000,560,-5435.02,-115601,290.471,0.169
246000,551,-5369.22,-115601,295.465,0.158
247000,542,-5297.35,-115602,295.465,0.136
248000,533,-5227.44,-115563,295.465,0.152
249000,530,-5200.41,-115543,295.465,0.146
250000,516,-5042.44,-115528,244.479,0.147
251000,511,-5024.78,-115501,268.545,0.164
252000,501,-4941.3,-115039,268.545,0.16
253000,490,-4817.27,-115003,236.554,0.163
254000,486,-4779.63,-114906,239.435,0.155
255000,476,-4704.75,-114879,239.435,0.153
256000,473,-4686.03,-114866,239.435,0.167
257000,462,-4603.34,-114831,239.763,0.125
258000,457,-4557.55,-114656,239.763,0.138
259000,452,-4520.37,-114634,236.853,0.115
260000,445,-4434.78,-114619,210.227,0.139
261000,438,-4381.69,-114435,211.483,0.141
262000,429,-4300.97,-114286,207.734,0.143
263000,426,-4272.1,-114147,207.734,0.146
264000,415,-4177.77,-114141,206.31,0.161
265000,414,-4160.82,-114093,206.31,0.147
266000,411,-4128.1,-114064,198.603,0.137
267000,404,-4070.66,-113875,197.992,0.148
268000,403,-4103,-113807,236.943,0.139
269000,398,-3999.13,-113788,178.451,0.142
270000,398,-4016.24,-113760,194.02,0.128
271000,389,-3935.33,-113740,196.183,0.144
272000,386,-3908.9,-113728,196.183,0.149
273000,379,-3837.39,-113570,196.183,0.135
274000,378,-3810.46,-113548,175.902,0.13
275000,373,-3784.64,-113523,185.485,0.138
276000,364,-3696.87,-113482,172.146,0.152
277000,352,-3617.95,-113480,188.756,0.152
278000,346,-3531.66,-113474,156.047,0.174
279000,340,-3478.19,-113430,156.047,0.139
280000,328,-3406.6,-113419,182.742,0.146
281000,325,-3373.81,-113379,173.055,0.145
282000,324,-3350.92,-113310,155,0.138
283000,320,-3318.36,-113280,154.794,0.139
284000,315,-3286.6,-113238,160.777,0.149
285000,310,-3245.57,-113228,160.777,0.131
286000,308,-3235.61,-113201,167.108,0.123
287000,303,-3195.11,-113190,170.296,0.169
288000,299,-3144.03,-113126,157.504,0.153
289000,289,-3059.9,-113117,157.504,0.126
290000,284,-3023.33,-112550,157.504,0.137
291000,282,-2999.3,-112536,150.086,0.165
292000,279,-2974.86,-112477,150.086,0.152
293000,275,-2918.15,-112424,128.015,0.131
294000,274,-2895.07,-112319,115.017,0.128
295000,270,-2887.36,-112285,133.176,0.157
296000,265,-2847.47,-112272,133.176,0.137
297000,256,-2773.35,-112137,133.176,0.131
298000,259,-2794.36,-112118,128.354,0.136
299000,260,-2812.06,-112107,135.58,0.139
300000,255,-2769,-112061,136.59,0.134
301000,254,-2769.84,-111953,139.997,0.125
302000,246,-2689.3,-111957,134.718,0.141
303000,242,-2649.3,-111945,133.406,0.132
304000,237,-2585.85,-111929,116.631,0.141
305000,238,-2602.05,-111909,126.429,0.161
306000,228,-2501.95,-111896,108.721,0.143
307000,234,-2569.06,-111903,123.901,0.144
308000,227,-2509.13,-111868,123.901,0.132
309000,228,-2522.45,-111847,130.902,0.124
310000,226,-2219.05,-111862,116.228,0.16
311000,230,-2251.9,-111865,116.3,0.12
312000,221,-2182.9,-111856,118.017,0.126
313000,214,-2119.22,-111802,114.188,0.14
314000,202,-2017.5,-111744,107.763,0.144
315000,202,-2018.07,-111742,106.123,0.13
316000,202,-2011.33,-111715,102.893,0.139
317000,202,-2012.91,-111655,102.22,0.127
318000,194,-1933.08,-111659,89.2865,0.138
319000,189,-1884.67,-111649,85.8135,0.125
320000,181,-1822.07,-111631,95.6507,0.141
321000,183,-1843.38,-111569,99.6677,0.132
322000,187,-1868.73,-111540,92.8062,0.139
323000,189,-1900.35,-111542,104.733,0.147
324000,193,-1913.11,-111515,85.9358,0.152
325000,196,-1948.41,-111484,95.3584,0.14
326000,189,-1884.6,-111483,87.0712,0.112
327000,189,-1907.59,-111454,87.0712,0.106
328000,189,-1909.32,-111442,86.6107,0.135
329000,188,-1908.75,-111438,89.3959,0.148
330000,185,-1890.69,-111400,88.5802,0.128
331000,183,-1877.4,-111374,88.887,0.153
332000,181,-1862.12,-111348,88.887,0.124
333000,177,-1826.83,-111361,88.887,0.129
334000,176,-1818.26,-111287,88.887,0.143
335000,175,-1828.42,-111259,99.3013,0.139
336000,178,-1849.31,-111253,99.3013,0.132
337000,178,-1830.6,-111222,80.6014,0.122
338000,181,-1880.47,-111187,103.376,0.164
339000,176,-1827.32,-111187,86.5029,0.13
340000,176,-1833.39,-111166,89.8259,0.127
341000,180,-1853.84,-111161,85.8132,0.128
342000,174,-1810.43,-111159,87.362,0.146
343000,175,-1814.23,-111150,85.0106,0.135
344000,172,-1770.57,-111119,73.1133,0.126
345000,166,-1741.12,-111110,89.9415,0.143
346000,165,-1716.65,-111089,77.9134,0.118
347000,163,-1709.4,-111097,87.276,0.156
348000,164,-1657.78,-111037,76.2319,0.151
349000,166,-1687.63,-110995,90.2289,0.116
350000,160,-1638.16,-110976,83.794,0.137
351000,151,-1557.91,-110965,72.2354,0.121
352000,152,-1562.94,-110930,73.4535,0.119
