generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,3,1
3000,1,2,1
4000,3,4,0
5000,1,3,1
6000,1,3,1
7000,3,4,0
8000,3,4,0
9000,3,4,0
10000,1,3,0
11000,1,4,0
12000,2,3,1
13000,1,3,1
14000,1,3,1
15000,2,4,0
16000,2,3,1
17000,1,3,0
18000,1,3,1
19000,1,4,0
20000,1,2,1
21000,2,3,1
22000,1,2,1
23000,1,3,1
24000,1,3,0
25000,3,4,0
26000,1,2,1
27000,1,3,1
28000,1,2,1
29000,1,4,0
30000,2,4,0
31000,3,4,0
32000,1,2,1
33000,1,2,1
34000,1,3,1
35000,1,4,0
36000,1,3,1
37000,2,4,0
38000,1,3,1
39000,3,4,0
40000,1,2,1
41000,1,4,0
42000,1,4,0
43000,3,4,0
44000,2,4,0
45000,1,4,0
46000,3,4,0
47000,1,4,0
48000,2,4,0
49000,2,4,0
50000,1,2,1
51000,1,3,0
52000,1,3,0
53000,1,3,0
54000,1,3,0
55000,2,4,0
56000,3,4,0
57000,1,2,0
58000,3,4,0
59000,1,2,1
60000,2,4,0
61000,3,4,0
62000,1,3,0
63000,1,4,0
64000,1,3,0
65000,2,3,0
66000,1,3,0
67000,2,4,0
68000,1,3,0
69000,1,3,0
70000,1,4,0
71000,1,4,0
72000,1,2,1
73000,2,3,0
74000,1,2,1
75000,2,3,0
76000,1,4,0
77000,1,4,0
78000,1,3,0
79000,1,4,0
80000,3,4,0
81000,1,3,0
82000,3,4,0
83000,1,4,0
84000,1,4,0
85000,2,3,0
86000,2,3,0
87000,1,3,0
88000,1,2,1
89000,3,4,0
90000,2,3,0
91000,1,2,1
92000,1,4,0
93000,2,3,0
94000,2,3,0
95000,1,2,1
96000,1,4,0
97000,2,4,0
98000,1,2,1
99000,1,4,0
100000,2,4,0
