generation,leftchild,rightchild,abstime,betainit,betashift
0,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.5,0
1000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0294549,-0.00520621
2000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.135162,-0.00520621
3000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0332802,-0.00520621
4000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0173409,0.0115682
5000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00539753,0.0115682
6000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.101382,0.0338937
7000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00721461,0.0318041
8000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00716424,0.0318041
9000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00176887,0.036721
10000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0146364,-0.000596838
11000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0241293,-0.000596838
12000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.015256,-0.000596838
13000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.473145,-0.000596838
14000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.154946,0.0135052
15000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0381595,0.0135052
16000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0087316,0.0242776
17000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00326905,0.00794921
18000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00425667,0.0101756
19000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00290597,0.0097494
20000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00141801,0.0097494
21000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.000886296,0.0097494
22000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00541989,0.00487884
23000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0201125,0.00710519
24000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0431837,0.00307484
25000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0737647,0.00307484
26000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0412434,0.00378799
27000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0658045,0.00156163
28000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0264261,0.00378799
29000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0159409,0.0141528
30000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00533561,0.0141528
31000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00204699,0.0119498
32000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00624384,0.0203047
33000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0474902,-0.00676937
34000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0106085,0.0124836
35000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.024231,0.0124836
36000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,1.4808,-0.0196624
37000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.574133,-0.0196624
38000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.00753341,-0.0009432
39000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0106576,-0.0009432
40000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0546775,-0.0113075
41000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0773047,-0.0113075
42000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.0652277,-0.0113075
43000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.292371,-0.0113075
44000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.163767,-0.0113075
45000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.17555,-0.0113075
46000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.270907,-0.0113075
47000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.175549,-0.0113075
48000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.935217,-0.0113075
49000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,2.63406,-0.0236008
50000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.429661,-0.0132365
51000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.464199,-0.0132365
52000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.317848,-0.0132365
53000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,1.29636,-0.0132365
54000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.344602,-0.0132365
55000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.185244,-0.0132365
56000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.325526,-0.0132365
57000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.904097,-0.0132365
58000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.55763,-0.0132365
59000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,2.14745,-0.0236008
60000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,0.834421,-0.0236008
61000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,1.12876,-0.0236008
62000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,25.8133,-0.0236008
63000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,23.1157,-0.0236008
64000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,4.78845,-0.0236008
65000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,1.71434,-0.0236008
66000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,6.90521,-0.0236008
67000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,7.13982,-0.0236008
68000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,4.40332,-0.0236008
69000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,33.3455,-0.0236008
70000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,59.5772,-0.0236008
71000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,218.091,-0.0236008
72000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,253.79,-0.028603
73000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,68.0703,-0.028603
74000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,124.01,-0.0236008
75000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,83.9365,-0.0154399
76000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,244.211,-0.0154399
77000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,36.6644,-0.0245613
78000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,5.20437,-0.0245613
79000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,16.2577,-0.0245613
80000,Ornithorhynchus_anatinus,Zaglossus_bruijnii,0,1.68162,-0.0222486
