generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-8.70789,-10.1692,1,1
1000,0,-8.14358,-4.86755,0.330807,0.7
2000,0,-8.00263,-6.15845,0.189861,0.64
3000,0,-8.32721,-5.25178,0.514435,0.695102
4000,0,-8.29171,-4.81624,0.065957,0.643
5000,0,-9.22534,-3.02908,0.999588,0.688862
6000,0,-12.5219,-8.39527,0.368474,0.6855
7000,0,-11.7441,-5.72999,0.121974,0.704
8000,0,-12.018,-6.8775,0.39583,0.607
9000,0,-13.5719,-2.5194,0.64585,0.675
10000,0,-8.6956,-3.65092,0.98634,0.62
11000,0,-7.90252,-4.45463,0.193255,0.662
12000,0,-8.5949,-3.87685,0.885643,0.681
13000,0,-9.15029,-9.8806,1.44102,0.685364
14000,0,-9.80306,-9.05368,1.38937,0.711
15000,0,-8.61115,-6.33037,0.197463,0.714
16000,0,-10.0627,-3.87952,0.0739699,0.689
17000,0,-7.98765,-2.8007,0.0352321,0.693
18000,0,-8.34638,-2.64443,0.237813,0.695308
19000,0,-8.98055,-5.28868,0.904837,0.688
20000,0,-8.78642,-1.91575,0.710708,0.677429
21000,0,-8.12451,-4.32221,0.0488065,0.543
22000,0,-8.09602,-2.83816,0.296029,0.5828
23000,0,-9.54046,-5.19687,1.63722,0.5765
24000,0,-8.11695,-6.05241,0.372479,0.715
25000,0,-8.45916,-7.08673,0.714687,0.724
26000,0,-7.84483,-6.0407,0.0814184,0.66
27000,0,-7.74856,-6.70062,0.0312419,0.7034
28000,0,-8.0968,-5.37571,0.333388,0.712667
29000,0,-9.09612,-4.69976,0.613114,0.671
30000,0,-9.71072,-3.24825,1.22772,0.708
31000,0,-8.26352,-2.24567,0.00304562,0.619
32000,0,-9.90357,-4.05908,0.600245,0.6556
33000,0,-9.23795,-5.2997,1.35274,0.5885
34000,0,-9.94988,-5.32738,1.63893,0.66425
35000,0,-11.1259,-5.46987,2.81494,0.683
36000,0,-11.0808,-7.05213,1.87683,0.690667
37000,0,-9.2214,-5.30658,0.0174139,0.662
38000,0,-8.8819,-3.47108,1.17058,0.711333
39000,0,-7.86174,-2.91137,0.150414,0.695
40000,0,-9.33515,-3.58398,1.13248,0.665875
41000,0,-8.56435,-3.82472,0.361681,0.61
42000,0,-8.8667,-3.69729,0.664026,0.623
43000,0,-9.29928,-5.76103,1.09661,0.607
44000,0,-8.52595,-5.08706,0.323282,0.645
45000,0,-8.32068,-5.84117,0.118009,0.641
46000,0,-8.22158,-6.22756,0.0189105,0.667
47000,0,-8.21086,-4.7884,0.00818676,0.593
48000,0,-8.2514,-8.22707,0.0487227,0.671
49000,0,-10.0191,-7.52012,0.155772,0.726
50000,0,-8.72919,-7.111,0.343294,0.646273
51000,0,-9.84297,-6.02375,1.45708,0.65
52000,0,-8.4248,-5.3225,0.0389051,0.672
53000,0,-9.50633,-7.90069,1.12042,0.681
54000,0,-8.89584,-5.72361,0.50995,0.715
55000,0,-8.65797,-4.70685,0.272076,0.668
56000,0,-8.46765,-5.41051,0.0817594,0.659
57000,0,-8.55182,-7.28216,0.165918,0.666
58000,0,-8.62136,-6.42499,0.23546,0.7
59000,0,-10.1657,-6.45287,0.302292,0.6964
60000,0,-10.4905,-6.01688,0.627122,0.589
61000,0,-10.5752,-6.2474,0.711811,0.62
62000,0,-10.1123,-10.7136,0.248648,0.689
63000,0,-9.86784,-10.5839,0.0042007,0.704
64000,0,-10.4132,-7.73782,0.549756,0.695
65000,0,-9.88081,-7.56957,0.0174508,0.647
66000,0,-10.8833,-9.13524,1.01987,0.667
67000,0,-10.5683,-8.34857,0.70488,0.678
68000,0,-10.3877,-7.71834,0.524321,0.68
69000,0,-9.86936,-11.1893,0.00559341,0.713
70000,0,-9.89666,-12.323,0.032558,0.706
71000,0,-10.9853,-14.8876,1.11921,0.747
72000,0,-11.3384,-13.8656,0.461226,0.676929
73000,0,-11.7308,-12.0815,0.85609,0.726
74000,0,-10.3805,-13.8977,0.515555,0.734333
75000,0,-8.65783,-15.3352,0.0263529,0.756
76000,0,-8.66438,-17.4658,0.0308485,0.733
77000,0,-10.2961,-11.0873,0.253303,0.732
78000,0,-10.4452,-8.37967,0.402788,0.716
79000,0,-10.1692,-9.65609,0.126597,0.704
80000,0,-9.6594,-6.43269,0.0359544,0.599
81000,0,-9.79202,-6.0813,0.168576,0.599
82000,0,-9.96836,-6.26409,0.344915,0.642
83000,0,-10.2106,-5.67729,0.58713,0.618
84000,0,-11.0153,-7.3317,0.794081,0.638
85000,0,-10.4919,-8.78935,0.27071,0.659
86000,0,-10.7491,-6.74959,0.398991,0.622
87000,0,-8.27196,-5.78905,0.0809431,0.665
88000,0,-10.0701,-5.90887,1.22557,0.699
89000,0,-10.1969,-6.9601,1.3524,0.636
90000,0,-9.54177,-5.68863,0.69726,0.62
91000,0,-8.74594,-5.65742,0.399619,0.666
92000,0,-8.42967,-5.603,0.0833473,0.611
93000,0,-8.88254,-3.89477,0.604661,0.673
94000,0,-8.68614,-3.78091,0.408262,0.644
95000,0,-9.27984,-7.67034,0.303998,0.6626
96000,0,-10.404,-7.07745,0.574744,0.707
97000,0,-10.9786,-7.26749,1.14925,0.608
98000,0,-9.10668,-5.97445,0.220591,0.65375
99000,0,-9.05272,-4.85865,0.166643,0.607
