generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,0.5,0
1000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.87826,1.68322
1000,Monodelphis_americana,NA,244.424,63067.7,0.0184584
1000,Metachirus_nudicaudatus,NA,245.573,48069.9,0.011206
1000,Myrmecobius_fasciatus,Pseudantechinus_ningbing,208.962,11220.6,0.0100648
1000,Crocidura_sicula,Crocidura_zimmermanni,239.223,49485.8,0.0106088
1000,Rhinopoma_microphyllum,Rhinopoma_hadramauticum,242.795,31235,0.0149906
1000,Vicugna_vicugna,Camelus_ferus,233.491,302734,0.00373761
1000,Bos_sauveli,Bos_gaurus,244.084,228690,0.326364
1000,Aotus_trivirgatus,Nomascus_nasutus,196.063,126099,0.674416
1000,Thaptomys_nigrita,Podoxymys_roraimae,240.899,264361,-0.00402443
1000,Saccostomus_campestris,Steatomys_krebsii,226.607,50148.3,-0.0130266
1000,Chiruromys_vates,Lorentzimys_nouhuysi,237.577,17892.8,0.0052957
1000,Elephantulus_intufi,Solenodon_paradoxus,161.735,131416,0.24878
1000,Ornithorhynchus_anatinus,NA,0.0473916,88053.6,-0.00889494
1000,Ornithorhynchus_anatinus,NA,227.195,49359,0.157118
2000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.87826,1.56749
2000,Rhyncholestes_raphanurus,Caenolestes_convelatus,192.521,63834.4,-0.0243803
2000,Phascogale_tapoatafa,NA,243.245,13853.4,0.00457082
2000,Myrmecobius_fasciatus,Pseudantechinus_ningbing,208.962,11220.6,0.0100648
2000,Lagostrophus_fasciatus,NA,234.638,121326,0.00805827
2000,Crocidura_obscurior,Crocidura_sicula,238.28,49485.8,0.0106088
2000,Rhinopoma_microphyllum,Rhinopoma_hadramauticum,242.795,26564.5,0.0149906
2000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,57171,-0.00655233
2000,Vicugna_vicugna,Camelus_ferus,233.491,302734,0.00373761
2000,Bos_sauveli,Bos_gaurus,244.084,228690,0.326364
2000,Microcebus_tavaratra,Microcebus_sambiranensis,243.637,28960.9,0.0184584
2000,Aotus_trivirgatus,Nomascus_nasutus,193.506,180753,0.674416
2000,Dryomys_nitedula,NA,245.919,40171.4,0.00205069
2000,Thaptomys_nigrita,Podoxymys_roraimae,240.899,264361,-0.0094243
2000,Brachytarsomys_albicauda,Eliurus_ellermani,231.858,21367.9,0.00370248
2000,Saccostomus_campestris,Steatomys_krebsii,226.607,50148.3,-0.0130266
2000,Soricomys_musseri,Chiruromys_vates,235.004,16099.8,0.0052957
2000,Millardia_meltada,NA,240.666,30264.1,-0.0097517
2000,Meriones_shawi,NA,245.494,3989.21,0.0165968
2000,Chaetodipus_nelsoni,Chaetodipus_spinatus,243.221,136375,-0.0177308
2000,Elephantulus_intufi,Solenodon_paradoxus,161.735,140317,0.644663
2000,Rhyncholestes_raphanurus,Elephantulus_intufi,2.87895,144881,-0.00889494
2000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
3000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.87826,0.70037
3000,Rhyncholestes_raphanurus,Caenolestes_convelatus,183.162,42954.3,-0.0243803
3000,Lagostrophus_fasciatus,NA,232.239,149948,0.00805827
3000,Microgale_principula,Microgale_longicaudata,227.273,51191.6,0.00950859
3000,Crocidura_levicula,Crocidura_obscurior,237.75,12675.8,-0.0107549
3000,Suncus_malayanus,Crocidura_russula,234.276,22963.2,0.0106088
3000,Rhinopoma_microphyllum,Rhinopoma_hadramauticum,242.795,32985.3,0.0149906
3000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,57171,-0.00655233
3000,Vicugna_vicugna,Camelus_ferus,228.628,461162,0.00373761
3000,Pseudoryx_nghetinhensis,Syncerus_caffer,238.118,278716,0.326364
3000,Microcebus_murinus,Microcebus_tavaratra,240.083,28960.9,-0.00998936
3000,Aotus_trivirgatus,Nomascus_nasutus,188.83,247332,0.298175
3000,Oryctolagus_cuniculus,NA,244.497,11320.4,0.00332502
3000,Paraxerus_ochraceus,Paraxerus_vexillarius,238.909,28104.6,-0.00837937
3000,Dryomys_nitedula,NA,241.958,37497.4,0.00205069
3000,Laonastes_aenigmamus,NA,216.371,31537.9,0.00286495
3000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,15878.4,0.000878108
3000,Thaptomys_nigrita,Podoxymys_roraimae,240.899,264361,-0.0094243
3000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,26334.6,0.00370248
3000,Sigmodon_leucotis,Sigmodon_peruanus,239.467,35453.5,-0.0130266
3000,Soricomys_musseri,Chiruromys_vates,232.79,16099.8,0.0052957
3000,Taeromys_celebensis,Paruromys_dominator,244.781,58245.9,-0.00651933
3000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.089,608.154,-0.010949
3000,Chaetodipus_nelsoni,Chaetodipus_spinatus,243.221,136375,0.0173181
3000,Elephantulus_intufi,Solenodon_paradoxus,161.735,140317,0.644663
3000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,178969,-0.00889494
3000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
4000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.12101,0.70037
4000,Rhyncholestes_raphanurus,Caenolestes_convelatus,183.162,48015.5,-0.0243803
4000,Lagostrophus_fasciatus,NA,232.239,135012,0.00805827
4000,Microgale_principula,Microgale_longicaudata,224.262,51191.6,0.00950859
4000,Talpa_levantis,Talpa_altaica,236.608,2703.24,-0.00680714
4000,Hylomys_megalotis,Neohylomys_hainanensis,215.32,51892.1,-0.0097443
4000,Sylvisorex_johnstoni,Sylvisorex_lunaris,234.127,6181.03,-0.0171711
4000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8768.18,-0.0107549
4000,Suncus_malayanus,Crocidura_russula,234.276,22963.2,0.0106088
4000,Rhinopoma_microphyllum,Rhinopoma_hadramauticum,240.824,44236.4,0.0149906
4000,Rhinolophus_hipposideros,NA,240.566,84954,0.000656503
4000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,57171,-0.00655233
4000,Erophylla_sezekorni,Erophylla_bombifrons,243.907,81612.9,0.00858289
4000,Parastrellus_hesperus,NA,239.371,61503.1,0.0169737
4000,Nyctalus_leisleri,Nyctalus_azoreum,244.896,59009.4,0.000875543
4000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.00373761
4000,Tragelaphus_imberbis,Pseudoryx_nghetinhensis,237.131,373113,0.774495
4000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,29338.9,-0.00998936
4000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,241.535,66680.7,0.00932727
4000,Colobus_satanas,Colobus_angolensis,243.86,112327,-0.0128066
4000,Aotus_trivirgatus,Nomascus_nasutus,188.83,247332,0.298175
4000,Oryctolagus_cuniculus,NA,244.497,16610.1,0.00332502
4000,Paraxerus_ochraceus,Paraxerus_vexillarius,238.909,28104.6,-0.00837937
4000,Dryomys_nitedula,NA,241.958,37497.4,0.00205069
4000,Laonastes_aenigmamus,NA,216.371,24031.3,0.00286495
4000,Thryonomys_swinderianus,NA,239.326,88403.3,-0.0113539
4000,Dactylomys_dactylinus,Dactylomys_boliviensis,239.728,5850.03,0.000355116
4000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,15878.4,0.000878108
4000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,26334.6,0.00370248
