"Species3" "Mass"
"1" "Accipiter_albogularis" 248.75
"2" "Accipiter_badius" 131.15
"3" "Accipiter_bicolor" 287.54
"4" "Accipiter_brachyurus" 142
"5" "Accipiter_brevipes" 186.48
"6" "Accipiter_butleri" 122
"7" "Accipiter_castanilius" 157.51
"8" "Accipiter_chilensis" 368
"9" "Accipiter_chionogaster" 130.6
"10" "Accipiter_cirrocephalus" 165.73
"11" "Accipiter_collaris" 97.8
"12" "Accipiter_cooperii" 429.67
"13" "Accipiter_erythrauchen" 156
"14" "Accipiter_erythronemius" 125
"15" "Accipiter_erythropus" 111.2
"16" "Accipiter_fasciatus" 358.66
"17" "Accipiter_francesiae" 136.82
"18" "Accipiter_gentilis" 866.04
"19" "Accipiter_griseiceps" 251.76
"20" "Accipiter_gularis" 120.66
"21" "Accipiter_gundlachi" 675
"22" "Accipiter_haplochrous" 198.41
"23" "Accipiter_henicogrammus" 358.7
"24" "Accipiter_henstii" 1050
"25" "Accipiter_imitator" 222.49
"26" "Accipiter_luteoschistaceus" 214
"27" "Accipiter_madagascariensis" 180.41
"28" "Accipiter_melanochlamys" 265
"29" "Accipiter_melanoleucus" 698.99
"30" "Accipiter_meyerianus" 763.54
"31" "Accipiter_minullus" 87.43
"32" "Accipiter_nanus" 117
"33" "Accipiter_nisus" 220.79
"34" "Accipiter_novaehollandiae" 326.06
"35" "Accipiter_ovampensis" 195
"36" "Accipiter_poliocephalus" 214.76
"37" "Accipiter_poliogaster" 315
"38" "Accipiter_princeps" 214.8
"39" "Accipiter_rhodogaster" 172.71
"40" "Accipiter_rufitorques" 209
"41" "Accipiter_rufiventris" 198
"42" "Accipiter_soloensis" 164.77
"43" "Accipiter_striatus" 130.59
"44" "Accipiter_superciliosus" 96.38
"45" "Accipiter_tachiro" 290.2
"46" "Accipiter_toussenelii" 249.29
"47" "Accipiter_trinotatus" 146
"48" "Accipiter_trivirgatus" 265.04
"49" "Accipiter_ventralis" 233
"50" "Accipiter_virgatus" 116.99
"51" "Aegypius_monachus" 9320.55
"52" "Aquila_adalberti" 2958.03
"53" "Aquila_africanus" 1047
"54" "Aquila_audax" 3449.86
"55" "Aquila_chrysaetos" 4247.97
"56" "Aquila_clanga" 2154.29
"57" "Aquila_fasciatus" 1936.49
"58" "Aquila_gurneyi" 3059.99
"59" "Aquila_hastata" 1359.41
"60" "Aquila_heliaca" 3125.21
"61" "Aquila_nipalensis" 2714.33
"62" "Aquila_pomarina" 1359.41
"63" "Aquila_rapax" 2236.06
"64" "Aquila_verreauxii" 4195
"65" "Aquila_wahlbergi" 639.99
"66" "Aviceda_cuculoides" 277
"67" "Aviceda_jerdoni" 363
"68" "Aviceda_leuphotes" 193.98
"69" "Aviceda_madagascariensis" 277
"70" "Aviceda_subcristata" 322.65
"71" "Busarellus_nigricollis" 766.14
"72" "Butastur_indicus" 414.6
"73" "Butastur_liventer" 337.99
"74" "Butastur_rufipennis" 334.87
"75" "Butastur_teesa" 325
"76" "Buteo_albicaudatus" 885
"77" "Buteo_albigula" 524.99
"78" "Buteo_albonotatus" 745.92
"79" "Buteo_archeri" 1099.2
"80" "Buteo_augur" 1099.18
"81" "Buteo_auguralis" 663.92
"82" "Buteo_brachypterus" 511
"83" "Buteo_brachyurus" 496.01
"84" "Buteo_buteo" 759.1
"85" "Buteo_galapagoensis" 1137.44
"86" "Buteo_hemilasius" 1358.89
"87" "Buteo_jamaicensis" 1101.16
"88" "Buteo_lagopus" 949.76
"89" "Buteo_leucorrhous" 290
"90" "Buteo_lineatus" 603.72
"91" "Buteo_magnirostris" 269
"92" "Buteo_nitidus" 519.04
"93" "Buteo_oreophilus" 699.99
"94" "Buteo_platypterus" 453.65
"95" "Buteo_polyosoma" 782.61
"96" "Buteo_regalis" 1437.18
"97" "Buteo_ridgwayi" 315
"98" "Buteo_rufinus" 1166.18
"99" "Buteo_rufofuscus" 1530
"100" "Buteo_solitarius" 500.88
"101" "Buteo_swainsoni" 946.61
"102" "Buteo_ventralis" 1190.52
"103" "Buteogallus_aequinoctialis" 657.63
"104" "Buteogallus_anthracinus" 975.09
"105" "Buteogallus_gundlachii" 975.09
"106" "Buteogallus_meridionalis" 807.99
"107" "Buteogallus_urubitinga" 1152.87
"108" "Chelictinia_riocourii" 110
"109" "Chondrohierax_uncinatus" 286.07
"110" "Chondrohierax_wilsonii" 286.07
"111" "Circaetus_beaudouini" 1500
"112" "Circaetus_cinerascens" 1126
"113" "Circaetus_cinereus" 2048
"114" "Circaetus_fasciolatus" 1013.6
"115" "Circaetus_gallicus" 1699.12
"116" "Circaetus_pectoralis" 1500
"117" "Circus_aeruginosus" 704.07
"118" "Circus_approximans" 746.19
"119" "Circus_assimilis" 558.58
"120" "Circus_buffoni" 507.4
"121" "Circus_cinereus" 399.67
"122" "Circus_cyaneus" 392.98
"123" "Circus_macrosceles" 663.6
"124" "Circus_macrourus" 384.36
"125" "Circus_maillardi" 663.6
"126" "Circus_maurus" 508.99
"127" "Circus_melanoleucos" 336.3
"128" "Circus_pygargus" 310.75
"129" "Circus_ranivorus" 507
"130" "Circus_spilonotus" 558.78
"131" "Dryotriorchis_spectabilis" 697
"132" "Elanoides_forficatus" 416.24
"133" "Elanus_axillaris" 270.1
"134" "Elanus_caeruleus" 259.76
"135" "Elanus_leucurus" 346
"136" "Elanus_scriptus" 316
"137" "Erythrotriorchis_buergersi" 575
"138" "Erythrotriorchis_radiatus" 887.35
"139" "Eutriorchis_astur" 700
"140" "Gampsonyx_swainsonii" 92.9
"141" "Geranoaetus_melanoleucus" 2378.62
"142" "Geranospiza_caerulescens" 302.5
"143" "Gypaetus_barbatus" 5694.98
"144" "Gypohierax_angolensis" 1600
"145" "Gyps_africanus" 5432.99
"146" "Gyps_bengalensis" 4385
"147" "Gyps_coprotheres" 8176.99
"148" "Gyps_fulvus" 7435.99
"149" "Gyps_himalayensis" 9797.95
"150" "Gyps_indicus" 5515
"151" "Gyps_rueppellii" 7399.99
"152" "Gyps_tenuirostris" 5515
"153" "Haliaeetus_albicilla" 4729.27
"154" "Haliaeetus_leucocephalus" 4700.58
"155" "Haliaeetus_leucogaster" 2827.01
"156" "Haliaeetus_leucoryphus" 2885.92
"157" "Haliaeetus_pelagicus" 7756.99
"158" "Haliaeetus_sanfordi" 1980
"159" "Haliaeetus_vocifer" 3400
"160" "Haliaeetus_vociferoides" 3000
"161" "Haliastur_indus" 529
"162" "Haliastur_sphenurus" 752.99
"163" "Hamirostra_melanosternon" 1196
"164" "Harpagus_bidentatus" 215.25
"165" "Harpagus_diodon" 200
"166" "Harpia_harpyja" 4800
"167" "Harpyhaliaetus_coronatus" 2950
"168" "Harpyhaliaetus_solitarius" 3000
"169" "Harpyopsis_novaeguineae" 1959.59
"170" "Helicolestes_hamatus" 425.46
"171" "Henicopernis_infuscatus" 571.2
"172" "Henicopernis_longicauda" 571.23
"173" "Hieraaetus_ayresii" 806.06
"174" "Hieraaetus_morphnoides" 775.05
"175" "Hieraaetus_pennatus" 823.75
"176" "Hieraaetus_spilogaster" 1466.17
"177" "Hieraaetus_weiskei" 775.05
"178" "Ichthyophaga_humilis" 782
"179" "Ichthyophaga_ichthyaetus" 1590
"180" "Ictinaetus_malayensis" 1028
"181" "Ictinia_mississippiensis" 276.03
"182" "Ictinia_plumbea" 249.9
"183" "Kaupifalco_monogrammicus" 278.94
"184" "Leptodon_cayanensis" 474
"185" "Leptodon_forbesi" 577
"186" "Leucopternis_albicollis" 703.7
"187" "Leucopternis_kuhli" 352.09
"188" "Leucopternis_lacernulatus" 312
"189" "Leucopternis_melanops" 312
"190" "Leucopternis_occidentalis" 659.99
"191" "Leucopternis_plumbeus" 482
"192" "Leucopternis_polionotus" 703.7
"193" "Leucopternis_princeps" 999.99
"194" "Leucopternis_schistaceus" 999.99
"195" "Leucopternis_semiplumbeus" 285.04
"196" "Lophaetus_occipitalis" 1067
"197" "Lophoictinia_isura" 579.37
"198" "Lophotriorchis_kienerii" 799
"199" "Macheiramphus_alcinus" 650
"200" "Megatriorchis_doriae" 999.99
"201" "Melierax_canorus" 663.32
"202" "Melierax_gabar" 169.55
"203" "Melierax_metabates" 674.53
"204" "Melierax_poliopterus" 629.88
"205" "Milvus_migrans" 734.1
"206" "Milvus_milvus" 1071.77
"207" "Morphnus_guianensis" 1750
"208" "Necrosyrtes_monachus" 2043
"209" "Neophron_percnopterus" 2082
"210" "Nisaetus_alboniger" 829.99
"211" "Nisaetus_bartelsi" 830
"212" "Nisaetus_cirrhatus" 1475.12
