"Comb_sciname" "BodyMass"
"1" "Sphenodon_punctatus" "1020"
"2" "Anelytropsis_papillosus" "51.7"
"3" "Dibamus_nicobaricum" "4.9"
"4" "Dibamus_bourreti" "9.6"
"5" "Dibamus_greeri" "1.7"
"6" "Dibamus_montanus" "4.5"
"7" "Dibamus_booliati" "2.6"
"8" "Dibamus_kondaoensis" "3.2"
"9" "Dibamus_alfredi" "4.9"
"10" "Dibamus_dezwaani" "4"
"11" "Dibamus_celebensis" "10.6"
"12" "Dibamus_seramensis" "12.6"
"13" "Dibamus_novaeguineae" "7.8"
"14" "Dibamus_tiomanensis" "4.9"
"15" "Dibamus_leucurus" "5"
"16" "Dibamus_vorisi" "1.9"
"17" "Dibamus_bogadeki" "9.6"
"18" "Dibamus_dalaiensis" "4.3"
"19" "Dibamus_smithi" "3"
"20" "Dibamus_somsaki" "2.9"
"21" "Dibamus_deharvengi" "2"
"22" "Dibamus_taylori" "8.3"
"23" "Dibamus_ingeri" "2.3"
"24" "Dibamus_tebal" "11.1"
"25" "Amalosia_jacovae" "4.6"
"26" "Amalosia_obscura" "4.7"
"27" "Amalosia_rhombifer" "10.3"
"28" "Amalosia_lesueurii" "10.3"
"29" "Diplodactylus_calcicolus" "3.9"
"30" "Diplodactylus_capensis" "5.9"
"31" "Diplodactylus_nebulosus" "3.5"
"32" "Diplodactylus_conspicillatus" "5.5"
"33" "Diplodactylus_fulleri" "2.6"
"34" "Diplodactylus_furcosus" "3.7"
"35" "Diplodactylus_galaxias" "1.9"
"36" "Diplodactylus_savagei" "2.5"
"37" "Diplodactylus_galeatus" "3.3"
"38" "Diplodactylus_granariensis" "7.5"
"39" "Diplodactylus_kenneallyi" "2.2"
"40" "Diplodactylus_klugei" "3.9"
"41" "Diplodactylus_lateroides" "2.6"
"42" "Diplodactylus_mitchelli" "9.2"
"43" "Diplodactylus_ornatus" "3.9"
"44" "Diplodactylus_polyophthalmus" "3.5"
"45" "Diplodactylus_pulcher" "4.7"
"46" "Diplodactylus_tessellatus" "3.9"
"47" "Diplodactylus_vittatus" "4.2"
"48" "Diplodactylus_wiru" "4.2"
"49" "Lucasium_alboguttatum" "3.7"
"50" "Lucasium_maini" "3.1"
"51" "Lucasium_bungabinna" "3.9"
"52" "Lucasium_byrnei" "3.6"
"53" "Lucasium_damaeum" "3.7"
"54" "Lucasium_stenodactylum" "4.9"
"55" "Lucasium_squarrosum" "3.7"
"56" "Lucasium_wombeyi" "3.1"
"57" "Lucasium_immaculatum" "12.4"
"58" "Lucasium_occultum" "1.3"
"59" "Lucasium_steindachneri" "4.1"
"60" "Rhynchoedura_angusta" "2.6"
"61" "Rhynchoedura_eyrensis" "2.6"
"62" "Rhynchoedura_mentalis" "2.5"
"63" "Rhynchoedura_ormsbyi" "2.5"
"64" "Rhynchoedura_ornata" "3.7"
"65" "Rhynchoedura_sexapora" "2.2"
"66" "Hesperoedura_reticulata" "7.2"
"67" "Strophurus_assimilis" "9.6"
"68" "Strophurus_strophurus" "8.9"
"69" "Strophurus_ciliaris" "14.3"
"70" "Strophurus_wellingtonae" "12.4"
"71" "Strophurus_krisalys" "7"
"72" "Strophurus_elderi" "2.3"
"73" "Strophurus_horneri" "0.9"
"74" "Strophurus_mcmillani" "2.9"
"75" "Strophurus_robinsoni" "3.5"
"76" "Strophurus_intermedius" "10.3"
"77" "Strophurus_rankini" "5"
"78" "Strophurus_spinigerus" "10.1"
"79" "Strophurus_williamsi" "6.9"
"80" "Strophurus_jeanae" "2.3"
"81" "Strophurus_taeniatus" "2.5"
"82" "Strophurus_michaelseni" "5.7"
"83" "Strophurus_wilsoni" "4.3"
"84" "Oedura_castelnaui" "18.6"
"85" "Oedura_coggeri" "10.5"
"86" "Oedura_filicipoda" "24.4"
"87" "Oedura_gracilis" "12.4"
"88" "Oedura_gemmata" "20.4"
