"Species" "Body_size_mm"
"1" "Allophryne_ruthveni" "31"
"2" "Alytes_cisternasii" "50"
"3" "Alytes_dickhilleni" "55"
"4" "Alytes_muletensis" "40"
"5" "Alytes_obstetricans" "55"
"6" "Discoglossus_galganoi" "80"
"7" "Discoglossus_montalentii" "65"
"8" "Discoglossus_pictus" "80"
"9" "Discoglossus_sardus" "70"
"10" "Discoglossus_scovazzi" "70"
"11" "Allobates_alessandroi" "22"
"12" "Allobates_algorei" "19.5"
"13" "Allobates_bromelicola" "20.1"
"14" "Allobates_brunneus" "24"
"15" "Allobates_caeruleodactylus" "16.8"
"16" "Allobates_caribe" "20.8"
"17" "Allobates_chalcopis" "18.4"
"18" "Allobates_conspicuus" "19.5"
"19" "Allobates_femoralis" "36"
"20" "Allobates_fratisenescus" "21.2"
"21" "Allobates_granti" "18.4"
"22" "Allobates_hodli" "28.1"
"23" "Allobates_humilis" "21.8"
"24" "Allobates_juanii" "24.3"
"25" "Allobates_marchesianus" "18"
"26" "Allobates_mcdiarmidi" "24.3"
"27" "Allobates_melanolaemus" "23.6"
"28" "Allobates_nidicola" "21.4"
"29" "Allobates_niputidea" "18"
"30" "Allobates_olfersioides" "19"
"31" "Allobates_ornatus" "18.4"
"32" "Allobates_paleovarzensis" "22.4"
"33" "Allobates_picachos" "18.8"
"34" "Allobates_pittieri" "18.8"
"35" "Allobates_subfolionidificans" "18.7"
"36" "Allobates_talamancae" "25"
"37" "Allobates_trilineatus" "19"
"38" "Allobates_undulatus" "25"
"39" "Allobates_vanzolinius" "22.9"
"40" "Allobates_wayuu" "19.7"
"41" "Allobates_zaparo" "31"
"42" "Anomaloglossus_atopoglossus" "25.2"
"43" "Anomaloglossus_baeobatrachus" "18.6"
"44" "Anomaloglossus_beebei" "18.7"
"45" "Anomaloglossus_breweri" "23.8"
"46" "Anomaloglossus_confusus" "26"
"47" "Anomaloglossus_degranvillei" "16.1"
"48" "Anomaloglossus_guanayensis" "23.5"
"49" "Anomaloglossus_kaiei" "19.8"
"50" "Anomaloglossus_moffetti" "26.9"
"51" "Anomaloglossus_parimae" "23.1"
"52" "Anomaloglossus_parkerae" "24.2"
"53" "Anomaloglossus_praderioi" "22.7"
"54" "Anomaloglossus_shrevei" "21.5"
"55" "Anomaloglossus_stepheni" "18.24"
"56" "Anomaloglossus_tamacuarensis" "25"
"57" "Anomaloglossus_tepuyensis" "28"
"58" "Anomaloglossus_triunfo" "20"
"59" "Anomaloglossus_verbeeksnyderorum" "22.3"
"60" "Anomaloglossus_wothuja" "22"
"61" "Rheobates_palmatus" "39"
"62" "Aromobates_alboguttatus" "25"
"63" "Aromobates_duranti" "30.7"
"64" "Aromobates_mayorgai" "25.7"
"65" "Aromobates_meridensis" "32.7"
"66" "Aromobates_molinarii" "30.3"
"67" "Aromobates_nocturnus" "62"
"68" "Aromobates_saltuensis" "26.9"
"69" "Aromobates_serranus" "28.6"
"70" "Mannophryne_caquetio" "30.8"
"71" "Mannophryne_collaris" "27"
"72" "Mannophryne_lamarcai" "30.8"
"73" "Mannophryne_larandina" "31"
"74" "Mannophryne_leonardoi" "24.2"
"75" "Mannophryne_neblina" "28.9"
"76" "Mannophryne_oblitterata" "35"
"77" "Mannophryne_olmonae" "12"
"78" "Mannophryne_orellana" "32.9"
"79" "Mannophryne_riveroi" "46.2"
"80" "Mannophryne_speeri" "30.8"
"81" "Mannophryne_trinitatis" "29"
"82" "Mannophryne_trujillensis" "27.5"
"83" "Mannophryne_urticans" "30.8"
"84" "Mannophryne_venezuelensis" "24.7"
"85" "Mannophryne_vulcano" "23.1"
"86" "Mannophryne_yustizi" "30.6"
"87" "Arthroleptis_adelphus" "33.1"
"88" "Arthroleptis_adolfifriederici" "42"
"89" "Arthroleptis_affinis" "45"
"90" "Arthroleptis_aureoli" "24.1"
"91" "Arthroleptis_bioko" "32.7"
"92" "Arthroleptis_bivittatus" "28.3"
"93" "Arthroleptis_carquejai" "28"
"94" "Arthroleptis_crusculum" "20"
"95" "Arthroleptis_fichika" "15"
"96" "Arthroleptis_francei" "49"
"97" "Arthroleptis_hematogaster" "15.6"
"98" "Arthroleptis_kidogo" "15"
"99" "Arthroleptis_krokosua" "43.4"
"100" "Arthroleptis_lameerei" "23"
"101" "Arthroleptis_langeri" "19.3"
"102" "Arthroleptis_nguruensis" "58"
"103" "Arthroleptis_nikeae" "56"
"104" "Arthroleptis_nimbaensis" "21.2"
"105" "Arthroleptis_nlonakoensis" "22.2"
"106" "Arthroleptis_palava" "29"
"107" "Arthroleptis_perreti" "44.7"
"108" "Arthroleptis_poecilonotus" "33.4"
"109" "Arthroleptis_pyrrhoscelis" "23.1"
"110" "Arthroleptis_reichei" "34"
"111" "Arthroleptis_schubotzi" "21"
"112" "Arthroleptis_stenodactylus" "45"
"113" "Arthroleptis_stridens" "19"
"114" "Arthroleptis_sylvaticus" "21.5"
"115" "Arthroleptis_taeniatus" "24.6"
"116" "Arthroleptis_troglodytes" "25"
"117" "Arthroleptis_tuberosus" "28.2"
"118" "Arthroleptis_variabilis" "37.8"
"119" "Arthroleptis_wahlbergii" "34.6"
"120" "Arthroleptis_xenochirus" "24"
"121" "Arthroleptis_xenodactyloides" "23.8"
"122" "Arthroleptis_xenodactylus" "21.1"
"123" "Arthroleptis_zimmeri" "19.2"
"124" "Astylosternus_batesi" "70"
"125" "Astylosternus_diadematus" "52"
"126" "Astylosternus_occidentalis" "65.3"
"127" "Cardioglossa_alsco" "34"
"128" "Cardioglossa_cyaneospila" "31"
"129" "Cardioglossa_elegans" "37"
"130" "Cardioglossa_escalerae" "26.5"
"131" "Cardioglossa_gracilis" "40.4"
"132" "Cardioglossa_gratiosa" "34.1"
"133" "Cardioglossa_leucomystax" "39.7"
"134" "Cardioglossa_manengouba" "31.2"
"135" "Cardioglossa_melanogaster" "28.5"
"136" "Cardioglossa_nigromaculata" "24.2"
"137" "Cardioglossa_occidentalis" "34.8"
"138" "Cardioglossa_oreas" "29.7"
"139" "Cardioglossa_pulchra" "34.1"
"140" "Cardioglossa_schioetzi" "27.3"
"141" "Cardioglossa_trifasciata" "28.4"
"142" "Cardioglossa_venusta" "29.3"
"143" "Leptodactylodon_albiventris" "25"
"144" "Leptodactylodon_bicolor" "27.9"
"145" "Leptodactylodon_stevarti" "22"
"146" "Leptodactylodon_ventrimarmoratus" "40"
"147" "Nyctibates_corrugatus" "53"
"148" "Scotobleps_gabonicus" "70"
"149" "Trichobatrachus_robustus" "130"
"150" "Leptopelis_anchietae" "50"
"151" "Leptopelis_argenteus" "52"
"152" "Leptopelis_aubryi" "58"
"153" "Leptopelis_aubryioides" "57"
"154" "Leptopelis_barbouri" "58"
"155" "Leptopelis_bequaerti" "50"
"156" "Leptopelis_bocagii" "58"
"157" "Leptopelis_boulengeri" "81"
"158" "Leptopelis_brevipes" "63"
"159" "Leptopelis_brevirostris" "64"
"160" "Leptopelis_bufonides" "41"
"161" "Leptopelis_calcaratus" "57"
"162" "Leptopelis_christyi" "62"
"163" "Leptopelis_concolor" "40"
"164" "Leptopelis_crystallinoron" "56.9"
"165" "Leptopelis_cynnamomeus" "40"
"166" "Leptopelis_fenestratus" "48"
"167" "Leptopelis_fiziensis" "38"
"168" "Leptopelis_flavomaculatus" "70"
"169" "Leptopelis_gramineus" "63"
"170" "Leptopelis_karissimbensis" "47.1"
"171" "Leptopelis_kivuensis" "53.5"
"172" "Leptopelis_macrotis" "84"
"173" "Leptopelis_millsoni" "87"
"174" "Leptopelis_modestus" "41"
"175" "Leptopelis_mossambicus" "63"
"176" "Leptopelis_natalensis" "65"
"177" "Leptopelis_nordequatorialis" "54"
"178" "Leptopelis_notatus" "74"
"179" "Leptopelis_occidentalis" "71"
"180" "Leptopelis_ocellatus" "58"
"181" "Leptopelis_oryi" "58"
"182" "Leptopelis_palmatus" "110"
"183" "Leptopelis_parbocagii" "64"
"184" "Leptopelis_parkeri" "56"
"185" "Leptopelis_parvus" "48"
"186" "Leptopelis_ragazzii" "50"
"187" "Leptopelis_rufus" "87"
"188" "Leptopelis_spiritusnoctis" "52"
"189" "Leptopelis_susanae" "53"
"190" "Leptopelis_uluguruensis" "48"
"191" "Leptopelis_vannutellii" "46"
"192" "Leptopelis_vermiculatus" "85"
"193" "Leptopelis_viridis" "50"
"194" "Leptopelis_xenodactylus" "55"
"195" "Leptopelis_yaldeni" "43"
"196" "Barbourula_busuangensis" "85.3"
"197" "Barbourula_kalimantanensis" "68"
"198" "Bombina_bombina" "50"
"199" "Bombina_lichuanensis" "63.4"
"200" "Bombina_maxima" "77"
"201" "Bombina_orientalis" "47"
"202" "Bombina_pachypus" "45.75"
"203" "Bombina_variegata" "50"
"204" "Brachycephalus_alipioi" "16.2"
"205" "Brachycephalus_didactylus" "10.7"
"206" "Brachycephalus_ephippium" "19.7"
"207" "Brachycephalus_ferruginus" "14.5"
"208" "Brachycephalus_hermogenesi" "15"
"209" "Brachycephalus_nodoterga" "13.4"
"210" "Brachycephalus_pernix" "15.8"
"211" "Brachycephalus_pitanga" "14"
"212" "Brachycephalus_pombali" "15.3"
"213" "Brachycephalus_pulex" "8.4"
"214" "Brachycephalus_toby" "13.9"
"215" "Brachycephalus_vertebralis" "15.1"
"216" "Ischnocnema_bolbodactyla" "15.3"
"217" "Ischnocnema_concolor" "18.4"
"218" "Ischnocnema_guentheri" "40"
"219" "Ischnocnema_hoehnei" "29.4"
"220" "Ischnocnema_holti" "31.7"
"221" "Ischnocnema_juipoca" "26.26"
"222" "Ischnocnema_lactea" "32"
"223" "Ischnocnema_manezinho" "34.8"
"224" "Ischnocnema_melanopygia" "23.3"
"225" "Ischnocnema_nasuta" "33"
"226" "Ischnocnema_nigriventris" "19"
"227" "Ischnocnema_octavioi" "24.3"
"228" "Ischnocnema_parva" "25.5"
"229" "Ischnocnema_penaxavantinho" "20.7"
"230" "Ischnocnema_randorum" "18.2"
"231" "Ischnocnema_sambaqui" "40"
"232" "Ischnocnema_spanios" "21.4"
"233" "Ischnocnema_surda" "25.9"
"234" "Ischnocnema_verrucosa" "24"
"235" "Ischnocnema_vizottoi" "22.1"
"236" "Balebreviceps_hillmani" "53"
"237" "Breviceps_acutirostris" "40"
"238" "Breviceps_adspersus" "60"
"239" "Breviceps_bagginsi" "28.7"
