"Species" "Mass"
"1" "Ornithorhynchus_anatinus" "1225"
"2" "Zaglossus_bruijnii" "10000"
"3" "Tachyglossus_aculeatus" "3169.5"
"4" "Rhynchocyon_petersi" "423.99"
"5" "Rhynchocyon_cirnei" "424.92"
"6" "Rhynchocyon_udzungwensis" "711"
"7" "Elephantulus_rufescens" "55.5"
"8" "Elephantulus_brachyrhynchus" "45.11"
"9" "Elephantulus_intufi" "48.9"
"10" "Elephantulus_rupestris" "62.78"
"11" "Elephantulus_edwardii" "49.85"
"12" "Elephantulus_myurus" "61.985"
"13" "Elephantulus_rozeti" "48"
"14" "Petrodromus_tetradactylus" "208"
"15" "Macroscelides_micus" "27"
"16" "Macroscelides_flavicaudatus" "39.5"
"17" "Macroscelides_proboscideus" "39.5"
"18" "Microgale_grandidieri" "8.99"
"19" "Microgale_brevicaudata" "8.99"
"20" "Limnogale_mergulus" "77.7"
"21" "Microgale_principula" "10.2"
"22" "Microgale_majori" "5.8"
"23" "Microgale_longicaudata" "8.08"
"24" "Microgale_pusilla" "3.4"
"25" "Microgale_talazaci" "46.05"
"26" "Microgale_cowani" "12.235"
"27" "Geogale_aurita" "6.7"
"28" "Oryzorictes_hova" "35.74"
"29" "Hemicentetes_semispinosus" "133"
"30" "Tenrec_ecaudatus" "885.795"
"31" "Echinops_telfairi" "166.125"
"32" "Setifer_setosus" "304.11"
"33" "Potamogale_velox" "716.345"
"34" "Micropotamogale_lamottei" "69.595"
"35" "Cryptochloris_wintoni" "22.88"
"36" "Chrysochloris_asiatica" "36.93"
"37" "Chrysochloris_stuhlmanni" "47.78"
"38" "Chrysospalax_trevelyani" "434.04"
"39" "Calcochloris_obtusirostris" "24.05"
"40" "Chlorotalpa_sclateri" "38.3"
"41" "Chlorotalpa_duthieae" "31.34"
"42" "Amblysomus_septentrionalis" "64.8"
"43" "Carpitalpa_arendsi" "52.34"
"44" "Neamblysomus_gunningi" "57.44"
"45" "Neamblysomus_julianae" "21.99"
"46" "Amblysomus_marleyi" "64.8"
"47" "Amblysomus_hottentotus" "64.8"
"48" "Eremitalpa_granti" "22.8"
"49" "Hydrodamalis_gigas" "6700000"
"50" "Dugong_dugon" "360000"
"51" "Trichechus_manatus" "387500"
"52" "Trichechus_inunguis" "294000.595"
"53" "Trichechus_senegalensis" "477000"
"54" "Procavia_capensis" "2750"
"55" "Heterohyrax_brucei" "2000"
"56" "Dendrohyrax_dorsalis" "2663.335"
"57" "Loxodonta_africana" "4565000"
"58" "Elephas_maximus" "3220000"
"59" "Orycteropus_afer" "56175.2"
"60" "Choloepus_didactylus" "6250"
"61" "Choloepus_hoffmanni" "4250"
"62" "Bradypus_variegatus" "3963.18"
"63" "Bradypus_tridactylus" "4072.9"
"64" "Bradypus_torquatus" "4184.21"
"65" "Tamandua_tetradactyla" "4500"
"66" "Myrmecophaga_tridactyla" "29531.83"
"67" "Cyclopes_didactylus" "251.975"
"68" "Zaedyus_pichiy" "1500"
"69" "Chaetophractus_vellerosus" "1315.05"
"70" "Chaetophractus_villosus" "4372.8"
"71" "Euphractus_sexcinctus" "4850"
"72" "Priodontes_maximus" "45190"
"73" "Cabassous_unicinctus" "3987.97"
"74" "Tolypeutes_matacus" "1225"
"75" "Chlamyphorus_truncatus" "83.53"
"76" "Calyptophractus_retusus" "129.99"
"77" "Dasypus_kappleri" "9926.415"
"78" "Dasypus_novemcinctus" "3949.01"
"79" "Uropsilus_investigator" "14.76"
"80" "Uropsilus_soricipes" "16"
"81" "Uropsilus_gracilis" "16"
"82" "Uropsilus_andersoni" "16"
"83" "Parascalops_breweri" "50.645"
"84" "Scalopus_aquaticus" "74.6"
"85" "Scapanus_townsendii" "124.45"
"86" "Scapanus_orarius" "62.13"
"87" "Scaptonyx_fusicaudus" "19.41"
"88" "Scapanus_latimanus" "61"
"89" "Scapanulus_oweni" "22.41"
"90" "Urotrichus_talpoides" "18.85"
"91" "Dymecodon_pilirostris" "15.46"
"92" "Desmana_moschata" "983.805"
"93" "Neurotrichus_gibbsii" "10"
"94" "Galemys_pyrenaicus" "60.735"
"95" "Condylura_cristata" "52.15"
"96" "Talpa_occidentalis" "87.53"
"97" "Talpa_europaea" "110.415"
"98" "Talpa_caeca" "71.08"
"99" "Talpa_romana" "92.5"
"100" "Talpa_stankovici" "90.015"
"101" "Talpa_levantis" "71.08"
"102" "Talpa_caucasica" "90.015"
"103" "Talpa_altaica" "113.69"
"104" "Mogera_insularis" "71.041"
"105" "Mogera_tokudae" "115.18"
"106" "Mogera_imaizumii" "81.205"
"107" "Mogera_wogura" "96.88"
"108" "Mogera_robusta" "72"
"109" "Euroscaptor_mizura" "25.05"
"110" "Euroscaptor_parvidens" "60.46"
"111" "Euroscaptor_longirostris" "60.46"
"112" "Euroscaptor_klossi" "60.46"
"113" "Scaptochirus_moschatus" "90.51"
"114" "Parascaptor_leucura" "45.604"
"115" "Hylomys_megalotis" "58.5"
"116" "Hylomys_suillus" "57.8"
"117" "Hylomys_parvus" "57.8"
"118" "Neotetracus_sinensis" "49.99"
"119" "Neohylomys_hainanensis" "52.21"
"120" "Podogymnura_truei" "1639.12"
"121" "Echinosorex_gymnura" "756.53"
"122" "Erinaceus_roumanicus" "771"
"123" "Erinaceus_concolor" "771"
"124" "Erinaceus_europaeus" "777.95"
"125" "Erinaceus_amurensis" "774.475"
"126" "Paraechinus_hypomelas" "292"
"127" "Paraechinus_aethiopicus" "404"
"128" "Mesechinus_hughi" "229.57"
"129" "Mesechinus_dauuricus" "281.63"
"130" "Hemiechinus_auritus" "369.5"
"131" "Atelerix_frontalis" "319.06"
"132" "Atelerix_albiventris" "450"
"133" "Atelerix_algirus" "824.49"
"134" "Solisorex_pearsoni" "8.157"
"135" "Sylvisorex_konganensis" "5.15"
"136" "Sylvisorex_ollula" "16.59"
"138" "Scutisorex_somereni" "91.49"
"139" "Ruwenzorisorex_suncoides" "18.2"
"140" "Suncus_megalura" "5.38"
"141" "Suncus_varilla" "4.99"
"142" "Suncus_infinitesimus" "4.4"
"143" "Suncus_remyi" "4.03"
"145" "Sylvisorex_johnstoni" "3.19"
"146" "Sylvisorex_lunaris" "18.78"
"147" "Sylvisorex_vulcanorum" "3.49"
"148" "Sylvisorex_granti" "4"
"149" "Suncus_etruscus" "2.365"
"150" "Suncus_fellowesgordoni" "2.33"
"151" "Suncus_malayanus" "2.4"
"152" "Suncus_stoliczkanus" "9.43"
"153" "Suncus_murinus" "45.87"
