Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Adelastes_hylonomos,25.4435,74.74275,2.225,24.73325,23.3095,619.6,2984.00027816682,433.014072220809,85.0004183433588,2977.99999950052,209.020198092343,5774.80936246461
Adelophryne_adiastola,25.5355,63.09575,1.925,24.775,19.4035,662.75,2983.0000001292,445.00180771125,82.9995823074483,2975.0002786795,196.999440949602,6559.84790227041
Adelophryne_baturitensis,28.16875,82.713875,2.275,27.341875,106.9025,16.975,3000.99930346292,690.933051450719,119.985997533204,2992.50013925119,1027.99602838452,103.015393807772
Adelophryne_gutturosa,26.26675,93.4825,2.7,25.32475,56.26125,194,2987.99944276225,792.003071281316,113.000000534823,2979.99986058174,580.000982075504,1720.03523103027
Adelophryne_maranguapensis,28.3625,54.585,1.55,27.8,104.70975,25.575,2993.99999998058,275.996666496996,23.9993036445811,2989.99986056457,930.001251612312,272.993036485177
Adelophryne_pachydactyla,24.76875,145.54475,4.275,22.825,40.3335,142.4,2964.00515523608,1485.92658795841,110.993023878248,2943.00613151215,196.049476711359,2623.77172664318
Adelophryne_patamona,24.1885,78.100875,2.4875,23.4875,40.773875,354.0375,2966.00445806607,618.009608751459,94.0004872798106,2958.50424919091,402.493524020883,3803.54548421698
Adelphobates_castaneoticus,26.05225,61.51325,2.15,25.475,63.56325,97.8,2987.99958192625,779.99803840187,117.998745451977,2982.999442696,674.990808990852,974.980459117502
Adelphobates_galactonotus,26.699,72.832875,2.1625,25.954125,66.94525,102.3875,2994.00125366808,833.004249671102,109.998954848256,2985.00118398918,690.503901328492,1029.02762871326
Adelphobates_quinquevittatus,26.177125,56.2045,1.725,25.533375,54.77175,170.0125,2986.00034819403,457.497215994514,96.9995127237223,2979.50013916655,522.496869193688,1696.05233562994
Adenomera_ajurauna,21.59175,229.6405,6.325,18.56675,58.4775,140.55,2929.00181146024,2262.97312190897,148.997908280072,2899.00167203739,549.99816896953,1549.52322203969
Adenomera_andreae,26.129,68.146,2.075,25.325,54.302,209.9,2986.00139419828,594.008504002915,99.9972144035948,2979.00013863328,539.995128074029,1922.09356802031
Adenomera_araucaria,18.811375,343.38975,9.4375,14.5585,17.465,313.175,2911.50077139414,3184.46812679368,169.490519518196,2870.5014683745,141.516638982633,3484.46305554107
