Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Accipiter poliogaster,25.906375,78.905,2.4375,24.99575,55.064125,192.725,2984.00027820656,674.477249393614,106.997981482918,2975.99958173086,538.999589583534,1913.08514927339
Accipiter superciliosus,25.94175,77.633625,2.45,25.033125,57.002375,178.925,2984.00097475093,702.508920654378,106.998886396091,2976.00034814572,554.990672922973,1738.03417228029
Acrobatornis fonsecai,24.25725,151.740375,4.4,22.354125,42.161125,181.375,2971.00132564072,1604.15888998514,122.488496298764,2949.00244124752,252.752582489271,2280.06057699807
Aegolius harrisii,22.3,299.86425,8.375,18.8415,35.41,209.9,2939.99944228217,2928.97773333371,163.998050268477,2898.00403914558,315.992892085665,2528.70559705765
Aeronautes montivagus,23.24575,74.74275,2.35,22.18325,54.34925,198.8,2952.00585035099,585.024236013063,100.002368391489,2944.00194882972,497.996106185906,2261.29236459587
Agamia agami,26.16675,74.1415,2.35,25.29175,58.52625,177.125,2986.00055707776,644.983012431081,103.999860518722,2978.00055726058,574.008497240188,1645.93060341289
Agelaioides badius,20.423,410.57125,11.65,15.375,55.68575,72.675,2924.00013952817,3887.95000056394,198.998607372708,2872.00627107772,499.993861477119,869.523848887908
Agelaioides fringillarius,27.35225,131.66525,4.375,25.70825,91.8915,16.775,2991.00125506401,1191.02275487594,135.993726144564,2976.99833082385,910.016733760306,133.983979272946
Agelasticus cyanopus,25.517625,186.507875,5.475,22.708375,69.519875,69.75,2969.99923509492,1914.96375065348,149.99951299922,2941.00139260499,631.516787788672,808.511598107079
Agelasticus thilius,17.633375,460.57175,13.1625,11.14175,50.16625,59.6625,2893.00090416775,4393.07387561137,216.999302795574,2835.00167052987,457.993200502056,647.518598771661
Agriornis micropterus,17.979125,505.08125,14.5875,11.45825,64.11575,44.3625,2902.50369301254,4757.98496205485,227.997425965916,2840.99978931096,596.494420091826,507.484996578489
Agriornis murinus,19.509375,484.743,14.075,13.62925,63.444125,50.875,2921.00208807751,4663.47598323154,223.000139482515,2860.00250694961,584.492342366594,521.040291113442
Alectrurus risora,20.17275,482.0405,13.875,14.1,42.32275,113.975,2915.99846478189,4584.94582778925,219.999162401066,2856.00097391812,409.992887071235,1185.04391105079
Alectrurus tricolor,24.87275,173.049,5.225,22.42525,73.64975,63.25,2963.99874504575,1766.95895209894,149.998886354045,2938.00166949736,673.017400177516,745.98565920249
Alipiopsitta xanthops,26.29375,125.83475,4.275,25.1165,82.26125,23.65,2979.00055653321,1124.98730418394,145.000419219365,2964.00236548726,809.004462575458,240.503918939801
Alopochelidon fucata,23.954,271.46925,7.725,20.05825,65.631,70.95,2954.00013650097,2742.96156722573,159.997354618642,2914.0022279324,595.989405351218,866.952509771939
Amaurolimnas concolor,26.998875,66.1455,1.875,26.437625,47.21875,283.2375,2989.00167189714,464.990040946823,84.9839084748034,2984.00174154227,479.036365549826,2551.90316884393
Amaurospiza moesta,23.015625,240.050625,6.5,19.5165,52.0825,145.8125,2945.99958329964,2402.46532634422,152.500000691102,2908.00285660171,422.004718185032,1695.42041196754
Amazilia bartletti,25.96975,66.193875,2.1,25.14575,65.975,112.625,2982.0005572017,635.986424093093,111.001044777313,2970.00062674083,590.976532583969,1206.90213191654
Amazilia brevirostris,26.71475,72.749,2.425,25.88325,54.53475,168.025,2990.00083591028,662.973389380784,101.000279468523,2982.0015325183,575.005293710556,1839.03118819334
Amazilia cupreicauda,24.824,82.410875,2.775,23.949875,54.7265,272.7,2976.49895593464,548.501397662393,96.5008360017626,2969.00160132338,461.507802751362,3229.0084748838
Amazilia fimbriata,26.139625,87.383,2.725,25.21675,65.456125,110.8375,2985.99463682074,807.007522365447,113.000279162816,2976.99993013168,612.500277147069,1169.03663269957
Amazilia lactea,24.37075,156.66575,4.875,22.35825,73.7715,68.4,2962.99790864966,1587.98552862658,146.000000038806,2941.00153243373,673.017400177516,797.94973664515
Amazilia leucogaster,26.8645,76.61575,2.35,26.20025,53.751,168.45,2991.00111460456,694.934114850051,92.0008357115901,2984.00069655143,551.025354329141,1577.86622847118
Amazilia sapphirina,25.9615,78.905,2.45,25.079125,54.427125,191.6625,2985.0000000266,652.994016231968,103.990667604963,2977.00041790035,538.004114892088,1981.94692217207
Amazilia tobaci,26.819,74.50375,2.55,25.94975,65.56025,94,2990.99832927482,716.968792142684,105.00097470671,2983.9973541279,618.993734072376,949.915570897588
Amazilia versicolor,25.800125,109.94975,3.525,24.645875,67.214375,100.05,2981.00069643375,960.487256118482,125.000209010505,2969.99951224252,640.48438326083,1049.55885183967
Amazona aestiva,25.797,152.905375,4.8125,23.620875,76.695625,40.425,2974.00097434716,1538.49461022195,146.000348464611,2948.00069653825,731.496174161607,462.014634490329
Amazona amazonica,26.17075,84.953,2.675,25.15825,62.67575,136.3,2985.99999987321,781.007388358498,108.000138518531,2977.0002787429,600.009746884694,1374.02498250366
Amazona brasiliensis,22.022875,264.981,7.2625,18.75025,44.742375,243.4,2952.99923552102,2538.94376714894,108.500687643348,2919.50007201102,375.498662976008,2707.37090943285
Amazona diadema,26.60425,55.660625,1.575,26.104,41.811125,363.425,2993.4994431926,444.008923399854,79.4999998953266,2988.49951258432,377.004461881383,3204.07241138708
Amazona dufresniana,26.3375,75.0785,2.35,25.64975,50.7755,263.075,2987.99999996118,616.982031314041,101.000279468523,2980.99986064397,471.995541026788,2450.05751979263
Amazona farinosa,26.042,68.79125,2.1,25.25025,54.696,197.15,2985.99902539304,594.976335344366,98.0022290371538,2978.0002784537,538.015187241162,1922.09356802031
Amazona festiva,26.345875,65.578875,1.925,25.500125,38.696375,324.5,2990.00020889858,461.495959114295,84.0009748157387,2983.9993732945,377.004461881383,3109.39709910113
Amazona kawalli,26.519,53.54375,1.65,26,52.999,192.475,2990.0002785309,479.990531315534,95.9995817772476,2984.999999852,537.993042543014,1836.0533074636
Amazona ochrocephala,26.152125,66.597125,2.05,25.375,53.9545,198.2625,2987.00013903825,592.494782245782,97.0000695689263,2979.00062741818,538.999589583534,1884.92939768757
Amazona pretrei,20.47275,372.869,10.45,15.7,14.505,336.925,2920.00111408341,3559.95975682389,181.999720918904,2874.99596168873,159.000415972927,3614.04992334552
Amazona rhodocorytha,24.328125,156.53475,4.5375,22.354125,55.551375,145.7375,2969.49854108508,1604.15888998514,122.488496298764,2945.00404174603,446.992273585209,1780.93982937015
Amazona vinacea,22.28125,284.18125,7.925,18.6915,36.48075,222.825,2938.99902409823,2795.96189491039,156.999024760441,2902.00209152216,309.025169363129,2573.90487300911
Amazonetta brasiliensis,25.94175,133.228375,4.325,24.6165,70.806625,65.25,2980.99979085683,1254.00352105419,137.999511863498,2962.99909582737,673.503207090052,715.533454642426
Amblyramphus holosericeus,22.51275,371.0135,10.575,17.85825,43.6755,146.25,2937.00167239881,3644.91030081095,186.998746707557,2891.00013843364,409.990518861074,1568.07192210531
Ammodramus aurifrons,26.122,65.578875,1.95,25.375,49.0455,228.675,2987.00013911255,572.01302012719,96.000278793214,2978.99999991191,491.007236470699,2167.5810142378
Ammodramus humeralis,25.717,141.96275,4.5,23.86675,68.6005,64,2976.99693703393,1396.00476156211,141.001114493617,2954.00236752769,643.020196943979,712.016693105657
Anabacerthia amaurotis,21.954,299.0915,8.15,18.55025,32.21925,256.675,2934.99985919399,2871.94208312412,162.001810231685,2899.00139189168,269.004589104027,2909.00230922705
Anabacerthia lichtensteini,24.00425,203.828375,5.825,21.20825,63.641,100.1875,2955.50118346244,2105.46464238393,151.999860438649,2925.00069478615,561.489033259017,1192.92015603183
Anabacerthia ruficaudata,26.09775,67.539,2.15,25.3085,57.06375,188.025,2986.0000001508,616.98997183058,101.99986017715,2978.99275913891,560.00348108724,1788.95820016989
Anabazenops dorsalis,24.69575,62.8135,1.8875,23.7,51.978125,209.925,2978.00076577519,601.998604763347,101.000626601435,2968.00020900137,490.504802424283,2131.25277871236
Anabazenops fuscus,23.196,189.8855,5.475,20.68325,71.58975,81.975,2953.00209214188,1861.96379301131,142.994562054409,2928.99666206979,633.974199652382,955.015989502628
Anairetes flavirostris,18.27725,521.944,15.125,12.0085,44.22725,79.9,2902.00069559364,4870.98663770508,229.999443291987,2837.00069561303,427.995811984313,802.015052792349
Ancistrops strigilatus,26.0105,59.015,1.8,25.3165,45.992625,246.85,2985.00041792115,524.509611451185,94.4995124437193,2977.99979104112,472.499376959534,2347.53965300196
Anhima cornuta,26.12925,88.467,2.775,25.18325,65.133,109.95,2985.00055729377,825.014480249771,114.001950195078,2976.00167208798,607.002225894794,1156.07602054186
Anodorhynchus glaucus,21.59175,432.60925,12.425,16.4335,23.876,258.975,2928.9980492207,4231.96659112954,206.998608027747,2873.0016700776,238.993302556479,2889.15961824175
Anodorhynchus hyacinthinus,26.5645,110.298,3.525,25.35825,76.0675,40.35,2987.99944276225,953.006132106623,134.998468010861,2977.00013922285,734.011695760042,450.963651038031
Anodorhynchus leari,27.274,146.8415,4.575,25.30825,82.3555,16.0375,2984.50160108465,1450.01130459177,136.498397126103,2961.0014616278,727.993679476719,330.507629787567
Anopetia gounellei,27.357375,139.46,4.4875,25.758375,89.606,12.6625,2992.50139279197,1224.50963012247,138.498328551024,2977.99881204902,882.98751473867,91.0054071407145
Anthracothorax nigricollis,25.9895,87.80875,2.7,25.00825,59.316,135.575,2984.00013937545,830.994013567048,114.995262557617,2974.00013959826,577.012115863435,1390.9482107801
Anthracothorax viridigula,26.879,73.580125,2.25,26.2585,53.954875,205.6625,2994.9993734674,686.511839313818,96.0016706301684,2987.00034829113,582.002582444394,1715.53104138905
Anthus chacoensis,20.171625,511.7125,14.8125,13.77925,48.13975,90.375,2912.00180957014,4766.97783880915,226.000208193196,2847.50160017923,457.993200502056,1005.01000042255
Anthus furcatus,17.37275,493.682,14.225,10.775,51.42375,60.775,2894.99986027007,4652.99553639403,222.989416346954,2831.99930562176,497.988711151715,651.142260545327
Anthus hellmayri,19.64175,363.099125,10.1625,14.89175,42.385125,167.9375,2914.01120893124,3460.91236076712,179.497698705701,2866.49839929615,362.004417473332,1765.46109822348
Anthus lutescens,25.525,150.14275,4.8,23.254125,68.31425,70.3125,2973.00034796132,1540.48921300864,145.500487965033,2948.00069653825,638.981109747392,798.461357550338
Anthus nattereri,21.951,338.05825,9.5875,17.975125,29.22225,229.85,2931.50090448224,3287.46580615718,173.494702738949,2888.00292506148,263.490175190124,2530.96056387118
Antilophia bokermanni,27.62725,145.71675,4.3,26.10825,94.55525,21.725,2990.0030644193,1434.9670046393,141.000001990929,2970.00431760154,915.017273362943,224.496377997167
Antilophia galeata,26.0415,134.32425,4.575,24.59175,79.48775,33.575,2975.0016713452,1306.99808110216,147.998468027443,2956.999997668,785.010449733547,377.979667652753
Antrostomus rufus,26.03775,118.45175,3.775,24.95,65.3825,83.175,2984.0002787703,988.00780599611,131.000556721203,2972.0002781359,623.998190141972,931.045815470146
Antrostomus sericocaudatus,24.379,186.3725,5.375,21.35,58.741,137.4,2960.99902408805,1876.98467684719,146.999303116558,2929.00125198845,555.00320514253,1549.52322203969
Anumara forbesi,25.91875,129.5355,3.725,24,65.1055,73.45,2980.99833140853,1157.92400760659,105.989262350757,2961.0039031719,604.993735356798,876.009035503441
Anumbius annumbi,20.9145,427.5635,12.225,15.7,46.88875,79.9,2925.99985781375,4060.96603595327,202.998885925803,2874.00069521425,455.997341466634,904.012578612798
Aphantochroa cirrochloris,24.3885,159.10025,4.8875,22.31675,76.271625,53.8875,2963.49916253791,1606.49200131496,145.500487965033,2941.00139260499,692.010855671468,595.495502092022
Ara ararauna,26.08125,75.72175,2.375,25.2,61.51425,142.85,2985.00027886629,673.014370186028,107.997075646344,2977.00041771376,587.998607854046,1447.91703600127
Ara chloropterus,26.178125,74.754375,2.375,25.2835,58.851875,154.3375,2986.00034822602,677.517517023136,106.499723250082,2977.99986075624,570.496661518597,1534.51804551153
Ara severus,26.066625,65.519625,2.05,25.291625,57.49075,173.175,2985.00125378515,614.729942272544,101.992061354738,2977.00055701881,568.006763552954,1620.53165700062
Aramides cajaneus,25.99275,95.3255,3,24.979,62.531,119.425,2984.0002787297,871.000896080592,117.999025640547,2974.00062694342,590.513369888288,1262.50913241279
Aramides mangle,27.3625,141.072,4.075,25.71675,78.47,58.5,2991.0002786857,1210.04001789464,124.993721561444,2975.9980521633,731.006138053207,557.990256079422
Aramides saracura,22.28325,304.41825,8.425,18.56675,32.57825,242.725,2938.99902409823,2949.94791672478,162.000697257483,2900.00292293486,277.014618701778,2654.03581535117
Aramides ypecaha,25.3415,224.728,6.3,22.3915,70.626,52.45,2968.00069579365,2315.44347556541,154.997493927936,2936.0013915315,678.979254137106,602.052836821873
Aratinga auricapillus,24.48975,166.3915,5.025,22.167,75.0255,56.85,2962.99790864966,1685.98497095353,147.000835950892,2938.00166949736,701.004000663697,653.969371213101
Aratinga jandaya,27.424125,111.849375,3.35,26.195875,83.051875,31,2996.00111441398,958.004046670416,123.500767145732,2986.999999884,837.010237317939,200.019406607255
Aratinga maculata,26.46675,104.19875,2.85,25.325,54.3195,206,2996.99832902757,894.040957879256,111.001393603457,2988.99777168239,598.99108867672,1788.95820016989
Aratinga nenday,26.45925,321.340375,9.2375,22.016625,61.19,67.225,2974.00055622382,3223.43385650846,177.497981073456,2930.00153126966,537.500340464753,919.009096109703
Aratinga solstitialis,26.322875,95.919375,3.1875,25.0125,59.349875,229.3125,2990.00041798426,642.009671340776,99.0016015299609,2982.00020861398,656.491529540662,2111.9559567104
Aratinga weddellii,25.96975,60.718375,1.8625,25.175,55.182,189.225,2984.0000000097,555.495061091147,99.9996521868713,2974.99923423911,518.000002900608,1848.07064657227
Ardea cocoi,25.7645,113.648625,3.5375,24.55825,62.165125,100.2125,2981.0000000651,997.000412007648,122.999860390853,2969.00006988542,584.499863420387,1077.03315669059
Arremon flavirostris,25.29375,179.25,5.4,22.7835,74.5915,55.175,2966.00083264706,1849.99513624526,151.998328860421,2938.0016716768,693.008637825352,678.985225366624
Arremon franciscanus,25.223,135.637125,4.5625,23.35,97.28,9.7125,2964.5002070561,1400.00178029445,142.497770483365,2943.99999749101,925.500341443348,124.505938967653
Arremon semitorquatus,22.3145,214.48275,6.025,19.24175,59.6815,112.7,2942.00222630026,2164.98370826929,148.997908280072,2908.0032086835,535.017258579446,1442.82776462434
Arremon taciturnus,26.33975,87.967625,2.75,25.40825,68.009875,93.7625,2987.00013919885,794.023477246927,115.000069780306,2978.00034816942,643.504873946842,1006.55432935106
Arremonops conirostris,26.30425,64.162125,2.05,25.554,55.61925,134.2,2990.00006963966,682.496652964263,95.9894835192652,2980.50090528823,575.50585257518,1360.37304245337
Arundinicola leucocephala,26.11875,112.764625,3.525,24.949875,63.756,106.5625,2985.00104536737,985.498895626169,120.999791659914,2975.00125378884,605.497773413748,1156.53487072005
Asemospiza fuliginosa,25.213625,148.8675,4.3875,23.375,59.261,102.425,2970.49965443236,1465.47840124872,129.991226763251,2950.49965114886,544.981927731349,1057.45423716655
Asemospiza obscura,25.8125,317.83,9.1,21.3665,65.631,53.625,2973.00027837588,3315.94041487088,181.996797723408,2925.00055576219,595.985644542393,695.017262880452
Asthenes baeri,18.655375,501.748875,14.55,12.27925,55.497625,55.425,2908.00083521649,4727.97388841033,225.000418992693,2844.00215783326,527.496927960962,593.991452931703
Asthenes hudsoni,17.6,521.292,15.075,11.05,29.8135,109.475,2891.00166977943,4858.98760307967,230.999304755299,2829.00222703022,332.998878972026,1043.02845620047
Asthenes luizae,25.0335,145.09375,4.925,22.95,94.9525,15.525,2959.00347895024,1585.98305714633,146.999582145827,2937.00361759028,937.989119136007,171.001685374077
Asthenes moreirae,22.80225,201.534625,5.8375,20.187625,79.53525,56.5875,2946.50062762938,2078.98825500047,148.999302663872,2918.50087154541,734.489235681894,694.547680671656
Asthenes pyrrholeuca,19.3855,484.29175,13.875,13.0915,58.492,58.125,2918.00041695811,4617.97536521593,222.984117919737,2855.00292405553,552.995534498185,649.059101839929
Atalotriccus pilaris,26.60825,70.30275,2.3,25.68325,58.94125,104.225,2993.99930378157,751.085116378838,103.999581912486,2983.99944259865,593.981603952406,1045.03687678433
Atlapetes personatus,24.93775,82.3495,2.825,24.11675,61.176,194.15,2976.99693703393,576.066019000996,99.0012533275744,2969.00403920859,534.032872070794,2610.56341282236
Atticora fasciata,26.077125,70.588375,2.15,25.25425,55.199,201.8125,2985.99972139978,604.996380639263,100.002229218896,2978.000278576,543.489481662698,1952.2595732358
Atticora tibialis,25.875,64.426,2.025,25.10825,52.99175,204.425,2984.99721344307,599.011557005323,100.001113796381,2976.99999966741,495.000702230372,2105.99228662434
Attila bolivianus,26.24775,61.3245,1.9,25.46675,60.81775,156,2986.99986090395,609.977161541595,104.998886067395,2978.00055706861,570.994015977432,1563.89961929231
Attila cinnamomeus,26.112375,66.891875,2.0375,25.337375,51.4925,232.6,2986.99986086395,577.502156527812,95.9998603126394,2979.00174111459,503.495128514157,2249.61228303616
Attila citriniventris,25.773,64.307375,1.9125,24.92925,31.0205,464.175,2984.99958227455,451.017202028496,85.0008358688076,2977.99958233715,305.498537029465,4264.57894481103
Attila phoenicurus,25.97925,105.39325,3.325,24.95,62.24875,106.975,2983.00069658344,853.007670269501,134.997910680488,2971.00125438788,606.001811470697,1223.99784649844
Attila rufus,22.76675,205.05925,5.825,20.1,57.025,142.4,2952.99805276609,2049.98443054656,136.99943135316,2922.99916861114,425.998857998033,1619.85726148306
Augastes lumachella,25.75625,128.24925,4.45,24.058375,88.500125,9.95,2965.00146168271,1329.01502128169,136.997701423835,2943.50125214473,848.458790155032,155.063316370357
Augastes scutatus,23.99075,162.073625,5.0625,21.7375,93.570625,19.3625,2952.50160254709,1721.23349027952,146.499234140917,2927.5019505797,897.488976985492,236.281386291828
Aulacorhynchus whitelianus,25.1355,86.906,2.775,24.35825,58.14025,222.05,2980.00097602454,556.017556658756,96.9990248056695,2970.0033424896,534.032872070794,2800.98803626129
Automolus infuscatus,26.03025,68.30125,2.025,25.208375,46.326,281.9125,2985.99986078455,539.995824639243,92.4991647723038,2978.99965196568,449.995895187788,2756.37181016864
Automolus lammi,26.7625,129.5355,3.725,24.8085,63.3225,75.475,2986.00014000968,1147.00952264219,101.991073035902,2968.0030661508,604.993735356798,876.009035503441
Automolus leucophthalmus,23.9125,208.5215,5.9,20.8,52.26225,140.55,2954.00013650097,2128.91062225742,151.998328860421,2922.99916861114,443.986212094537,1619.84857549972
Automolus paraensis,26.35625,71.10775,2.25,25.70825,70.161,76.275,2989.0008357211,769.950136830606,116.000138961203,2982.00139328792,697.000976281449,720.058752410243
Automolus rufipileatus,26.02325,70.4185,2.125,25.18325,54.85325,208.575,2985.99999966741,625.98454541,100.000278952711,2978.00041782914,547.004460450006,1960.01096899274
Automolus subulatus,25.88775,62.2075,1.9,25.15825,43.00775,291.825,2984.99721504018,499.040941865116,92.0019503713153,2977.00041792235,421.00654274478,2815.74166647663
Avocettula recurvirostris,26.519,67.539,2.075,25.825,57.95625,184.575,2990.00167048753,653.006420197223,101.984955610531,2983.99986042294,584.004182813284,1631.88604315156
Bartramia longicauda,23.3625,367.61525,10.4375,18.3875,54.1215,82.3375,2946.99958107145,3511.46125187065,179.497698705701,2895.00090412931,498.995117597017,954.942068662553
Baryphthengus martii,26.039625,59.157375,1.8125,25.341625,52.19675,208.8375,2984.00188031039,548.979111634653,94.9990250991379,2976.99979106603,506.24059871193,2041.53150822941
Baryphthengus ruficapillus,24.00425,200.444625,5.7625,21.241625,63.641,100.2,2955.50118346244,2037.98999533263,151.000348376321,2925.00180973832,561.489033259017,1192.92015603183
Basileuterus auricapilla,25.67725,149.68725,4.725,23.48325,73.3925,52.7,2974.00013812368,1499.9956774776,145.000137816633,2949.00390021962,693.004878876453,601.996794401347
Basileuterus hypoleucus,26.07925,145.73625,5,23.68325,78.605,38,2975.0000011988,1516.99103829847,148.99986004694,2949.00097555513,756.008773092379,486.98245992744
Batara cinerea,21.3565,312.9245,8.625,17.6,36.0935,252.775,2930.00237116022,2972.9800252289,167.998188789739,2887.00208584775,307.018867611309,2797.79581607317
Berlepschia rikeri,26.34575,77.754,2.425,25.51675,62.80625,161.35,2988.00027879091,691.010306662346,106.996520101345,2980.99958245545,598.002929173638,1525.99933719581
Biatas nigropectus,21.6885,250.09775,6.8875,18.512625,46.74875,203.3125,2938.00174348451,2479.46021740999,151.9983272481,2902.5016713329,380.006125086197,2542.41222750895
Brachygalba lugubris,26.116625,84.18625,2.6875,25.17075,68.99725,90.9,2985.00076587375,772.510032991982,115.999582212563,2977.00020889628,664.482929465494,957.470658069373
Brotogeris chiriri,26.02175,140.450875,4.525,24.57925,76.603125,41.8375,2978.00180922496,1386.99286351365,145.999303929449,2957.00229798363,747.511906898455,456.479241530229
Brotogeris chrysoptera,26.47525,71.9125,2.2,25.7915,60.1735,168.025,2990.0002785309,660.014078196498,104.988579493077,2983.00139188124,599.985788024575,1525.99933719581
Brotogeris sanctithomae,26.267625,60.9325,1.825,25.525,50.9765,230.9375,2987.4999999397,510.496865420663,93.9999304997836,2980.0000000774,504.496659576089,2009.50194557491
Brotogeris tirica,23.398,201.534625,5.8375,20.825,50.19375,148.6875,2960.49728791171,1922.46287667978,131.994906094906,2934.50160405078,420.008489407622,1905.96065965506
Brotogeris versicolurus,26.438625,65.9465,1.95,25.6875,39.246375,314.325,2990.99944299999,474.502788041765,84.4990945968744,2984.00027885942,413.994920367327,2720.10764151282
Bucco capensis,26.122,67.36275,2.05,25.341875,51.497875,232.2375,2986.99965100347,578.499721795008,96.0015327232036,2979.0007662248,499.967276742671,2290.00074413922
Buteo brachyurus,26.039625,90.42375,2.825,25.04575,63.86175,110.0125,2984.00153200913,839.99616808383,115.998677091195,2975.0002788189,600.003549802875,1180.48753749727
Buteo nitidus,26.25,87.33475,2.725,25.30825,65.83025,94,2986.00236771843,811.96895208574,113.998746120573,2977.99986081194,618.034401746168,1012.97452352397
Buteo swainsoni,19.0625,514.698375,14.9125,12.683375,49.3745,71.8375,2905.50445364871,4802.73078827492,228.9989544217,2842.00118261392,465.994630055343,735.531567326854
Buteogallus aequinoctialis,26.89375,82.144,2.4,26.24175,57.797,145.175,2992.00027867428,723.930616443578,84.005562222838,2984.00069655143,567.01143363634,1467.07565598296
Buteogallus coronatus,24.4,217.12325,6.2,21.23325,73.7715,45.475,2961.00028136957,2270.94375300919,153.998884394222,2925.00167010739,679.978689216756,539.966996924998
Buteogallus lacernulatus,23.29575,194.2595,5.7,20.6915,59.6815,109.95,2960.99582601853,1849.99513624526,123.992614301095,2935.00083807191,565.013665522998,1214.95881025142
Buteogallus meridionalis,25.9855,119.4545,3.775,24.7835,68.0225,73.4,2982.00013917945,1054.00671018401,129.999443122192,2968.99986121655,645.00724296732,809.029365562725
Buteogallus schistaceus,26.104,64.8075,1.95,25.358,50.58975,231.925,2985.99972134009,559.984961742109,94.999164706293,2977.99986070055,497.996106185906,2187.08617641151
Cacicus cela,26.23125,76.38275,2.375,25.33325,61.234,146.5,2986.99986090395,694.934114850051,105.999442609813,2978.00083567429,587.988018926312,1446.08936197418
Cacicus chrysopterus,21.951,338.05825,9.5875,17.908375,42.272,151.4,2936.99957949085,3321.95714619742,175.998537881877,2894.50055512419,385.506116380589,1732.99586047129
Cacicus haemorrhous,25.9165,85.057,2.7,24.8915,57.435,162.45,2983.99874739875,770.956971449173,110.992755927726,2973.9994430708,553.014904602196,1625.91786110789
Cacicus solitarius,26.1165,98.511,3.125,25.14175,67.53675,78.7,2984.0002787703,940.955292984764,125.998607666294,2974.00013959826,637.985370152354,846.98888455706
Calidris bairdii,14.4385,474.346625,13.3875,9.020875,52.84775,41.0375,2871.00125162166,4563.52219527078,226.494704191765,2811.9885807971,502.006543643414,509.988706985893
Calidris himantopus,27.04375,67.048,2.275,26.36675,50.34375,181.85,2992.00069655143,683.974365753822,55.9997232060603,2984.99902499983,517.992337371459,1577.86622847118
Calidris subruficollis,20.390625,443.95825,12.825,15.333375,38.650125,131.75,2919.0009738685,4244.47375870413,208.498361772304,2866.00000029174,364.498876874634,1384.05842178777
Calliphlox amethystina,26.04175,112.2655,3.525,24.89175,70.626,77.525,2983.99944183057,985.979672287681,124.999721188669,2971.00153206515,671.989842221024,810.962507327572
Callonetta leucophrys,22.826125,395.835375,11.3125,17.395875,63.6115,70.075,2948.50118292684,3871.45906391984,197.002645180721,2896.00083524588,569.25110881254,874.983221199412
