Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Abrawayaomys chebezi,23.146875,352.566625,10.0625,18.625,21.669125,303.525,2940.50020803846,3492.96134710712,185.497980319574,2894.50055512419,218.001736163689,3386.50413266227
Abrawayaomys ruschii,22.8565,194.2595,5.7,20.27525,85.12025,43.925,2940.00794028593,2001.97424645293,146.999303116558,2913.00891603226,820.990508305663,494.029581092894
Abrocoma bennettii,16.729,408.767,11.3,10.783,108.37375,0.7,2869.995957667,3303.25386812579,210.005156840855,2831.99414322845,958.925455737217,79.0376310398095
Abrocoma boliviensis,22.44375,172.43025,5.175,20.05825,66.753,188.225,2933.01058295322,1898.02619160968,113.003342736651,2906.00974711709,606.979799675587,1512.0495907106
Abrocoma budini,18.92525,512.0765,14.65,12.2415,85.9395,16.9,2936.50000245618,4910.45804343329,238.996938358241,2868.50076808647,815.998120699373,175.514602295033
Abrocoma cinerea,7.698875,290.121625,8,4.429125,113.41875,4.175,2808.00313286309,2359.96801458052,202.000971360695,2778.50940205932,1107.96378532638,98.0020906557157
Abrocoma famatina,7.585375,473.2125,13.2875,1.49175,80.699375,6.575,2875.99604143508,4369.61114694095,226.501461985465,2816.99819748576,853.511072391442,148.502569610053
Abrocoma shistacea,7.23775,586.10375,16.075,-0.00825000000000004,79.042,9.45,2810.00808873177,5744.00235319521,267.000001200298,2735.00767096661,431.041775885339,429.007583887438
Abrocoma uspallata,6.50225,605.9415,16.55,-0.84975,73.80425,13.95,2763.02701913553,5979.99335732466,250.006962376405,2688.02604391649,603.973498190436,544.932450622015
Abrocoma vaccarum,6.50225,605.9415,16.55,-0.84975,73.80425,13.95,2763.02701913553,5979.99335732466,250.006962376405,2688.02604391649,603.973498190436,544.932450622015
Abrothrix andinus,7.798,296.84075,8.4,4.4415,107.84675,2.95,2792.99888632195,2780.866853506,214.993730292333,2761.0048722082,1089.95292328708,103.013647421302
Abrothrix illutea,10.7915,416.5715,11.675,5.57075,104.543875,11.2625,2886.00613347268,3841.5227716346,206.4992345103,2837.50515764672,938.999630031829,139.000275898213
