Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Acanthochelys macrocephala,26.495875,202.0395,5.9875,23.312625,65.45925,62.9875,2980.50034758803,2219.94813239322,150.999512578023,2947.0005565451,578.500556235404,792.983712878632
Acanthochelys pallidipectoris,24.560375,407.3565,11.6625,19.07925,66.6245,41.375,2958.50076498568,3991.96123461569,205.998538073461,2903.501879412,608.487799944526,562.050814331867
Acanthochelys radiolata,24.328125,167.645375,4.8375,22.354125,66.675375,83.525,2970.00111628133,1710.97138430808,132.995259346682,2947.50048987961,569.008341053365,1007.9578236463
Acanthochelys spixii,20.89375,394.2145,11.275,15.91675,25.15175,247.175,2921.00613050343,3798.94255936073,190.000974568199,2873.00083390814,253.989550111392,2573.90487300911
Acratosaura mentalis,25.698,146.39325,4.5,23.8835,82.039,27.6,2972.00501377603,1486.92635536035,134.99804971078,2951.99930574609,643.989550949704,462.981789505989
Acratosaura spinosa,24.248875,141.4395,4.425,22.32525,82.66775,28.35,2964.50257762761,1483.49763424987,130.999581507386,2941.50271681676,640.496912671912,494.172024289587
Alexandresaurus camacan,24.25725,148.462375,4.375,22.354125,42.161125,161.2375,2967.0032059851,1543.95016306141,122.488496298764,2946.00418221082,252.752582489271,2280.06057699807
Alopoglossus angulatus,26.125,70.588375,2.15,25.324875,55.199,204.2125,2986.00041821487,596.012749073305,100.00000037193,2978.99965196568,546.998607040938,1938.041005072
Alopoglossus atriventris,26.02325,58.1175,1.7,25.33325,29.1285,410.45,2985.0000000726,428.995961138319,85.9988860750114,2978.00041774575,302.993875148771,3637.13839840661
Amapasaurus tetradactylus,26.31875,112.882,3.175,25.375,53.714,196.55,2992.99972176348,1039.00319669901,120.994982018866,2982.99986101033,584.004182813284,1426.02799634379
Ameiva ameiva,26.10225,92.2805,2.9,25.1415,65.6155,99.65,2984.99972160949,853.007670269501,117.999861206348,2975.99958178404,611.001811641126,1074.97967260538
Ameiva bifrontata,25.71675,71.19725,2.3,24.8415,53.5835,177.125,2984.99972149309,677.019560968319,99.0020900153523,2976.00041789374,510.989270106803,1890.6856082987
Ameiva jacuba,24.83025,181.31875,5.4875,22.25,67.34,83.5125,2956.50160100758,1847.97460489902,149.500557400398,2929.00180966925,632.016918650232,1006.92634531532
