inertia,OMI,Tol,Rtol,omi,tol,rtol
Rhinella_azarai,1.03048862442973,0.889100271607431,0.021955905122446,0.119432447699854,86.3,2.1,11.6
Rhinella_bergi,0.904409085605842,0.745300982737364,0.00794195459855639,0.151166148269921,82.4,0.9,16.7
Rhinella_diptycha,1.73709362154397,1.67279062488362,0.0013548511373085,0.0629481455230425,96.3,0.1,3.6
Melanophryniscus_fulvoguttatus,1.382955073856,1.25526269247125,0.0215163144453951,0.106176066939358,90.8,1.6,7.7
Crossodactylus_schmidti,4.48701601929803,3.78557005477606,0.186706943758646,0.514739020763326,84.4,4.2,11.5
Scinax_aromothyella,6.75146167638876,6.75146167638876,0,0,100,0,0
Hypsiboas_curupi,2.60125020530265,2.60125020530265,0,0,100,0,0
Melanophryniscus_cambaraensis,6.06005220341286,5.46412008500732,0.319885647970568,0.276046470434975,90.2,5.3,4.6
Melanophryniscus_macrogranulosus,4.69097463737138,2.96179144554068,0.137233792101539,1.59194939972915,63.1,2.9,33.9
Hylodes_meridionalis,6.16842706655306,4.21265130845933,0.392662389974952,1.56311336811878,68.3,6.4,25.3
Melanophryniscus_admirabilis,6.50143610255163,6.4316918168748,0.00313175262581919,0.0666125330510081,98.9,0,1
Dendrophryniscus_krausae,8.60100190153324,8.49664025998574,0.000313419904088243,0.104048221643417,98.8,0,1.2
Scinax_rossaferesae,2.32309588289222,1.94197360128786,0.10339781863745,0.277724462966912,83.6,4.5,12
Brachycephalus_sulfuratus,7.47693280258329,5.74461065500587,0.376207653050353,1.35611449452707,76.8,5,18.1
Melanophryniscus_milanoi,3.32166822075828,2.89773999786508,0.145967163388823,0.277961059504372,87.2,4.4,8.4
Melanophryniscus_xanthostomus,5.54370500783919,3.82035316032188,0.141886363115823,1.58146548440148,68.9,2.6,28.5
Aplastodiscus_cochranae,3.92142806544273,2.44204588141899,0.330784556392332,1.14859762763141,62.3,8.4,29.3
Melanophryniscus_simplex,7.46973922757161,6.06959130823602,0.939414129923142,0.460733789412447,81.3,12.6,6.2
Vitreorana_parvula,7.63637070432281,7.47836052740947,0.0187459337310853,0.139264243182263,97.9,0.2,1.8
Aplastodiscus_ehrhardti,4.19840194561353,2.98385300322568,0.240662216561662,0.97388672582619,71.1,5.7,23.2
Dendropsophus_nahdereri,5.38210467089166,3.8037127540369,0.429508464812083,1.14888345204268,70.7,8,21.3
Hypsiboas_semiguttatus,4.86198323595632,3.17918820055232,0.235006269453784,1.44778876595021,65.4,4.8,29.8
Trachycephalus_lepidus,4.12152925921431,2.88404845617551,0.777668182478589,0.459812620560209,70,18.9,11.2
Cycloramphus_asper,4.24055072840979,2.90677828779063,0.281888610184942,1.05188383043422,68.5,6.6,24.8
Cycloramphus_bolitoglossus,3.80665047294661,2.67672094734283,0.129190170804593,1.00073935479918,70.3,3.4,26.3
Cycloramphus_catarinensis,3.08839612880148,3.05922986850392,0.000202475460368811,0.0289637848371976,99.1,0,0.9
Cycloramphus_diringshofeni,3.74818975114839,2.38898583269106,0.193536513938726,1.1656674045186,63.7,5.2,31.1
Cycloramphus_duseni,5.28116204125815,5.15032123766398,0.0774328549685113,0.053407948625658,97.5,1.5,1
