inertia,OMI,Tol,Rtol,omi,tol,rtol
Rhinella_azarai,0.562741394617868,0.496054615807954,0.00354485609668792,0.0631419227132259,88.1,0.6,11.2
Rhinella_bergi,0.54893882542579,0.473885528448548,0.00377589016553662,0.0712774068117055,86.3,0.7,13
Rhinella_diptycha,1.53587736754124,1.36424750650281,0.0867898726051393,0.0848399884332869,88.8,5.7,5.5
Melanophryniscus_fulvoguttatus,0.696653301207375,0.655660989374499,0.00924889297056748,0.0317434188623087,94.1,1.3,4.6
Crossodactylus_schmidti,3.63171606977538,3.44460868973627,0.0734276125562699,0.11367976748285,94.8,2,3.1
Scinax_aromothyella,4.46696018919893,4.46696018919893,0,0,100,0,0
Hypsiboas_curupi,3.06983259349974,3.06983259349974,0,0,100,0,0
Melanophryniscus_cambaraensis,9.04285548756333,9.04285548756333,0,0,100,0,0
Melanophryniscus_macrogranulosus,7.66053349673757,7.51074140213157,0.0636027119033215,0.0861893827026783,98,0.8,1.1
Hylodes_meridionalis,6.5038112207024,6.17227551945144,0.155347193753462,0.176188507497496,94.9,2.4,2.7
Melanophryniscus_admirabilis,6.84853560772743,6.84853560772743,0,0,100,0,0
Dendrophryniscus_krausae,7.66053349673757,7.51074140213157,0.0636027119033215,0.0861893827026783,98,0.8,1.1
Scinax_rossaferesae,2.25637718220439,1.91156654062943,0.313760241237619,0.0310504003373407,84.7,13.9,1.4
Brachycephalus_sulfuratus,2.48572157217042,2.18419371622196,0.243667803801888,0.057860052146573,87.9,9.8,2.3
Melanophryniscus_milanoi,4.3658111259713,4.3658111259713,0,0,100,0,0
Melanophryniscus_xanthostomus,4.47371922014729,4.43158288645092,0.000635025083372994,0.0415013086129933,99.1,0,0.9
Aplastodiscus_cochranae,4.73884651381435,4.69527001027218,0.00506422250436202,0.0385122810378051,99.1,0.1,0.8
Melanophryniscus_simplex,6.79400270897804,6.5935535225719,0.1917531571723,0.00869602923384241,97,2.8,0.1
Vitreorana_parvula,7.33042540082234,7.33042540082234,0,0,100,0,0
Aplastodiscus_ehrhardti,4.30739300551918,4.22008600596979,0.0469074874501628,0.0403995120992288,98,1.1,0.9
Dendropsophus_nahdereri,5.10891274206695,4.95757060058518,0.110900365646721,0.0404417758350468,97,2.2,0.8
Hypsiboas_semiguttatus,3.50749979581372,3.23560517587382,0.208815082797724,0.0630795371421662,92.2,6,1.8
Trachycephalus_lepidus,0.306538468323309,0.306538468323309,0,0,100,0,0
Cycloramphus_asper,4.64137444527209,4.59134222224068,0.00462374792921717,0.0454084751021883,98.9,0.1,1
Cycloramphus_bolitoglossus,4.25613182489825,4.16575453069375,0.0481061607277539,0.0422711334767426,97.9,1.1,1
Cycloramphus_catarinensis,4.97378835359127,4.97378835359127,0,0,100,0,0
Cycloramphus_diringshofeni,4.41976517305929,4.37762883936293,0.000123523619616028,0.0420128100767502,99,0,1
Cycloramphus_duseni,3.47243940613692,3.38758480799593,0.08217642986976,0.00267816827122296,97.6,2.4,0.1
Ischnocnema_manezinho,4.60443956656995,4.55343161927832,0.00412731340693551,0.0468806338847029,98.9,0.1,1
Ischnocnema_sambaqui,1.7755028010754,1.71016530826483,0.0601962876950815,0.00514120511548945,96.3,3.4,0.3
Hylodes_heyeri,1.31392192666552,0.966212784676798,0.235853974043279,0.111855167945444,73.5,18,8.5
Hylodes_perplicatus,4.44674219660329,4.39933882119488,0.000372205827957891,0.0470311695804542,98.9,0,1.1
Scythrophrys_sawayae,4.00472639299246,3.905988885023,0.0539290911487379,0.0448084168207176,97.5,1.3,1.1
Brachycephalus_pombali,2.31321402716875,2.01965627740742,0.209563137428542,0.0839946123327828,87.3,9.1,3.6
Brachycephalus_ferruginus,1.7755028010754,1.71016530826483,0.0601962876950815,0.00514120511548945,96.3,3.4,0.3
Adenomera_nana,5.25478366154779,5.15077743516988,0.0627775493815117,0.0412286769963949,98,1.2,0.8
Physalaemus_insperatus,3.47243940613692,3.38758480799593,0.08217642986976,0.00267816827122296,97.6,2.4,0.1
Hylodes_cardosoi,2.62397110360616,2.47720983190378,0.142387221659228,0.00437405004315172,94.4,5.4,0.2
Hylodes_dactylocinus,0.533284863096263,0.220443330697897,0.0640849160945842,0.248756616303781,41.3,12,46.6
Bokermannohyla_izecksohni,0.426817874768366,0.426817874768366,0,0,100,0,0
Proceratophrys_moratoi,0.426817874768366,0.426817874768366,0,0,100,0,0
Holoaden_suarezi,1.46168258662416,1.2287368328499,0.13815268029691,0.0947930734773536,84.1,9.5,6.5
Boana_bandeirantes,1.25369065858332,1.03195703606186,0.110695205836431,0.111038416685025,82.3,8.8,8.9
Brachycephalus_margariatus,1.9262332240704,1.69882137822457,0.0957094397949217,0.131702406050913,88.2,5,6.8
Proceratophrys_belzebul,1.19865702085683,0.924602547523797,0.179165381794227,0.0948890915388035,77.1,14.9,7.9
Proceratophrys_izecksohni,1.8248509429,1.81939290718887,0.00484753628416617,0.00061049942696082,99.7,0.3,0
Paratelmatobius_cardosoi,0.710403484534355,0.710403484534355,0,0,100,0,0
Holoaden_bradei,2.08943961251037,1.92638049473784,0.000764728942092913,0.162294388830438,92.2,0,7.8
Hylodes_sazimai,1.51329245332503,1.32476332219172,0.0696674322770462,0.118861698856268,87.5,4.6,7.9
Hylodes_uai,3.50639153969022,3.48630573319516,6.68196374676297e-06,0.02007912453132,99.4,0,0.6
Paratelmatobius_lutzii,2.17673390905581,2.04241485117504,0.0264124587112715,0.107906599169497,93.8,1.2,5
Scinax_maracaya,1.82062868141691,1.82062868141691,0,0,100,0,0
Scinax_melloi,1.09736845587871,0.883761838911792,0.10444614653172,0.109160470435199,80.5,9.5,9.9
Scinax_duartei,2.71927652122879,2.48301996733812,0.0492739233062474,0.186982630584424,91.3,1.8,6.9
Melanophryniscus_moreirae,2.23141984284208,2.10621162097767,0.0378997345669982,0.0873084872974198,94.4,1.7,3.9
Brachycephalus_vertebralis,1.88745933116566,1.88260774386688,0.00432714296842086,0.000524444330358688,99.7,0.2,0
Aplastodiscus_callipygius,1.69203004068647,1.48833632587081,0.0837805172763442,0.119913197539309,88,5,7.1
Bokermannohyla_clepsydra,1.61611963555227,1.47218931500009,0.112263993462592,0.0316663270895882,91.1,6.9,2
Hypsiboas_cymbalum,0.627678696425063,0.603842298376744,0.00283326896199713,0.0210031290863216,96.2,0.5,3.3
Bokermannohyla_gouveai,2.17673390905581,2.04241485117504,0.0264124587112715,0.107906599169497,93.8,1.2,5
Aplastodiscus_musicus,1.09736845587871,0.883761838911792,0.10444614653172,0.109160470435199,80.5,9.5,9.9
