inertia,OMI,Tol,Rtol,omi,tol,rtol
Amazona.aestiva,3.87354027249815,0.0161533011078446,1.19837460213592,2.65901236925439,0.4,30.9,68.6
Anodorhynchus.glaucus,6.42421876129534,5.99008906542047,0.0143831229180577,0.419746572956816,93.2,0.2,6.5
Aramides.cajaneus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Arremon.flavirostris,2.41425242929551,0.114360438882049,0.210077399965397,2.08981459044806,4.7,8.7,86.6
Campylopterus.largipennis,3.56645695316252,2.62936951245525,0.0143304367269718,0.922757003980299,73.7,0.4,25.9
Cichlocolaptes.mazarbarnetti,4.60892148634537,3.64525537358068,0.0232467156441009,0.940419397120583,79.1,0.5,20.4
Columbina.cyanopis,2.41710006878392,2.41710006878392,0,0,100,0,0
Cotinga.maculata,4.08580809161159,1.96573701041385,0.389779831813149,1.73029124938458,48.1,9.5,42.3
Drymophila.genei,2.41984162065544,0.754810702036774,0.210607940515181,1.45442297810349,31.2,8.7,60.1
Elaenia.albiceps,3.78802152410304,0.0157827620506415,1.62548105808057,2.14675770397183,0.4,42.9,56.7
Eleothreptus.candicans,1.93916823154665,0.255508306986467,0.51702415454842,1.16663577001177,13.2,26.7,60.2
Formicivora.acutirostris,4.84881651039556,2.99431827287673,0.210689168232433,1.6438090692864,61.8,4.3,33.9
Glaucidium.mooreorum,6.07879627888073,6.07879627888073,0,0,100,0,0
Harpagus.diodon,3.87753150861531,0.00358426194545417,1.83252106773253,2.04142617893732,0.1,47.3,52.6
Mergus.octosetaceus,3.27044773824947,0.371637320643169,1.35859162189756,1.54021879570874,11.4,41.5,47.1
Myrmotherula.snowi,6.26779141842239,6.21283780739731,0.039166543754399,0.0157870672706792,99.1,0.6,0.3
Nothura.maculosa,3.83966320844171,0.101521271006227,1.99591028257082,1.74223165486467,2.6,52,45.4
Ortalis.guttata,1.75914824728484,1.52585380471397,0.0771062409575866,0.156188201613276,86.7,4.4,8.9
Ortalis.squamata,4.06885996160659,1.82597487482966,1.04874842955851,1.19413665721842,44.9,25.8,29.3
Philydor.novaesi,4.60892148634537,3.64525537358068,0.0232467156441009,0.940419397120583,79.1,0.5,20.4
Sporophila.cinnamomea,3.57121421154995,0.719919617710866,1.66453466640431,1.18675992743477,20.2,46.6,33.2
Sporophila.maximiliani,3.11846619138589,1.25218867082034,0.461910435961122,1.40436708460443,40.2,14.8,45
Sporophila.melanogaster,3.26967477030824,0.320746175629739,0.948794732589553,2.00013386208895,9.8,29,61.2
Sporophila.palustris,3.61088187192299,0.786536218116978,1.6875610267157,1.13678462709031,21.8,46.7,31.5
Synallaxis.cinerea,4.4940881439688,3.14991194124464,0.134911217920971,1.20926498480319,70.1,3,26.9
Taoniscus.nanus,2.1380727087042,1.20458226336017,0.447407750331285,0.486082695012743,56.3,20.9,22.7
Vireo.chivi,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Vireo.olivaceus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Porphyriops.melanops,4.10431154691073,0.00119917964648954,0.443232705043491,3.65987966222075,0,10.8,89.2
Celeus.galeatus,3.23373407048243,0.874293777007456,1.19462907100719,1.16481122246779,27,36.9,36
Guyramemua.affinis,2.78771143996605,1.98098084688594,0.154711811785397,0.652018781294714,71.1,5.5,23.4
Paraclaravis.geoffroyi,3.74803059173845,0.127355244617834,1.47781172280761,2.142863624313,3.4,39.4,57.2
Chaetura.meridionalis,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Chlorostilbon.lucidus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Fulica.armillata,3.92623203578099,1.31961577110974,0.955669358753871,1.65094690591738,33.6,24.3,42
Chelidoptera.tenebrosa,4.58438717691746,2.27472952580861,0.343874641329744,1.9657830097791,49.6,7.5,42.9
Chloroceryle.inda,3.57371548249452,0.283659306229561,1.34865592196828,1.94140025429668,7.9,37.7,54.3
Chlorostilbon.notatus,5.30721598472351,2.96099226548867,0.682155965865646,1.6640677533692,55.8,12.9,31.4
Chondrohierax.uncinatus,3.75714886268508,0.453909388132228,0.98980370867285,2.31343576588,12.1,26.3,61.6
Chordeiles.minor,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Chordeiles.nacunda,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Chrysolampis.mosquitus,3.87425165088906,1.33308810974549,0.503165226598458,2.03799831454511,34.4,13,52.6
Ciccaba.huhula,3.47766060031027,0.254241868811302,1.20967959391141,2.01373913758756,7.3,34.8,57.9
Ciccaba.virgata,3.79405404442858,0.0384759978022603,1.91543766534391,1.84014038128241,1,50.5,48.5
Ciconia.maguari,4.01790927461766,1.62163080852584,1.22914429436348,1.16713417172834,40.4,30.6,29
Circus.buffoni,3.67567980401544,0.0469963297602572,1.48869133148942,2.13999214276576,1.3,40.5,58.2
Circus.cinereus,6.40249205329905,5.88396216071907,0.0242537947660159,0.494276097813961,91.9,0.4,7.7
Clytolaema.rubricauda,3.79200608134195,0.170711255619264,0.556575588218635,3.06471923750405,4.5,14.7,80.8
Coccycua.cinerea,4.02239991008941,1.35609531709006,1.52264479338764,1.14365979961171,33.7,37.9,28.4
Coccyzus.euleri,3.64261904702417,0.126592961195753,1.75799008730622,1.75803599852219,3.5,48.3,48.3
Coccyzus.americanus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Colaptes.campestris,3.73884755674652,0.0585411556485805,1.91690001977009,1.76340638132785,1.6,51.3,47.2
Colaptes.campestroides,6.09512533154084,4.97286698837967,0.296936357820087,0.825321985341076,81.6,4.9,13.5
Colaptes.melanochloros,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Colibri.serrirostris,3.05936663839057,0.433123722465189,0.988688177539973,1.63755473838541,14.2,32.3,53.5
Platyrinchus.mystaceus,3.99543838605643,3.21168362017829e-05,0.67213192715347,3.32327434206676,0,16.8,83.2
Columbina.picui,4.45583522694027,2.75220939241192,0.78310684735566,0.92051898717269,61.8,17.6,20.7
Columbina.squammata,3.66954649918565,0.0758340791949707,1.93558797042635,1.65812444956433,2.1,52.7,45.2
Coscoroba.coscoroba,3.6398843019694,1.105007714577,1.37720854389318,1.15766804349922,30.4,37.8,31.8
Coturnicops.notatus,5.21606081374606,2.99249066181712,0.874280723395925,1.34928942853302,57.4,16.8,25.9
Crax.blumenbachii,3.96727417514481,1.5921854122882,0.453045862443423,1.92204290041319,40.1,11.4,48.4
Crax.fasciolata,1.91573504125425,0.585133342792802,0.408566841262844,0.9220348571986,30.5,21.3,48.1
Crotophaga.major,3.54488784683845,0.179999229826777,1.68043002141151,1.68445859560016,5.1,47.4,47.5
Crypturellus.noctivagus,4.46424820495639,0.137420197116307,1.1529554295655,3.17387257827459,3.1,25.8,71.1
Crypturellus.obsoletus,3.53326536607688,0.122078470841779,1.84220448001691,1.5689824152182,3.5,52.1,44.4
Crypturellus.parvirostris,3.51019830044378,0.280340438198185,1.50280888876098,1.72704897348462,8,42.8,49.2
Crypturellus.undulatus,1.72494173898851,0.397866785243338,0.500398158271507,0.826676795473669,23.1,29,47.9
Crypturellus.variegatus,4.37559125072859,2.28712096848804,0.337445484482167,1.75102479775838,52.3,7.7,40
Cygnus.melancoryphus,3.98842242247636,1.69421322444559,1.24674402433365,1.04746517369712,42.5,31.3,26.3
Dendrocygna.viduata,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Cypseloides.fumigatus,3.72628348029065,0.00475714277102036,0.97478431471134,2.74674202280829,0.1,26.2,73.7
Cypseloides.senex,2.97594149479687,0.0864343654631522,0.570645518927796,2.31886161040593,2.9,19.2,77.9
Discosura.longicaudus,5.30727745552702,2.87135177413121,0.854988987195027,1.58093669420079,54.1,16.1,29.8
Fulica.leucoptera,6.72056214505423,5.7060832977435,0.1997660621538,0.814712785156932,84.9,3,12.1
Diopsittaca.cumanensis,3.61841696559564,0.942828410021275,0.705681880050713,1.96990667552366,26.1,19.5,54.4
Discosura.langsdorffi,4.01422602403877,1.70341476920694,0.613235965757269,1.69757528907456,42.4,15.3,42.3
Dromococcyx.pavoninus,2.81409126586536,0.148749820821045,1.28949517179924,1.37584627324508,5.3,45.8,48.9
Elanoides.forficatus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Eleothreptus.anomalus,3.97399317215843,1.04313780313468,1.42177002422955,1.50908534479421,26.2,35.8,38
Nycticryphes.semicollaris,4.5957644450184,1.0740198955037,1.64790611962162,1.87383842989309,23.4,35.9,40.8
Lophornis.chalybeus,3.29286928587667,0.346277101991474,0.349689292171349,2.59690289171385,10.5,10.6,78.9
Eudocimus.ruber,3.16357651411452,0.729290902997564,1.09937578515597,1.33490982596098,23.1,34.8,42.2
Eupetomena.macroura,3.72325247009547,0.0548797512626819,1.92495089029217,1.74342182854062,1.5,51.7,46.8
Eupsittula.aurea,3.29410558011018,0.676230848945402,0.885652522340158,1.73222220882462,20.5,26.9,52.6
Eupsittula.cactorum,5.64452207934212,3.944863710797,0.137214522418975,1.56244384612615,69.9,2.4,27.7
Falco.rufigularis,6.30292995381996,3.91722401719393,0.234547980408659,2.15115795621737,62.1,3.7,34.1
Florisuga.fusca,3.85206812582517,0.128907341167275,0.651019111968801,3.07214167268909,3.3,16.9,79.8
Fulica.rufifrons,5.40217505594718,2.87721149811271,0.469725291880728,2.05523826595374,53.3,8.7,38
Thlypopsis.pyrrhocoma,4.24461325067852,1.67639409184468,1.38651310354241,1.18170605529143,39.5,32.7,27.8
Gallinago.undulata,3.32593358194853,0.32905596443092,1.43012028797342,1.56675732954419,9.9,43,47.1
Gampsonyx.swainsonii,3.51412806950603,0.348211893966422,1.49793235330153,1.66798382223808,9.9,42.6,47.5
Geranoaetus.albicaudatus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Geranoaetus.melanoleucus,3.91593075163748,0.473411360933213,1.92779353372807,1.51472585697619,12.1,49.2,38.7
Glaucis.dohrnii,4.39572219960837,2.40498646744123,0.489481413904612,1.50125431826253,54.7,11.1,34.2
Glaucis.hirsutus,4.13579021296591,1.32444684810621,0.679329529766371,2.13201383509334,32,16.4,51.6
Spinus.magellanicus,3.5291234684286,0.391342537270585,1.4882922624998,1.64948866865822,11.1,42.2,46.7
Guira.guira,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Pionopsitta.pileata,4.25547662202373,0.890787807810891,2.1213161467274,1.24337266748545,20.9,49.8,29.2
Heliactin.bilophus,3.02800251889388,1.1564768373807,0.507403600107654,1.36412208140553,38.2,16.8,45.1
Pionus.maximiliani,3.96171368500403,0.00168086520849752,1.94741786648839,2.01261495330714,0,49.2,50.8
Pionus.reichenowi,5.80046860041137,3.88096338077141,0.459090465191584,1.46041475444838,66.9,7.9,25.2
Heliomaster.furcifer,4.2873348778559,1.62010423512334,1.53954440259781,1.12768624013474,37.8,35.9,26.3
Heliomaster.squamosus,3.47493228936862,1.35109648077452,0.485294549834573,1.63854125875953,38.9,14,47.2
Heliothryx.auritus,3.36390571126035,0.718376854736324,0.523211170309775,2.12231768621425,21.4,15.6,63.1
Hoploxypterus.cayanus,3.56314284566649,0.175964131184937,1.67052410726808,1.71665460721347,4.9,46.9,48.2
Hydropsalis.maculicaudus,2.66984111203724,0.937851980821187,0.465843587668398,1.26614554354765,35.1,17.4,47.4
Hydropsalis.torquata,4.05584281528183,0.0248413432005334,2.4033775514172,1.6276239206641,0.6,59.3,40.1
Ibycter.americanus,3.49178515241804,3.32175226169316,0.0582394711502191,0.111793419574663,95.1,1.7,3.2
