inertia,OMI,Tol,Rtol,omi,tol,rtol
Amazona.aestiva,3.07030330342274,0.00472734166941524,0.571474277327594,2.49410168442573,0.2,18.6,81.2
Anodorhynchus.glaucus,5.76740339674108,5.61849543356432,0.0555695470747185,0.093338416102037,97.4,1,1.6
Aramides.cajaneus,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Arremon.flavirostris,2.30547094850526,0.0538631461475427,0.932722181041067,1.31888562131665,2.3,40.5,57.2
Campylopterus.largipennis,3.59480607167456,3.50479171977453,0.010190472146868,0.0798238797531577,97.5,0.3,2.2
Cichlocolaptes.mazarbarnetti,1.08825903801074,1.08825903801074,0,0,100,0,0
Columbina.cyanopis,3.15444080554924,3.15444080554924,0,0,100,0,0
Cotinga.maculata,2.02681562575489,0.946274029118987,0.509338185282334,0.571203411353573,46.7,25.1,28.2
Drymophila.genei,1.96685931856045,1.32853330727916,0.189399051333751,0.44892695994754,67.5,9.6,22.8
Elaenia.albiceps,3.02822408321489,0.00466350519367859,1.52463555959675,1.49892501842446,0.2,50.3,49.5
Eleothreptus.candicans,1.95424755679821,0.545860151758573,0.716099429835686,0.692287975203954,27.9,36.6,35.4
Formicivora.acutirostris,4.29863457793407,3.87491719495018,0.351538560738892,0.0721788222450037,90.1,8.2,1.7
Glaucidium.mooreorum,1.95709993978922,1.95709993978922,0,0,100,0,0
Harpagus.diodon,2.99947976576128,0.00114509532905855,1.21853272359927,1.77980194683295,0,40.6,59.3
Mergus.octosetaceus,3.06027398700916,0.114878519409745,2.30447666934544,0.640918798253968,3.8,75.3,20.9
Myrmotherula.snowi,2.31095836900176,2.14391482802704,0.112608557539863,0.0544349834348591,92.8,4.9,2.4
Nothura.maculosa,3.13269775512479,0.0403351816173416,2.44244243450392,0.649920139003526,1.3,78,20.7
Ortalis.guttata,2.41195354193376,2.26429533564668,0.0448050179625501,0.102853188324531,93.9,1.9,4.3
Ortalis.squamata,3.59125525320009,1.81708514460415,1.33387498349019,0.440295125105758,50.6,37.1,12.3
Philydor.novaesi,1.08825903801074,1.08825903801074,0,0,100,0,0
Sporophila.cinnamomea,3.36730069976032,0.445614880695815,2.33099150510681,0.590694313957699,13.2,69.2,17.5
Sporophila.maximiliani,2.46227212561619,1.48989784329485,0.383726729217272,0.58864755310407,60.5,15.6,23.9
Sporophila.melanogaster,3.18038006567024,0.128830227004004,0.730778721133369,2.32077111753287,4.1,23,73
Sporophila.palustris,3.47209327231689,0.497642161505674,2.23556935173784,0.738881759073371,14.3,64.4,21.3
Synallaxis.cinerea,1.77413940592749,0.263013332338291,0.0505543213112166,1.46057175227798,14.8,2.8,82.3
Taoniscus.nanus,2.39392588696777,1.72818574214284,0.397345444686405,0.268394700138527,72.2,16.6,11.2
Vireo.chivi,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Vireo.olivaceus,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Porphyriops.melanops,3.07651263992609,0.00102492810094652,0.747183092713059,2.32830461911208,0,24.3,75.7
Celeus.galeatus,2.79023521175952,0.649312527087133,1.39077519610386,0.750147488568531,23.3,49.8,26.9
Guyramemua.affinis,3.20237885886375,2.83303913838907,0.0710912169919091,0.298248503482764,88.5,2.2,9.3
Paraclaravis.geoffroyi,2.87678771077384,0.119335444585444,0.810659901074801,1.94679236511359,4.1,28.2,67.7
Chaetura.meridionalis,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Chlorostilbon.lucidus,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Fulica.armillata,3.09674240154967,1.56015914101954,1.16129311879931,0.375290141730815,50.4,37.5,12.1
Chelidoptera.tenebrosa,2.52937339095594,1.46412493759523,0.339939517958428,0.725308935402277,57.9,13.4,28.7
Chloroceryle.inda,1.78291286174826,0.0160681865215381,0.69592239301565,1.07092228221107,0.9,39,60.1
Chlorostilbon.notatus,1.93793161513352,0.885307662938392,0.207048273925611,0.845575678269515,45.7,10.7,43.6
Chondrohierax.uncinatus,2.05452558911377,0.374927026826165,1.13962935482022,0.53996920746738,18.2,55.5,26.3
Chordeiles.minor,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Chordeiles.nacunda,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Chrysolampis.mosquitus,2.40695627400327,1.25151475125035,0.449352906725133,0.706088616027778,52,18.7,29.3
Ciccaba.huhula,2.86141813591451,0.154556326027022,0.681345745904801,2.02551606398269,5.4,23.8,70.8
Ciccaba.virgata,3.01162586517156,0.0291487020854153,1.56075311016831,1.42172405291784,1,51.8,47.2
Ciconia.maguari,3.8448601783272,1.36157917578105,1.49810411009621,0.985176892449933,35.4,39,25.6
Circus.buffoni,3.06993809040908,0.012840592585606,1.3537117088413,1.70338578898216,0.4,44.1,55.5
Circus.cinereus,5.37891976141481,5.13838204997837,0.0549965134880689,0.185541197948374,95.5,1,3.4
Clytolaema.rubricauda,2.6454235569632,0.364346933602689,0.463799430948449,1.81727719241206,13.8,17.5,68.7
Coccycua.cinerea,3.81970528157725,1.06060278659661,1.72589583496222,1.03320666001842,27.8,45.2,27
Coccyzus.euleri,2.46644173545112,0.149178952305425,1.59549597008343,0.721766813062267,6,64.7,29.3
Coccyzus.americanus,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Colaptes.campestris,2.6808607689267,0.0595868188856501,1.9526110705214,0.668662879519642,2.2,72.8,24.9
Colaptes.campestroides,5.88388153651222,5.14495031265661,0.279874765715131,0.459056458140488,87.4,4.8,7.8
Colaptes.melanochloros,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Colibri.serrirostris,2.1000142996426,0.569086168639716,0.918027239643883,0.612900891359002,27.1,43.7,29.2
Platyrinchus.mystaceus,2.99239394082155,3.37972529535893e-05,2.25475569489296,0.737604448675635,0,75.3,24.6
Columbina.picui,4.09402995557841,2.33986207493252,1.02390107908452,0.73026680156137,57.2,25,17.8
Columbina.squammata,2.6294261214221,0.110446712026423,1.66410974566922,0.854869663726451,4.2,63.3,32.5
Coscoroba.coscoroba,3.28128814056673,0.822451603049345,1.89395328826677,0.564883249250616,25.1,57.7,17.2
Coturnicops.notatus,4.79928551237759,3.26934305350222,1.05198533684848,0.477957122026895,68.1,21.9,10
Crax.blumenbachii,2.04851380444439,0.914171727173511,0.449587143921958,0.68475493334892,44.6,21.9,33.4
Crax.fasciolata,2.08804098350454,0.95854433579163,0.477746973016441,0.651749674696471,45.9,22.9,31.2
Crotophaga.major,2.39193518950876,0.222958452994968,1.3675297414933,0.801446995020486,9.3,57.2,33.5
Crypturellus.noctivagus,3.09582228921292,0.113556091052219,0.85200476684915,2.13026143131155,3.7,27.5,68.8
Crypturellus.obsoletus,3.02960631748315,0.0596611572820121,1.86642495099256,1.10352020920858,2,61.6,36.4
Crypturellus.parvirostris,2.34806582996634,0.337335818827122,1.17514804578278,0.835581965356445,14.4,50,35.6
Crypturellus.undulatus,1.80790821632963,0.763900455636905,0.48375453586835,0.560253224824379,42.3,26.8,31
Crypturellus.variegatus,1.99658212283112,0.828732292060228,0.399649580373166,0.768200250397729,41.5,20,38.5
