inertia,OMI,Tol,Rtol,omi,tol,rtol
Euryoryzomys.lamia,3.28109018488013,2.87223306833795,0.0238093183322293,0.385047798209952,87.5,0.7,11.7
Speothos.venaticus,3.6782751812445,0.0554022474136678,1.90248070058829,1.72039223324254,1.5,51.7,46.8
Callicebus.personatus,3.80784951262248,2.28296845051414,0.298089101282735,1.2267919608256,60,7.8,32.2
Callicebus.melanochir,5.32585124204429,3.54642077086764,0.218330151053279,1.56110032012338,66.6,4.1,29.3
Callicebus.nigrifrons,2.51365998810714,0.755099713121801,0.313675134580319,1.44488514040502,30,12.5,57.5
Callicebus.coimbrai,7.85306314584462,6.60528349104634,0.332788892297729,0.914990762500557,84.1,4.2,11.7
Pecari.tajacu,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Carterodon.sulcidens,3.03033097313363,2.46220127536145,0.06299433023792,0.505135367534254,81.3,2.1,16.7
Alouatta.caraya,2.48815971661249,0.576211012586523,0.467594978681849,1.44435372534411,23.2,18.8,58
Alouatta.belzebul,8.36179486648739,6.75403061771492,0.539773651244675,1.0679905975278,80.8,6.5,12.8
Alouatta.guariba,3.86522055535109,0.149279749376069,2.23256795384381,1.48337285213122,3.9,57.8,38.4
Brachyteles.arachnoides,2.56931057724237,0.531138570590979,0.703409717715945,1.33476228893544,20.7,27.4,52
Brachyteles.hypoxanthus,3.37804461093462,1.63013227970531,0.249166592225421,1.49874573900389,48.3,7.4,44.4
Leontopithecus.caissara,8.66300814858457,7.81791627082502,0.505427117284816,0.339664760474728,90.2,5.8,3.9
Leontopithecus.chrysomelas,5.15314202394547,3.79093735750583,0.147450593975192,1.21475407246444,73.6,2.9,23.6
Leontopithecus.rosalia,2.57856178331834,1.07857755680258,0.502777610289333,0.997206616226426,41.8,19.5,38.7
Leontopithecus.chrysopygus,1.17414867928256,0.0541710925215806,0.586569886470699,0.53340770029028,4.6,50,45.4
Callithrix.penicillata,3.19940214196688,1.97375796809294,0.233249449549924,0.992394724324016,61.7,7.3,31
Callithrix.jacchus,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Callithrix.kuhlii,5.50470872846303,3.41068067887882,0.218044831331753,1.87598321825245,62,4,34.1
Callithrix.geoffroyi,4.51156255283405,2.56112384231411,0.172063914121474,1.77837479639846,56.8,3.8,39.4
Callithrix.flaviceps,3.12927448961188,1.98973552248495,0.449318764435532,0.690220202691398,63.6,14.4,22.1
Callicebus.barbarabrownae,6.6661479032887,5.55783693924315,0.119980023137036,0.988330940908514,83.4,1.8,14.8
Lontra.longicaudis,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Pteronura.brasiliensis,1.36159041084035,1.36159041084035,0,0,100,0,0
Mazama.nana,4.80415853424851,2.99408667727184,0.667771464297956,1.14230039267871,62.3,13.9,23.8
Mazama.gouazoubira,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Mazama.americana,2.85884095733133,0.100581219873444,0.167101819800882,2.591157917657,3.5,5.8,90.6
Mazama.bororo,3.58911251797848,0.712017896002891,1.37262782489143,1.50446679708417,19.8,38.2,41.9
Ozotoceros.bezoarticus,4.53068998946314,1.41004172325003,2.43340858350054,0.687239682712567,31.1,53.7,15.2
Blastocerus.dichotomus,3.26288314854676,0.479574200186962,1.140810250786,1.6424986975738,14.7,35,50.3
Gracilinanus.microtarsus,3.94895359547078,0.773770545516645,1.32723141148529,1.84795163846884,19.6,33.6,46.8
Gracilinanus.agilis,2.24570724865482,0.344117224403748,0.854511959279071,1.047078064972,15.3,38.1,46.6
Monodelphis.dimidiata,3.59411695024872,0.575215604851031,1.70784974759986,1.31105159779783,16,47.5,36.5
Monodelphis.kunsi,1.42903346865451,0.467212351014583,0.120630342113929,0.841190775525995,32.7,8.4,58.9
Monodelphis.iheringi,3.89309469702009,0.12116663590527,0.405393389297013,3.36653467181781,3.1,10.4,86.5
Monodelphis.domestica,2.40130208693154,0.538642084898637,0.68297705720384,1.17968294482906,22.4,28.4,49.1
Monodelphis.unistriata,2.60125020530265,2.60125020530265,0,0,100,0,0
Thylamys.velutinus,2.11517923650587,1.1571607744421,0.261288972550591,0.696729489513175,54.7,12.4,32.9
Thylamys.karimii,3.02016336044544,2.84782194527713,0.0172813635281133,0.1550600516402,94.3,0.6,5.1
Chironectes.minimus,3.73117964883494,0.0661146584215974,2.03871527047912,1.62634971993422,1.8,54.6,43.6
Marmosa.murina,4.48041803945366,1.89308102939333,0.750094223679614,1.83724278638072,42.3,16.7,41
Marmosa.demerarae,6.39355056110786,3.74787078868113,0.273754118552236,2.37192565387449,58.6,4.3,37.1
Marmosa.constantiae,0.903137537051717,0.814493292967255,0.0168609035559742,0.0717833405284877,90.2,1.9,7.9
Lutreolina.crassicaudata,3.79238609923203,0.946779032768033,1.33439864439799,1.51120842206601,25,35.2,39.8
Caluromys.lanatus,3.51124358977111,0.575571830911132,1.56381460032343,1.37185715853655,16.4,44.5,39.1
Didelphis.aurita,3.86553683155244,0.00165910385671276,1.97636876920519,1.88750895849054,0,51.1,48.8
Didelphis.albiventris,4.03436684295363,0.0941739042065492,2.43695764964052,1.50323528910656,2.3,60.4,37.3
Philander.frenatus,3.70192309885016,0.123870588344912,1.74720641489481,1.83084609561044,3.3,47.2,49.5
Metachirus.nudicaudatus,3.53479938032303,0.212082421991639,1.53776251870199,1.7849544396294,6,43.5,50.5
Cryptonanus.agricolai,5.24728920242319,2.54344555541611,0.377238353349187,2.32660529365789,48.5,7.2,44.3
Cryptonanus.chacoensis,2.98596955567549,2.34585889422139,0.401417556752179,0.238693104701923,78.6,13.4,8
Cryptonanus.guahybae,6.52951289180085,5.98283334650087,0.0372106414067515,0.509468903893229,91.6,0.6,7.8
Marmosops.incanus,4.08435513537724,0.979177036209381,0.796740193302993,2.30843790586487,24,19.5,56.5
Marmosops.paulensis,2.82012552384183,0.564529801099887,0.414433723561557,1.84116199918038,20,14.7,65.3
Cavia.magna,5.90123158758388,4.16080974337399,0.588915398208446,1.15150644600144,70.5,10,19.5
Cavia.fulgida,3.69347122579953,0.293064419194211,0.900079653720686,2.50032715288464,7.9,24.4,67.7
Cavia.aperea,3.91357125350397,0.00202001738472849,1.78216621499738,2.12938502112186,0.1,45.5,54.4
Galea.spixii,7.51491048646269,4.6594106815657,0.273955382184523,2.58154442271247,62,3.6,34.4
Hydrochoerus.hydrochaeris,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Kerodon.rupestris,8.00076305965024,5.95040603491472,0.482926461888029,1.56743056284749,74.4,6,19.6
Ctenomys.minutus,6.90979278579505,5.12664625998944,0.481732054319691,1.30141447148592,74.2,7,18.8
Ctenomys.lami,6.22261449812317,3.82609892805204,0.288648977844966,2.10786659222616,61.5,4.6,33.9
Ctenomys.flamarioni,6.49377539717009,4.1621185827162,0.649533244555463,1.68212356989843,64.1,10,25.9
Cuniculus.paca,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Dasyprocta.leporina,3.77956080610389,0.735652308621464,0.716267422920159,2.32764107456227,19.5,19,61.6
Dasyprocta.prymnolopha,6.0327859062397,3.49146850869304,0.255410113150792,2.28590728439586,57.9,4.2,37.9
Dasyprocta.azarae,3.79432667129092,1.08338707844351,1.57411942191008,1.13682017093733,28.6,41.5,30
Clyomys.laticeps,2.48859189647832,0.102150221480324,0.170710334211268,2.21573134078673,4.1,6.9,89
Kannabateomys.amblyonyx,3.54439937246148,0.480638501695773,1.73592798129709,1.32783288946862,13.6,49,37.5
Euryzygomatomys.spinosus,3.95543527529063,0.557472001183107,1.93154869913016,1.46641457497736,14.1,48.8,37.1
Thrichomys.apereoides,4.71599703559187,2.29332317076324,0.666418695052553,1.75625516977608,48.6,14.1,37.2
Proechimys.longicaudatus,3.35385190434551,3.21110635802542,0.0487119788509421,0.0940335674691539,95.7,1.5,2.8
Phyllomys.blainvillii,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Phyllomys.medius,3.72928403264601,1.23122524945425,1.37563346225715,1.1224253209346,33,36.9,30.1
Phyllomys.dasythrix,6.05298173526174,4.99831378599769,0.31236385051368,0.742304098750372,82.6,5.2,12.3
Phyllomys.lamarum,5.56614483459056,3.08440383417198,0.282100750999135,2.19964024941944,55.4,5.1,39.5
Phyllomys.nigrispinus,2.04623530154732,0.0992094570272507,0.689807298024221,1.25721854649585,4.8,33.7,61.4
Phyllomys.kerri,3.28614836079104,1.05742552278355,0.685113943955263,1.54360889405223,32.2,20.8,47
Phyllomys.pattoni,4.73242981651099,1.75776794498608,0.703215335883632,2.27144653564128,37.1,14.9,48
Phyllomys.lundi,2.90191308086981,1.14669827424324,0.815427864764356,0.939786941862207,39.5,28.1,32.4
Phyllomys.unicolor,5.82616666291902,4.35910937924194,0.608704861241589,0.858352422435492,74.8,10.4,14.7
Phyllomys.thomasi,4.53059504267761,4.53059504267761,0,0,100,0,0
Phyllomys.mantiqueirensis,2.85946690742483,1.81719991319681,0.305421459258711,0.736845534969314,63.6,10.7,25.8
Trinomys.moojeni,3.99131867451045,2.8215427000125,0.0689069241078669,1.10086905039009,70.7,1.7,27.6
Trinomys.albispinus,7.48304282953872,5.37369275920919,0.182815157371376,1.92653491295816,71.8,2.4,25.7
Trinomys.eliasi,4.24274897771425,2.68178189471941,0.874253974658118,0.686713108336722,63.2,20.6,16.2
Trinomys.mirapitanga,8.46137950404983,7.25124027914035,0.851231657077262,0.358907567832213,85.7,10.1,4.2
Trinomys.gratiosus,2.51565582184771,0.755863733168639,0.134327605533288,1.62546448314578,30,5.3,64.6
Trinomys.paratus,3.6450374900678,2.11352174023121,0.477968471134703,1.05354727870188,58,13.1,28.9
Trinomys.setosus,4.38255656359561,1.72513863052687,0.484549234695125,2.17286869837362,39.4,11.1,49.6
Trinomys.dimidiatus,2.66910148437708,0.512154908895861,0.123075393783745,2.03387118169748,19.2,4.6,76.2
Trinomys.iheringi,3.53128772371073,0.69505067937178,0.728124780931379,2.10811226340757,19.7,20.6,59.7
Chaetomys.subspinosus,5.28938963144679,3.15487623001678,0.653844136451296,1.48066926497872,59.6,12.4,28
Coendou.insidiosus,5.31537899940463,3.37425060725827,0.286906774800761,1.6542216173456,63.5,5.4,31.1
Coendou.spinosus,3.71659871988071,0.560941077247232,1.70438328807614,1.45127435455734,15.1,45.9,39
Coendou.prehensilis,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Sciurus.aestuans,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Hylaeamys.laticeps,3.7888064714268,1.45334191273174,0.379813676645293,1.95565088204977,38.4,10,51.6
Hylaeamys.oniscus,8.05337947999069,6.38704777272737,0.449842377635947,1.21648932962737,79.3,5.6,15.1
Necromys.lasiurus,3.79865919273769,0.0415517437688987,1.98569347995136,1.77141396901744,1.1,52.3,46.6
Juliomys.rimofrons,2.66592668241285,1.67865631457546,0.297217413170937,0.690052954666447,63,11.1,25.9
Thaptomys.nigrita,3.98229145383313,0.0997593629993097,2.10815228571309,1.77437980512073,2.5,52.9,44.6
