inertia,OMI,Tol,Rtol,omi,tol,rtol
Euryoryzomys.lamia,4.03636550468989,3.99862158929082,0.00321256363467569,0.034531351764391,99.1,0.1,0.9
Speothos.venaticus,2.61844217139582,0.0622028325403321,1.83923068445068,0.717008654404804,2.4,70.2,27.4
Callicebus.personatus,2.49983787046996,2.02933762857949,0.214188062691178,0.256312179199296,81.2,8.6,10.3
Callicebus.melanochir,1.77671150338238,0.616547498890382,0.112224312101473,1.04793969239053,34.7,6.3,59
Callicebus.nigrifrons,2.21403070822136,1.10873351446103,0.487860457782678,0.617436735977652,50.1,22,27.9
Callicebus.coimbrai,2.69210695283549,2.39031713830521,0.00494391074022722,0.296845903790051,88.8,0.2,11
Pecari.tajacu,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Carterodon.sulcidens,3.22816778262076,3.06071307513109,0.0406984302968145,0.126756277192857,94.8,1.3,3.9
Alouatta.caraya,2.56027257138784,0.781869292201468,1.02512731800957,0.753275961176797,30.5,40,29.4
Alouatta.belzebul,2.37588026099168,2.11368655854909,0.107611166975822,0.15458253546677,89,4.5,6.5
Alouatta.guariba,3.13200063111639,0.1328559455864,2.01644803069864,0.982696654831342,4.2,64.4,31.4
Brachyteles.arachnoides,1.29219808809208,0.542122405199505,0.168204538474782,0.581871144417795,42,13,45
Brachyteles.hypoxanthus,2.48275326577912,2.01846348293847,0.191310573821927,0.272979209018729,81.3,7.7,11
Leontopithecus.caissara,1.1472591178378,1.07224737406707,0.000269643526737049,0.0747421002439944,93.5,0,6.5
Leontopithecus.chrysomelas,1.53891904413166,0.376101642797104,0.370589449669428,0.792227951665129,24.4,24.1,51.5
Leontopithecus.rosalia,0.92101765619762,0.622731615035613,0.291967631435661,0.00631840972634573,67.6,31.7,0.7
Leontopithecus.chrysopygus,1.03319790042806,0.15840577533667,0.690400999942824,0.184391125148566,15.3,66.8,17.8
Callithrix.penicillata,3.12338021319763,2.57736038810023,0.110545572636663,0.435474252460735,82.5,3.5,13.9
Callithrix.jacchus,2.27683247460853,2.00754318558365,0.113696464692867,0.155592824332017,88.2,5,6.8
Callithrix.kuhlii,1.91864598430047,0.367621124889859,0.161635042580333,1.38938981683028,19.2,8.4,72.4
Callithrix.geoffroyi,2.42665419292821,1.36165249221108,0.443919918491316,0.621081782225811,56.1,18.3,25.6
Callithrix.flaviceps,2.44952612752668,2.15506110322409,0.13914286649691,0.155322157805672,88,5.7,6.3
Callicebus.barbarabrownae,1.96201928184069,1.55543124819302,0.106448890685892,0.30013914296178,79.3,5.4,15.3
Lontra.longicaudis,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Pteronura.brasiliensis,0.845578953008275,0.845578953008275,0,0,100,0,0
Mazama.nana,4.33624691920985,3.01611295109029,0.845889268674664,0.474244699444897,69.6,19.5,10.9
Mazama.gouazoubira,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Mazama.americana,2.7904240269761,0.0263461213909223,2.04606578627399,0.718012119311191,0.9,73.3,25.7
Mazama.bororo,2.99908907379029,0.897607442798575,1.07346723367992,1.02801439731179,29.9,35.8,34.3
Ozotoceros.bezoarticus,4.8759153028342,1.20833060935827,3.21441260434141,0.453172089134516,24.8,65.9,9.3
Blastocerus.dichotomus,3.1516360196166,0.223882027286968,1.04058064256421,1.88717334976543,7.1,33,59.9
Gracilinanus.microtarsus,3.57202188872352,0.569814083804151,1.32195388589985,1.68025391901952,16,37,47
Gracilinanus.agilis,2.05496083753067,0.614371595675949,0.841456812388196,0.599132429466526,29.9,40.9,29.2
Monodelphis.dimidiata,3.30541143400698,0.336236650278581,2.40751626791775,0.561658515810651,10.2,72.8,17
Monodelphis.kunsi,1.38252104660306,0.546353526035004,0.404064227901382,0.432103292666676,39.5,29.2,31.3
Monodelphis.iheringi,2.89098114838889,0.220302555365021,0.533934431145296,2.13674416187857,7.6,18.5,73.9
Monodelphis.domestica,2.09499822036808,0.912393961184834,0.587882402308691,0.594721856874558,43.6,28.1,28.4
Monodelphis.unistriata,3.06983259349974,3.06983259349974,0,0,100,0,0
Thylamys.velutinus,2.30277596159082,1.64067849873803,0.287010025380517,0.375087437472271,71.2,12.5,16.3
Thylamys.karimii,4.10437311591331,4.08000384722963,0.00141347186018611,0.0229557968234986,99.4,0,0.6
Chironectes.minimus,3.03012470642579,0.0398909991589115,1.881836909404,1.10839679786288,1.3,62.1,36.6
Marmosa.murina,1.91098021693948,0.793916222054385,0.383191207802815,0.733872787082278,41.5,20.1,38.4
Marmosa.demerarae,2.45263403936788,0.971566373140869,0.215825434898344,1.26524223132867,39.6,8.8,51.6
Marmosa.constantiae,0.543583949634115,0.532931500766433,0.00729836143294238,0.00335408743473903,98,1.3,0.6
Lutreolina.crassicaudata,3.5083184582484,0.675572503509625,1.91333015468629,0.91941580005249,19.3,54.5,26.2
Caluromys.lanatus,3.28719219460677,0.269668942217692,2.48841664536775,0.529106607021328,8.2,75.7,16.1
Didelphis.aurita,2.93327628390217,0.00148986985222078,2.06069695044423,0.871089463605715,0.1,70.3,29.7
Didelphis.albiventris,3.26898312963821,0.0571143437247945,2.55296116100035,0.658907624913066,1.7,78.1,20.2
Philander.frenatus,2.96100411790195,0.101723744704995,1.09004174239704,1.76923863079991,3.4,36.8,59.8
Metachirus.nudicaudatus,2.3731096729241,0.19893112057769,1.42529091672261,0.748887635623801,8.4,60.1,31.6
Cryptonanus.agricolai,3.00002415560781,2.0883480932434,0.300771326538934,0.610904735825471,69.6,10,20.4
Cryptonanus.chacoensis,2.04709505360938,1.50083602513649,0.323877377509995,0.22238165096289,73.3,15.8,10.9
Cryptonanus.guahybae,6.75088925205354,6.51097099477588,0.0899189864502318,0.149999270827421,96.4,1.3,2.2
Marmosops.incanus,2.22721389346073,0.781552978799483,0.873701991981681,0.571958922679563,35.1,39.2,25.7
Marmosops.paulensis,1.56476169151813,0.646220185259363,0.312279786055093,0.606261720203672,41.3,20,38.7
Cavia.magna,5.98866229082044,5.76488530149817,0.116713692841027,0.107063296481236,96.3,1.9,1.8
Cavia.fulgida,2.58144798546341,0.368211476989645,1.0806720669183,1.13256444155546,14.3,41.9,43.9
Cavia.aperea,3.00283186170645,0.000692472825900372,1.97253049881737,1.02960889006317,0,65.7,34.3
Galea.spixii,2.7634172515061,1.62386497158952,0.102506998915276,1.03704528100131,58.8,3.7,37.5
Hydrochoerus.hydrochaeris,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Kerodon.rupestris,2.55599558969259,2.10631785221401,0.105800457882992,0.343877279595587,82.4,4.1,13.5
Ctenomys.minutus,6.38321615923592,6.04840491556415,0.0823660898621417,0.25244515380962,94.8,1.3,4
Ctenomys.lami,5.23428908727193,5.12820420019869,0.0531264929006096,0.0529583941726348,98,1,1
Ctenomys.flamarioni,6.21298110261544,5.92480002291634,0.15894109229272,0.12923998740639,95.4,2.6,2.1
Cuniculus.paca,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Dasyprocta.leporina,2.21955482192035,0.742477543024253,0.920227446088871,0.556849832807226,33.5,41.5,25.1
Dasyprocta.prymnolopha,2.44894332244572,1.01364241047006,0.250556433637643,1.18474447833802,41.4,10.2,48.4
Dasyprocta.azarae,3.52675537204832,0.903355513623103,1.96648040066483,0.656919457760386,25.6,55.8,18.6
Clyomys.laticeps,2.3647847074203,0.112414149906615,1.58392784570357,0.668442711810113,4.8,67,28.3
Kannabateomys.amblyonyx,3.11352777889925,0.274940806054006,2.19673467791713,0.641852294928118,8.8,70.6,20.6
Euryzygomatomys.spinosus,3.35042416210456,0.420411105101917,1.99679769627659,0.933215360726047,12.5,59.6,27.9
Thrichomys.apereoides,2.65468604402003,1.4884228244882,0.274008472170566,0.892254747361263,56.1,10.3,33.6
Proechimys.longicaudatus,3.68559124709263,3.63815683787302,0.0152714558548419,0.032162953364768,98.7,0.4,0.9
Phyllomys.blainvillii,2.27683247460853,2.00754318558365,0.113696464692867,0.155592824332017,88.2,5,6.8
Phyllomys.medius,3.34186315115347,1.02105246310939,1.77970054147005,0.541110146574031,30.6,53.3,16.2
Phyllomys.dasythrix,5.86635976667644,5.1846816262563,0.399825919650043,0.281852220770093,88.4,6.8,4.8
Phyllomys.lamarum,2.49847109943011,1.12588057662782,0.3180975024776,1.05449302032469,45.1,12.7,42.2
Phyllomys.nigrispinus,1.32189293277598,0.100308122650527,0.345066435792814,0.87651837433264,7.6,26.1,66.3
Phyllomys.kerri,1.46999671647021,1.22639274017418,0.180013909521796,0.0635900667742306,83.4,12.2,4.3
Phyllomys.pattoni,2.29618119525538,0.961317358197649,0.516791580119209,0.818072256938524,41.9,22.5,35.6
Phyllomys.lundi,1.28745252847953,1.10053464647563,0.0957685666093155,0.0911493153945849,85.5,7.4,7.1
