inertia,OMI,Tol,Rtol,omi,tol,rtol
Acanthochelys.radiolata,4.55783392054106,1.49675765280215,0.990217746401362,2.07085852133754,32.8,21.7,45.4
Acanthochelys.spixii,4.24929237223388,1.38843283600402,1.25249546481356,1.6083640714163,32.7,29.5,37.9
Acratosaura.mentalis,5.85815909316758,3.30958063892459,0.261081912850884,2.28749654139211,56.5,4.5,39
Acratosaura.spinosa,6.12440469707071,4.73382792033347,0.0730964770450443,1.3174802996922,77.3,1.2,21.5
Alexandresaurus.camacan,5.76725049377502,3.69221298188998,0.214319089911934,1.86071842197311,64,3.7,32.3
Ameiva.ameiva,3.67847326446209,0.0930972596708105,1.82548975203381,1.75988625275747,2.5,49.6,47.8
Ameivula.abaetensis,6.98641076175942,5.11374175204643,0.178951128177562,1.69371788153543,73.2,2.6,24.2
Ameivula.cipoensis,2.90801027734933,2.85882875023593,0.00145934419411107,0.0477221829192878,98.3,0.1,1.6
Ameivula.littoralis,2.58377124141858,0.78177375108684,0.0942250110323397,1.7077724792994,30.3,3.6,66.1
Ameivula.nativo,5.50205169294527,4.13565059605084,0.544057863643255,0.822343233251182,75.2,9.9,14.9
Ameivula.ocellifera,3.85713121982081,0.00409482000102381,1.91673743636843,1.93629896345135,0.1,49.7,50.2
Amerotyphlops.brongersmianus,3.97431498888149,8.11270384638212e-05,1.37939684649053,2.5948370153525,0,34.7,65.3
Amerotyphlops.paucisquamus,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Amerotyphlops.reticulatus,4.14927890909609,1.96949253385648,0.366309960383103,1.8134764148565,47.5,8.8,43.7
Amphisbaena.alba,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Amphisbaena.albocingulata,1.54294526123128,0.81992665072336,0.0378813939929032,0.685137216515021,53.1,2.5,44.4
Amphisbaena.amazonica,8.13815459754727,6.53831711977599,0.449348059320391,1.1504894184509,80.3,5.5,14.1
Amphisbaena.bahiana,5.54717926286115,5.54717926286115,0,0,100,0,0
Amphisbaena.darwini,4.38165184770214,2.19488516305294,1.17382525273154,1.01294143191766,50.1,26.8,23.1
Amphisbaena.dubia,3.59536944876312,1.49644622812821,0.795123306511734,1.30379991412317,41.6,22.1,36.3
Amphisbaena.heterozonata,1.58619951670093,0.947614303624192,0.0536255361939968,0.584959676882739,59.7,3.4,36.9
Amphisbaena.hogei,3.10229516884955,0.910760393421038,0.962161468958806,1.2293733064697,29.4,31,39.6
Amphisbaena.infraorbitale,3.29937400293503,1.00371168797567,0.257926956574369,2.037735358385,30.4,7.8,61.8
Amphisbaena.kingii,7.19151354620567,6.45854281094161,0.0568732533293402,0.676097481934721,89.8,0.8,9.4
Amphisbaena.lumbricalis,1.57209594639907,1.02780159232674,0.0865952274899151,0.457699126582419,65.4,5.5,29.1
Amphisbaena.mertensii,1.95332471749709,0.175531680437951,0.360568271403695,1.41722476565545,9,18.5,72.6
Amphisbaena.microcephalum,4.54648364967666,1.39389232089577,1.63795819665161,1.51463313212928,30.7,36,33.3
Amphisbaena.munoai,6.51838153676355,6.08904574093507,0.0261622933037859,0.403173502524695,93.4,0.4,6.2
Amphisbaena.nigricauda,4.57524239981054,2.95741861642255,0.269645768666702,1.34817801472129,64.6,5.9,29.5
Amphisbaena.octostegum,6.93711609807217,6.93711609807217,0,0,100,0,0
Amphisbaena.polystegum,6.72293842950011,4.10795321849153,0.298039579170945,2.31694563183763,61.1,4.4,34.5
Amphisbaena.pretrei,6.91086068704192,4.33369360845171,0.301526808137614,2.27564027045259,62.7,4.4,32.9
Amphisbaena.prunicolor,4.05440502454641,1.31279903354499,1.6791897579174,1.06241623308402,32.4,41.4,26.2
Amphisbaena.roberti,1.02645936591298,0.33099192442231,0.282440589430146,0.41302685206053,32.2,27.5,40.2
Amphisbaena.scutigerum,1.73303805409807,1.20562968531896,0.00138194173515854,0.526026427043957,69.6,0.1,30.4
Amphisbaena.trachura,4.05034051623393,1.51757549965624,1.51095777933064,1.02180723724705,37.5,37.3,25.2
Amphisbaena.vermicularis,7.13964253411483,5.23188036340755,0.396230113336325,1.51153205737096,73.3,5.5,21.2
Amphisbaena.wiedi,5.587324845987,3.37704367098362,0.194975275590101,2.01530589941327,60.4,3.5,36.1
Amphisbaena.wuchereri,4.10175580157925,2.28802700153776,0.306763024330093,1.5069657757114,55.8,7.5,36.7
Anisolepis.grilli,3.70816808306095,0.9842041171847,1.58719841464211,1.13676555123414,26.5,42.8,30.7
Anisolepis.undulatus,5.9764845528864,5.85104622469018,0.0237108997716445,0.101727428424577,97.9,0.4,1.7
Anolis.brasiliensis,2.18588185048305,2.10964185301296,0.0162798816115524,0.0599601158585368,96.5,0.7,2.7
Anolis.chrysolepis,2.58826973253665,2.06509843894388,0.148352755203833,0.374818538388941,79.8,5.7,14.5
Anolis.fuscoauratus,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Anolis.meridionalis,1.72752512698833,0.851406759688245,0.359635196083761,0.516483171216322,49.3,20.8,29.9
Anolis.nasofrontalis,2.89788530725945,2.89788530725945,0,0,100,0,0
Anolis.pseudotigrinus,3.3435995062704,1.39372352906911,0.234440160833735,1.71543581636755,41.7,7,51.3
Anolis.punctatus,4.32430432393819,1.33977003879336,0.750017735540263,2.23451654960457,31,17.3,51.7
Anolis.williamsii,6.80599138560419,4.85666736259712,0.14990994274063,1.79941408026644,71.4,2.2,26.4
Anotosaura.collaris,5.15563974232695,2.96397732374007,0.138991559786819,2.05267085880006,57.5,2.7,39.8
Anotosaura.vanzolinia,6.026688358233,5.81556692645453,0.035393686559409,0.175727745219063,96.5,0.6,2.9
Apostolepis.albicollaris,3.4816016027443,3.06022824186938,0.0419735863273757,0.379399774547549,87.9,1.2,10.9
