inertia,OMI,Tol,Rtol,omi,tol,rtol
Acanthochelys.radiolata,2.0344072080309,0.689078792353514,0.408965662945136,0.936362752732248,33.9,20.1,46
Acanthochelys.spixii,3.91569005730575,1.10724860252965,1.7326495005822,1.0757919541939,28.3,44.2,27.5
Acratosaura.mentalis,2.79563583868155,1.2219248904748,0.396191221831802,1.17751972637495,43.7,14.2,42.1
Acratosaura.spinosa,1.93759153579332,0.843508493317996,0.149827411891947,0.94425563058338,43.5,7.7,48.7
Alexandresaurus.camacan,1.89266386313117,0.437636047782786,0.0815166769598564,1.37351113838853,23.1,4.3,72.6
Ameiva.ameiva,2.56297409669063,0.105177984585245,1.74059953180996,0.717196580295426,4.1,67.9,28
Ameivula.abaetensis,2.33006329228754,1.46748065894277,0.229300391070986,0.633282242273785,63,9.8,27.2
Ameivula.cipoensis,3.59934840785916,3.58724599297043,0.000840592138811037,0.0112618227499153,99.7,0,0.3
Ameivula.littoralis,1.91219891967068,1.41715224982757,0.182632301390372,0.312414368452739,74.1,9.6,16.3
Ameivula.nativo,1.99824116344185,1.04848942506553,0.201553978924014,0.748197759452315,52.5,10.1,37.4
Ameivula.ocellifera,2.9030615333177,0.00692512727805148,2.13562522689532,0.760511179144335,0.2,73.6,26.2
Amerotyphlops.brongersmianus,3.00018025978075,1.57315477118223e-05,1.82678195722115,1.17338257101189,0,60.9,39.1
Amerotyphlops.paucisquamus,2.27683247460853,2.00754318558365,0.113696464692867,0.155592824332017,88.2,5,6.8
Amerotyphlops.reticulatus,2.78143356311176,1.70943206562886,0.420155494773509,0.651846002709393,61.5,15.1,23.4
Amphisbaena.alba,3,1.29307926599744e-30,1.01871935780505,1.98128064219495,0,34,66
Amphisbaena.albocingulata,1.48972939691445,0.889681274630528,0.0874261085494173,0.512622013734506,59.7,5.9,34.4
Amphisbaena.amazonica,2.35975232090178,2.06880585454872,0.0960360230840699,0.194910443268984,87.7,4.1,8.3
Amphisbaena.bahiana,2.29034738672318,2.29034738672318,0,0,100,0,0
Amphisbaena.darwini,4.17428855312797,2.36531851093508,1.54481619989958,0.26415384229331,56.7,37,6.3
