Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Adelastes_hylonomos,0,0,0,0,0,0,132.98900125765,254.028573980204,17.0002789566829,130.98830452902,69.02994995581,8466.70208201701
Adelophryne_adiastola,1.48325,38.066,1.225,1.71675,26.81925,410.875,38.9958214666999,364.993587759879,25.9980498660716,39.99930286475,239.991918943876,5770.56481397799
Adelophryne_baturitensis,0.195999999999998,26.58725,0.7,0.399750000000001,6.5055,10.5,61.99163694555,752.972673469015,104.996934510807,66.9979112460001,260.992601026737,313.98632827135
Adelophryne_gutturosa,3.61875,71.991,1.85,3.67475,46.22625,301.475,164.98885627445,1062.85263121703,109.996656655718,152.99080700354,667.95290504175,5333.40247376295
Adelophryne_maranguapensis,0,0,0,0,0,0,42.9882958480598,521.887001474061,86.9768705864151,44.98787794293,134.978824118989,230.981886988209
Adelophryne_pachydactyla,1.0085,15.1305,0.3,0.766749999999998,1.14375,80.425,59.9942814648898,513.02805862498,71.0020940528611,60.9942816118401,416.962108955797,3692.89264880874
Adelophryne_patamona,0.7105,7.06825000000001,0.375,0.774999999999999,1.94224999999999,78.575,135.98801993597,458.927691075983,30.9963783915521,135.9877423346,264.968935726095,3896.70643781825
Adelphobates_castaneoticus,1.35225,54.01175,1.325,1.342,12.1235,131.425,56.9979102594698,700.010981020491,71.994566825732,51.9980496503199,174.982315984203,1936.90207089119
Adelphobates_galactonotus,1.83125,79.28825,2.25,2.05875,37.85575,243.075,56.9980496503199,1037.9743695124,134.998466721098,54.9952610844598,418.99916700101,3554.69604163789
Adelphobates_quinquevittatus,1.4835,43.2915,1.825,1.95825,67.62925,692.525,66.9887193658797,827.947923229077,89.9970749039326,72.98802320303,660.999305414715,7865.21142830789
Adenomera_ajurauna,0,0,0,0,0,0,66.0058491179302,366.02483948868,77.9945779327999,66.0052922499299,345.978304047663,2917.65242045854
Adenomera_andreae,11.746,149.51975,4.45,10.7085,85.78425,809.375,331.95558822007,2190.89445148459,135.992898178889,342.9511312047,847.958196649154,17042.2861612686
Adenomera_araucaria,0.939250000000001,25.35925,0.775,1.08325,6.0455,32.8,92.9923343069399,1116.91697645204,100.997773424129,87.9944238261401,245.991367280205,3244.82719250599
Adenomera_bokermanni,5.62875,145.2265,3.625,7.1665,67.8465,296.2,155.9864935306,2256.92924407692,139.993595025397,162.98677302311,763.985657814544,4984.59251343554
Adenomera_coca,0,0,0,0,0,0,201.9920627141,954.89751176963,89.9845450159587,200.99192378082,408.938603525225,4371.62403328071
Adenomera_cotuba,0,0,0,0,0,0,88.9895518232101,300.981757581927,35.996796073843,94.9896909016297,100.986487159003,175.973253711268
Adenomera_diptyx,9.9605,423.09775,12.15,11.07475,62.73925,365.05,231.98983540267,4222.99819035421,137.995823886848,234.99011406016,770.937215122191,5693.76380512254
Adenomera_heyeri,1.71675,61.00025,1.5,2.25,28.55125,126.975,64.9941480418001,835.946788114378,110.999303507513,64.9947052869702,287.990668873607,2963.68212785874
Adenomera_hylaedactyla,12.6875,250.4295,7.075,12.2335,104.62425,823.975,341.95572779198,3070.91743651957,163.99777249997,349.95433502829,1093.96320351072,17151.3019033665
Adenomera_juikitam,0,0,0,0,0,0,88.9895518232101,300.981757581927,35.996796073843,94.9896909016297,100.986487159003,175.973253711268
Adenomera_lutzi,1.8165,7.11150000000001,0.475,1.8665,1.94224999999999,97.075,142.98551255745,458.927691075983,30.9963783915521,140.9862092763,298.949713689851,3896.70643781825
Adenomera_marmorata,4.7895,115.5535,2.925,6.033,63.41175,284.65,156.98565841334,1806.97424269981,138.993458869734,162.98677302311,721.993458365278,4365.85304838948
Adenomera_martinezi,3.904,80.014,2.325,4.10825,29.918,87.9,95.9901097433603,1117.98608714938,69.9970753081404,97.9909455280299,308.991506111125,1387.99371736889
Adenomera_nana,1.9875,25.28975,0.725,2.31675,9.807,18.475,103.99108751685,1299.95875164938,96.9987464229466,104.99053156424,239.99691922648,2625.59742559088
Adenomera_saci,3.904,45.47525,2,4.10825,20.836,45.425,98.9894135803902,937.92477206978,59.994982055167,97.9909455280299,225.98955600982,785.957812302054
Adenomera_simonstuarti,0.762499999999999,13.266,0.575,0.566500000000001,6.46775,31.675,113.97786052274,348.968669431853,19.0001392462493,113.97786051073,205.96936649189,1005.92703528024
Adenomera_thomei,2.18525,33.28825,1.1,2.6165,27.0785,94.75,163.97938691863,1024.98701072728,113.996653554235,170.98077991011,502.977843033619,1766.76018499209
Agalychnis_aspera,1.70825,38.2205,0.95,1.875,23.41875,208.35,61.9930275516999,926.90435079469,97.9860571129292,72.99163438201,399.977982483801,3467.8478232371
Agalychnis_buckleyi,7.28975,48.609,1.375,6.9835,45.26525,633.475,317.9683835299,1339.83120563078,68.9917825105285,320.96796542296,550.979944616749,16443.9942423367
Agalychnis_callidryas,2.34975,9.76875,0.25,2.51725,14.28075,181.175,99.0130914983702,477.079674080157,87.990668415089,96.0128129930999,534.994709008969,5198.57186126587
Agalychnis_danieli,0,0,0,0,0,0,217.98857965736,273.019221938961,48.9979102762346,215.98871897961,253.986488263306,19510.5860268649
Agalychnis_granulosa,1.65425,55.54125,1.5,1.85,41.3745,98.325,66.9987431036902,1153.95118208493,112.997349171593,69.9992999094302,561.928890518751,1657.79170541033
Agalychnis_hulli,8.39575,23.36225,0.475,8.0585,8.196,468.325,221.97799006591,452.013067160882,25.9984677404222,227.9774328847,200.001245616735,13079.9973217233
