Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Accipiter poliogaster,14.49775,394.9435,11.2,15.20025,87.368,889.7,337.98412777282,4201.93401074198,189.998051441932,344.98134251622,862.989827418024,32514.6869722481
Accipiter superciliosus,15.63525,353.303,10.05,16.60025,89.48775,820.725,341.98231715485,3877.95086238101,181.999443405809,348.98301426984,900.981038700468,17141.2725115778
Acrobatornis fonsecai,1.11275,16.11075,0.4,1.19175,33.35175,121.4,55.9933072133999,829.876290329594,92.9961025203671,63.9912177533297,592.9681891237,3728.96423374723
Aegolius harrisii,18.61475,457.149,13.225,22.37475,102.839,909.875,325.96853218338,4820.87524062908,202.997634474649,352.96906914608,1166.87465036586,32596.6673328257
Aeronautes montivagus,21.26425,363.8765,9.975,22.28325,95.926,1272,342.98398843264,4433.80017678861,201.992340132344,351.98190018982,1186.85793234257,32734.920327249
Agamia agami,15.1665,182.88725,5.2,15.43375,83.82925,816.275,337.98412777282,2684.84139351332,167.991925034446,348.97925313787,892.935241597167,16002.0076438856
Agelaioides badius,23.75,601.48475,16.25,26.8495,128.0395,427.125,476.94859747904,7239.81092537629,248.986781103911,543.94483816956,1259.97184942575,6475.71588406973
Agelaioides fringillarius,5.7685,113.90675,3.475,6.83325,68.138,114.875,145.99038243178,1724.93743987971,144.998047403773,154.98996416741,937.95485741357,1744.82127727926
Agelasticus cyanopus,20.15,466.5615,13.425,24.1505,101.296,383.975,312.97743495385,4913.96812200319,230.998328171629,342.97854938589,1172.97505957328,5423.92349676991
Agelasticus thilius,23.31625,577.81325,15.975,23.6915,128.5955,394.25,469.98858049091,7662.68216446215,285.972139103416,524.99192069535,1359.92545710825,12025.4555923223
Agriornis micropterus,22.82475,534.6215,14.7,24.083,103.8405,264.1,466.94957251899,7034.69795272543,231.993734900424,514.94706621876,1316.9627888309,4844.18801816259
Agriornis murinus,20.627,494.602,13.675,22.22525,91.2265,182.75,297.99721390084,5652.65172999285,215.99400988336,328.9962245135,1224.92644876721,2764.80921268554
Alectrurus risora,12.0625,490.71875,13.1,16.6415,72.7315,339.675,180.99512496948,4768.98551580837,177.997367000972,217.99596013456,840.980067261961,5329.91680393781
Alectrurus tricolor,14.96225,366.00075,10.3,15.68325,86.1335,329.025,303.97269566841,3713.99347122001,158.987061166987,314.97297402213,871.996232327113,4812.73798154545
Alipiopsitta xanthops,6.1605,230.17575,6.3,7.41625,64.15375,187.875,128.99972522675,2846.93048952805,80.990250012096,133.99805358102,842.998192612548,2936.88892721885
Alopochelidon fucata,21.602,544.3115,14.675,25.27525,111.82925,468.5,321.97743494022,6142.87598322438,259.997770908801,351.97632040177,1248.93424589704,8630.88940756998
Amaurolimnas concolor,0.3645,12.05175,0.375,0.424999999999997,7.02425,31.775,32.9977713618,427.956533007245,99.9962378979701,32.99791063265,249.972695423422,1999.82749320293
Amaurospiza moesta,10.46475,274.76275,7.25,13.36625,85.15,422.775,207.97994446042,3418.90695477352,154.995408009243,213.98663402368,930.970322098195,6456.71503774644
Amazilia bartletti,16.47075,86.13325,3,16.66675,67.29075,436.575,321.98287472116,1657.94264101605,111.983708939432,334.98231819375,745.983296126722,8859.43981994354
Amazilia brevirostris,4.9355,100.4105,2.925,4.66675,57.00875,394.85,165.9916432356,1159.95122191294,113.995542027741,165.98871765711,670.949279573822,7038.00163758042
Amazilia cupreicauda,5.0625,42.469,1.3,4.5665,65.67475,597.35,187.9770172415,1125.84426097846,68.9966563659487,180.98147415569,738.9017912163,11108.732558676
Amazilia fimbriata,16.806,330.16375,8.9,17.725,104.62425,823.975,332.96935909769,3695.82784293669,175.984823914,349.96533049761,1100.96292796328,17151.3019033665
Amazilia lactea,8.867,264.70725,6.85,11.91625,83.7575,467.025,191.98008324044,3286.89414549117,149.997355055091,209.9867727637,898.956241006221,8760.51421762665
Amazilia leucogaster,4.56675,127.90075,3.625,4.96675,63.47725,352.6,138.97255715703,1697.98089160247,130.999579829206,135.97603875124,839.9682324667,5094.93593345876
Amazilia sapphirina,11.746,399.25675,11.75,10.65025,85.78425,809.375,253.97436729683,4044.94764403708,192.999025854852,254.97631841849,847.958196649154,17028.227300251
Amazilia tobaci,5.537,111.41475,3.3,5.175,62.1205,296.725,264.97702054553,1328.8767309716,125.996796023474,261.97702056494,723.932709091437,8978.60106710448
Amazilia versicolor,10.95,370.55225,10.65,12.5915,83.125,701.775,285.97966288309,4017.90881230569,186.996937117438,279.97840937103,863.989975258609,12386.6132033721
Amazona aestiva,25.033,520.34925,14.65,28.792,109.968,425.7,348.99095191605,5553.89381206574,257.992757993339,397.98982978369,1331.96880204651,6475.71588406973
Amazona amazonica,12.167,227.8925,6.3,12.767,87.84525,911.3,329.96991638626,2843.91283342749,164.987747021157,326.96671150505,1010.88759591668,21591.5099755956
Amazona brasiliensis,1.79375,40.14375,1.05,2.2415,10.3075,70.325,95.9878792885502,982.00584921504,87.9969336496855,93.9903872350701,257.010847299954,2873.89335082065
Amazona diadema,0.704250000000002,21.82175,0.55,0.91675,16.15725,219.6,25.0001390370699,359.002231062863,43.9983272483448,22.0005574142101,285.994850656244,3020.87855383751
Amazona dufresniana,3.7085,56.423,1.85,4.3415,41.6825,312.4,174.98955186012,970.912963900198,107.99777112698,165.9926166991,686.934936746579,8190.7445978389
Amazona farinosa,16.119,264.03925,7.125,17.292,96.731,1295.15,342.98398843264,3072.82607854982,166.987050677098,353.98231778002,1048.8874558115,32726.9499936441
Amazona festiva,5.494,103.772,3.05,5.4835,69.4025,708.65,161.98746885249,1128.93965242012,110.99930289953,150.98830452902,821.966554528187,11992.4558528326
Amazona kawalli,1.7375,88.7725,2.425,2.13325,42.56425,490.725,49.0004189901902,1037.97521361109,85.9983274627238,48.00027959934,501.993176720148,4504.13795408006
Amazona ochrocephala,12.0005,136.74275,4.35,12.242,90.38225,814,316.96670689326,1989.95016009679,132.997074714359,317.96936139281,1016.96308482535,17141.2725115778
Amazona pretrei,5.53325,128.235,3.825,5.6415,18.05475,184.95,118.9924720356,1779.97941328751,118.992908022046,107.99344672656,243.998052333786,3394.02430366412
Amazona rhodocorytha,4.88525,86.9825,2.275,6.0085,62.3595,303.6,167.98607495405,1362.00281098811,122.999721414896,182.98705164599,749.967385949912,3979.83157550399
Amazona vinacea,7.89775,297.25875,8.375,8.1915,80.8545,409.95,169.98008379808,3211.93931589568,167.995964430492,175.98593747105,823.962795828356,6372.70570344425
Amazonetta brasiliensis,21.579,484.66175,13.825,25.667,104.87575,424.25,331.97757451213,4902.95222348908,228.996101772236,356.97868876492,1228.96557325507,7213.39452171052
Amblyramphus holosericeus,14.556,472.08775,12.95,17.21675,95.36275,413.125,243.97338583059,4540.97563730466,162.999167216815,259.97645116156,932.979384674196,6296.86924342508
Ammodramus aurifrons,15.47275,143.702,4.175,14.7835,94.03625,814.3,337.98036697609,2566.52962784911,164.987607797721,348.97925313787,1161.86824085971,17134.1882475557
Ammodramus humeralis,23.031,664.20225,18.575,26.9335,111.82925,1166.5,327.99345070342,6339.9001779247,291.994989032108,373.99122250359,1248.93424589704,32680.411934021
Anabacerthia amaurotis,6.46875,212.055,5.85,7.5665,74.03925,383.75,168.97980398111,2874.84456898401,160.990537822086,170.98607543982,779.988152095467,6168.71336324733
Anabacerthia lichtensteini,9.225,329.51125,9.3,12.05,82.41675,414.7,184.98008328844,3830.93035335953,172.999304801747,203.98663334485,831.99652141892,6386.73036867274
Anabacerthia ruficaudata,17.98125,134.7555,4,17.54175,85.89025,809.375,337.98412777282,1989.83444116018,175.984684675149,348.97925313787,1010.88759591668,17039.2895176754
Anabazenops dorsalis,13.20175,95.42875,2.725,14.00025,64.30775,797.25,321.98287472116,1376.92369098124,112.985100511012,334.98231819375,838.93231669407,17036.117810246
Anabazenops fuscus,4.49575,172.209,4.325,5.82475,65.45575,290.45,171.97910748777,2325.87184651081,127.99317842382,176.98621502653,830.97574632605,5098.59085243826
Anairetes flavirostris,6.4705,187.106,4.775,7.8415,58.22825,186.875,115.99178169646,3322.69210269028,189.993737720281,107.99414868522,616.002506118435,2585.98708869445
Ancistrops strigilatus,12.26875,88.45275,2.625,12.8585,62.65375,789.625,324.9561454337,1434.91491539688,87.9908083512168,336.95558872811,688.977160116648,16917.2949506054
Anhima cornuta,14.4625,284.94175,7.95,14.8,103.5085,823.975,347.98426734473,3231.95654156401,165.998608394522,352.98357206018,1093.96320351072,17151.3019033665
