Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Abrawayaomys chebezi,2.383,101.13125,3.175,3.033,19.1885,169.1,49.99888716654,1412.96042020163,52.998050464451,53.9986088586502,151.002503057838,3264.94974766743
Abrawayaomys ruschii,3.723,181.6635,4.7,5.69175,76.0915,399.425,168.97980398111,2442.95922722934,149.995547116358,170.98607543982,781.986352867112,6141.88399571562
Abrocoma bennettii,13.3455,386.042,10.625,17.87525,72.21525,44.9,427.98551966979,7465.36718888445,307.963923432463,481.98649114975,1254.89817383352,2323.64776158268
Abrocoma boliviensis,0,0,0,0,0,0,192.96366209218,634.91478624993,48.992341578271,192.96380107964,284.964223786398,2554.58298169978
Abrocoma budini,2.2665,42.6955,1.2,1.7,0.0940000000000083,5.1,202.98173715567,1858.92043354801,78.995537665351,186.98285220802,179.997067813843,354.038329819154
Abrocoma cinerea,17.852,313.6805,8.7,21.158,79.55325,241.875,312.9962409022,6138.64906520688,256.98551618279,389.97117743329,1152.7895803004,4742.85426295453
Abrocoma famatina,8.09375,59.933,1.575,7.24975,15.825,2.7,359.98787796091,3716.7766617196,145.988859627711,389.98216602254,709.948555398481,580.976314403572
Abrocoma shistacea,4.72075,16.1265,0.475000000000001,4.55,23.80225,7,311.98870473713,3598.6635663459,85.99874866788,322.98619935381,724.975750990179,945.114087266303
Abrocoma uspallata,0,0,0,0,0,0,297.97617951865,3384.82900439708,97.99582287047,298.97812342227,587.976037545664,1032.87756727899
Abrocoma vaccarum,0,0,0,0,0,0,297.97617951865,3384.82900439708,97.99582287047,298.97812342227,587.976037545664,1032.87756727899
Abrothrix andinus,18.2395,503.12525,13.6,21.7165,93.1625,241.975,468.99025221033,8050.37548078792,281.986631039201,530.97020126318,1330.80413824006,4870.73436249248
Abrothrix illutea,14.79375,111.20875,3.6,13.85825,26.18375,24.85,273.99609845787,3564.88516717742,103.994428894838,279.99261605121,660.963906509868,1038.77722489853
Abrothrix jelskii,19.28525,309.2145,8.2,22.6585,90.254,344.125,329.96951168198,4628.69674391157,243.983850145407,368.97146068379,1199.85352062987,7528.06016463409
Abrothrix lanosus,4.72475,196.6255,5.475,6.32475,20.4805,565.325,192.00110264996,3418.0714833271,157.000971433215,200.99929199251,280.991636587671,23087.1190434777
Abrothrix longipilis,15.94375,404.807,11.275,15.4415,104.83075,591.1,416.98077972514,6800.53532787591,285.972139103416,432.99136353531,1285.94763688407,21006.9297313332
Abrothrix manni,3.87275,208.3715,6.2,5.42525,21.2995,179.95,211.98454510708,3721.01974148205,201.988715821033,238.98398809195,510.970757718894,11627.7969455873
Abrothrix olivaceus,17.54775,559.258,15.475,20.3585,110.0145,799.2,456.96893625176,7746.6915895818,285.972139103416,516.96934995017,1422.96015828235,28496.0109192509
Abrothrix sanborni,6.1,146.79175,4.475,7.97525,22.0435,214.275,170.98217635688,3900.96307379254,175.001810326942,200.98315423957,328.976457537877,11714.4565962545
Aconaemys fuscus,7.22075,116.046,3.3,8.35,24.05125,39.475,294.00221926303,4832.8570069853,234.985784284096,317.00528453832,654.049868054408,3135.58425661162
Aconaemys porteri,3.981,164.2015,4.65,5.4915,17.66125,138.3,213.98468553626,4220.6911729881,222.978418614263,224.97967266338,455.941218092471,9330.97618372407
Aconaemys sagei,5.1895,183.757,5.3,6.88325,24.53875,110.25,221.9837093268,4838.83084906409,262.980219161391,244.9842669366,473.980080140414,6518.6614568824
Aegialomys galapagoensis,0.912500000000001,3.33025000000001,0.0750000000000002,0.949749999999998,2.12675,18.675,33.99512649596,1528.88358276898,71.9830129710177,18.99777220551,501.944307696254,1665.80882361392
Aegialomys xanthaeolus,12.75625,182.57175,4.475,13.5415,122.871,413.45,328.96045743663,3600.5492250314,163.987747030148,330.9599008594,1260.96589302061,11973.6383639541
Aepeomys lugens,4.03725,16.4875,0.55,4.01675,13.5415,132.475,259.97729872723,1053.93717241203,93.9956803220232,253.97757750077,445.973535074284,5488.3872207263
Aepeomys reigi,3.248,19.35525,0.825,3.14975,21.20075,124,256.96670365482,1150.95682172638,91.9884365090348,254.96656428515,428.008220562443,2871.68389863933
Akodon aerosus,14.956,122.43075,3.725,14.38325,65.31475,548.925,318.98245698738,2043.84322473525,123.985658583562,329.98162173245,838.93231669407,17074.1080096856
Akodon affinis,6.9835,17.4435,0.575,7.1585,29.88325,941.45,289.9811969964,873.988300197912,87.9966559009411,284.9814756849,497.976180685029,31706.3086211783
Akodon albiventer,14.1,257.7485,6.975,16.4255,72.053,79.2,310.99401164402,6138.64906520688,256.98551618279,389.97117743329,1330.80413824006,4694.91581574396
Akodon azarae,10.08525,305.34425,8.7,11.97475,78.3435,389.725,187.97646130824,3436.95510043467,198.997773900841,201.97757625474,858.976585586716,5574.83244737982
Akodon boliviensis,16.97075,277.809,7.35,19.9085,79.97225,402.75,293.9942915726,4238.70416328023,206.985373935461,303.99290058358,1123.78109301365,7524.10402666838
Akodon budini,9.3125,95.58225,2.675,8.75825,22.18025,16.8,268.97785491813,3160.83665104901,144.985097944035,252.98217154721,534.944137081722,776.881905676016
Akodon caenosus,18.6,303.01625,8.5,19.917,55.3,82.75,299.9915095302,4662.64921573894,165.992200474053,327.99024802277,957.985229477218,1643.0272332652
Akodon cursor,7.79625,277.6135,7.875,10.1165,84.95075,351.65,189.97743617486,3490.95446914056,170.999304153119,193.98705145798,898.956241006221,4658.73876577998
Akodon dayi,17.32275,151.9815,4.175,18.8085,38.234,182.475,297.96895163135,2284.92120252599,135.989555027421,318.96700215618,719.93329859708,4817.72837530891
Akodon dolores,15.983,287.32,8.075,17.19975,87.64925,135.35,435.94985037147,5326.72306246308,226.996241274132,461.94678763244,1019.9669781719,6185.10397111819
Akodon fumeus,18.185,243.02775,6.375,18.39175,51.9295,397.225,297.95725922111,3357.88000911526,150.986770784947,298.96783737848,719.93329859708,7488.08159152179
Akodon iniscatus,11.3455,361.591,10.1,9.55,73.008,527.1,291.9832900111,4297.77475827089,230.997494254269,292.98162183134,814.980897905727,12937.1546264875
Akodon juninensis,10.8815,92.476,2.425,11.70825,84.043,359,328.96045743663,2903.70797638584,116.993458254139,330.9599008594,1165.86730898705,8500.71015302618
Akodon kofordi,9.558,88.45925,2.475,10.1835,24.712,325.125,299.98607757617,1544.85101389499,109.981900155712,304.98496384233,506.946388274488,7436.92072078761
Akodon lindberghi,4.7895,97.47725,2.4,6.417,22.532,82,164.98732884873,1398.0007979046,110.987617578378,181.98858110952,604.95366824436,2244.75025539736
Akodon lutescens,16.558,223.8035,5.9,17.70825,55.60675,240.3,281.97006517755,3357.88000911526,206.985373935461,288.96700226731,887.94596866092,4723.84701787882
Akodon mimus,15.52925,105.72875,2.7,16.1,46.613,376.45,293.95795541258,1709.84805042063,150.986770784947,298.96783737848,719.93329859708,7479.10723455091
Akodon molinae,7.89175,193.3175,5.5,8.45825,53.78975,75.6,216.96198667238,3740.94527356445,215.000694651214,203.96435390331,722.985094565765,1257.97883336764
Akodon mollis,14.6125,115.79125,2.65,14.883,114.841,597.575,318.98119994965,2708.57706903979,131.982732855329,315.9821746176,1179.90388773585,17161.2984181873
Akodon montensis,7.5855,267.3905,7.4,9.08325,81.6645,407.625,164.98677252251,3000.88910347834,163.992208064539,164.98718970945,822.985651402446,6303.72171714951
Akodon mystax,1.49975,9.04675,0.225000000000001,1.54975,8.65125,20.225,168.97980398111,442.00103995089,24.011016961671,169.97994314797,370.987657080255,1472.90785060878
Akodon orophilus,9.3395,27.3545,0.85,8.99175,55.71875,363.775,274.98440299401,1278.83232193447,56.9949870497344,272.98830184415,613.962673081466,8344.65442292084
Akodon paranaensis,6.5375,230.47875,6.575,6.3915,70.2045,373.65,154.98621505452,2702.95534039967,156.993460178013,157.98649413,738.995672558222,6113.71963515011
Akodon pervalens,8.556,161.60275,4.375,10.5335,32.529,76.475,218.9774309793,2934.67704610044,82.997770757161,218.97798898149,547.984531126928,1605.99532268008
Akodon philipmyersi,0.741500000000002,39.70825,1.3,0.791499999999999,7.13875,72.725,29.00027972012,902.01379568931,37.996240560364,26.9997227429103,124.99094547617,2152.88415585333
Akodon polopi,4.83725,58.4155,1.475,5.12475,13.29675,26.375,172.97479084359,1418.85444861998,94.989559064999,163.9764626947,256.985791320541,451.94417195895
Akodon reigi,2.00625,54.754,2.025,2.167,8.41625,83.625,44.99832837134,1238.02442349287,115.000140332059,46.9986076376604,142.97967462292,2089.9514352541
Akodon sanctipaulensis,2.27725,44.52125,1.275,2.5245,21.5565,129.95,91.9873241455502,966.91478082551,99.9905393235691,87.98885680392,360.983970285947,3543.80195693737
Akodon serrensis,6.86875,168.34,4.45,7.74975,73.641,391.05,168.97980398111,2325.90052580111,144.986504753394,170.98607543982,767.99428930502,6198.72368106472
Akodon siberiae,11.79175,38.36975,1.125,11.725,24.97625,150.075,213.99067049977,1336.80658828797,103.989001469841,212.99122778936,580.932325983117,4790.13285810287
Akodon simulator,20.4455,225.9705,6.55,19.892,34.473,25.5,294.99178720693,4594.69286108438,140.98843825088,307.99080613913,695.983712487174,1048.77192940024
Akodon spegazzinii,17.5355,297.25925,8.475,16.583,91.922,63.375,432.95263645397,6040.84231264633,174.984117282077,460.94915610917,1374.96991099898,1713.80196868541
Akodon subfuscus,18.37275,129.49,3.45,18.325,68.3985,401.025,301.99317810832,2743.63846325716,150.986770784947,309.98649444437,1192.80703583406,7522.11322177048
Akodon surdus,10.47275,32.09525,0.85,10.94175,18.49525,73.35,301.98426640408,831.958244719177,68.9966584187873,309.98426674129,434.974665581002,6516.60887786151
Akodon sylvanus,14.25425,218.41475,5.8,14.392,35.04075,57.85,242.99415190314,3428.63663931385,144.99150006729,251.991784152,676.986756725288,776.881905676016
Akodon toba,8.1565,249.84775,7.075,8.54175,54.0395,133.825,130.9834220964,3031.9401352023,84.99832716276,142.98328342253,702.98189168835,2742.98233786975
Akodon torques,14.38525,50.2145,1.4,14.7665,32.0025,283.9,315.98329224908,1074.92955234159,71.9955437234784,329.98162173245,532.988584102043,7398.930521348
Akodon varius,18.373,203.7105,5.2,20.53325,72.7665,208.375,248.99275836291,3038.82454134617,164.989417278952,254.9922009727,922.933424398693,4836.19053155893
Alouatta arctoidea,7.2665,97.3965,2.9,6.875,62.1205,230.225,264.97702054553,1279.87700684876,125.996796023474,263.97827428584,723.932709091437,5817.39805752845
Alouatta belzebul,2.696,108.11725,2.9,3.3165,43.48075,241.575,73.9984683921602,1539.9407418608,124.99832961482,82.9972138825001,477.970163205441,3536.69562700338
Alouatta caraya,10.4625,417.4475,11.925,11.92525,89.65925,403.375,242.99053078374,4342.95083324326,138.99637889327,259.99025268366,912.972831079118,5419.92921114103
Alouatta discolor,1.827,80.669,2.15,1.875,23.95725,205.725,56.9951217010198,926.952486813493,89.9954036093118,54.9952610844598,298.989833958592,2441.94402210391
Alouatta guariba,7.50825,300.45875,8.5,9.92475,85.86975,415.4,174.97604518312,3480.96058261411,175.998607320511,179.9870513894,862.989827418024,6375.73481964265
Alouatta juara,15.52675,136.35125,3.925,15.70025,78.33475,1285.225,327.9690801856,1355.91934751646,133.994149348901,329.96894068676,957.975483840826,32726.9499936441
Alouatta macconnelli,5.29175,105.4025,3.2,4.6165,77.1025,671.075,190.98063835575,1159.95122191294,113.995542027741,181.98035985006,782.96362937835,12269.6031673957
Alouatta nigerrima,1.4395,75.1465,1.9,1.62525,30.51325,259.425,35.9990256176702,763.037208725615,77.9983274821268,34.9988864062302,360.984540791604,3004.1145751216
Alouatta palliata,7.33125,182.261,5.075,7.53375,110.3995,1304.425,292.9821770406,2455.65117118519,154.996935953462,293.98148084755,1134.9498599277,32744.9459579807
Alouatta pigra,6.477,78.421,1.775,5.45825,33.339,190.3,237.98161328324,1615.81754244961,138.997771665596,227.9834238323,651.938989337113,4773.50387270714
Alouatta puruensis,2.34625,37.47075,1.55,2.7085,58.7735,516.775,135.9763282524,827.947923229077,96.9966564357148,139.97660735929,595.998609098883,7889.74796990637
Alouatta sara,9.5355,141.1805,4.225,10.9335,27.9705,180.95,256.95738561271,2377.90769182841,98.9888595186617,264.95877907782,621.924525704225,4802.67488079566
Alouatta ululata,1.59575,94.15125,2.575,1.16675,35.737,78.225,74.99888598803,1636.99386897792,122.993452148449,67.99832749097,387.96654484616,703.942013843686
Ammospermophilus leucurus,19.42475,637.36325,17.95,25.69975,128.76225,77.675,316.98063631669,9825.93578428637,396.997909710045,371.99846326027,1395.93997519659,3410.9914470323
Amphinectomys savamis,0.62275,5.1,0.325,0.683499999999999,15.7245,280.5,12.9997215056901,133.989691813647,20.9990257308343,14.99930360793,161.994153732202,3802.80099340078
Andalgalomys olrogi,12.06025,158.0785,4.5,10.475,27.963,14.15,258.99679716366,3577.87422897012,122.994427772183,243.99735166057,437.96936687421,531.024433694018
Andalgalomys pearsoni,3.446,164.673,4.475,4.20025,27.66125,51.5,67.9940148938799,2348.92020340591,64.996796816403,59.99471089795,391.98969751973,1116.93662134061
Andinomys edax,14.14825,360.529,10.3,16.0585,64.19875,149.425,295.99150943662,5472.71673970532,226.990251890409,334.96378221741,1123.78109301365,4503.87412305251
Anotomys leander,5.1335,43.573,1.275,4.80825,68.35775,632.5,305.98509776356,1005.90209363705,81.9986053997413,310.98523742739,871.933703216698,21774.5000069072
Aotus azarae,18.552,380.38275,11.025,20.74175,69.07325,399.075,329.95712190507,4041.96715426175,207.988440911482,336.96644479117,842.956429845352,7510.11503376741
Aotus brumbacki,8.54175,62.9595,1.825,7.90825,32.69225,247.35,284.97771329319,1253.85362176036,53.9916421484583,279.97840937103,403.974933615684,6685.37002649557
Aotus griseimembra,9.36025,39.05175,1.2,9.5505,58.5535,857.675,314.96851762572,1145.85611069826,120.996516890098,312.96768237762,926.98551168346,32594.6492326866
Aotus jorgehernandezi,0.39575,6.27275,0.2,0.492000000000001,3.079,190.675,232.99456726141,239.05069722213,48.0018105706434,232.99414945566,299.972563698447,20290.3991916644
Aotus lemurinus,9.92725,54.564,1.65,10.117,81.89425,1125.375,326.96768765945,1462.89665461974,103.994983745094,327.96852309656,1039.86795640515,32460.2744633736
Aotus miconax,11.38525,27.3545,0.85,11.20825,55.71875,420.65,274.98440299401,1278.83232193447,65.9956833611978,274.98718768656,628.954318695542,8344.65442292084
Aotus nancymaae,10.8915,26.23025,0.85,10.8585,43.673,594.45,235.97089614419,1171.85418581891,69.9947080856318,239.9699214892,582.971169721468,8754.500635312
Aotus nigriceps,12.344,72.756,2.275,13.38325,58.7735,516.775,330.98468498645,1165.92551882294,97.9919233713588,342.98371066128,734.932039071445,8859.43981994354
Aotus trivirgatus,5.29175,105.4025,3.15,4.5665,73.9955,671.075,190.98063835575,1151.93771019801,81.9977695536818,180.98147415569,774.959731784631,12269.6031673957
Aotus vociferans,10.31475,65.99375,1.9,10.425,48.62875,633.475,317.9683835299,1290.81824960327,70.9931744423858,320.96796542296,536.929798194073,16507.1484317749
Aotus zonalis,6.63125,65.5585,1.675,6.6165,46.5405,1249.175,264.98955400119,935.962666991555,106.995682211043,266.98899698296,651.967545458818,32580.9268740258
Arctocephalus australis,20.48925,565.1895,16.05,22.3835,121.69675,854.75,427.97827696108,6195.9700828143,247.99526676247,452.97813844545,1362.91559362858,28496.0109192509
Arctocephalus galapagoensis,2.729,46.1665,1.35,3.15,44.945,55.85,65.99693648123,1734.94708612697,71.9830129710177,66.9967972863697,632.97103845742,2660.29759189246
Arctocephalus philippii,15.875,471.5245,12.85,19.4165,109.963,1308.25,304.99122885449,4683.22195931373,249.997357377786,333.99276001022,1365.92171792606,16025.7589108254
