Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Acanthochelys macrocephala,10.448,256.5005,6.575,10.85,40.56275,176.7,219.96199152015,2791.98744544943,104.994150539435,225.96310592477,670.937615385247,2704.75892605482
Acanthochelys pallidipectoris,12.42675,171.252,5.225,12.9335,64.183,158.2,223.97491706255,2496.85288159303,79.993865800411,213.97826119522,825.977029917184,2927.04380846509
Acanthochelys radiolata,6.34775,131.384,3.475,7.55025,71.823,326.675,189.97743617486,1910.97814875187,133.000139218866,192.98691225055,789.949122166216,4092.94395827001
Acanthochelys spixii,7.40625,359.9135,9.85,10.0415,83.4355,407.625,158.98691146818,3501.972119471,172.988452180608,165.98663239787,843.996088901336,6329.72785854911
Acratosaura mentalis,4.7875,71.14575,2.1,6.01675,73.23475,267.2,133.99011058425,1283.9962542046,128.997769543733,146.99275555724,958.916479608581,4188.98871556136
Acratosaura spinosa,3.446,40.53325,0.350000000000001,4.10825,58.5035,176.1,125.98842988478,836.928510000734,98.9998632709321,131.98842918419,898.956241006221,4183.98746037204
Alexandresaurus camacan,2.40825,39.568,1.05,2.93325,55.65375,297,69.99568109642,1035.96309320671,106.996238277126,76.99707519705,642.922209496104,3979.83157550399
Alopoglossus angulatus,18.83725,115.166,3.4,19.30025,81.7655,812.75,337.98412777282,1663.91088560094,167.99290033476,343.98357134925,847.958196649154,17086.2968927323
Alopoglossus atriventris,10.0565,36.08625,1.025,10.16675,50.27025,680,240.97799010829,1089.85293402121,70.9935929612078,248.97785054083,492.986631708473,16507.1484317749
Amapasaurus tetradactylus,1.30425,67.331,1.825,1.675,15.692,114.175,55.9934504666799,782.994153894911,105.999721759476,52.9934506186801,224.978544903959,1899.91989603104
Ameiva ameiva,23.59325,471.37625,13.4,24.64175,104.62425,898.55,347.98426734473,4844.9299741815,228.996101772236,355.98245696146,1093.96320351072,32604.6786244753
Ameiva bifrontata,13.17675,128.91325,3.85,13.18375,116.3505,823.275,316.96670689326,2597.58670664514,153.983429119412,314.96809996782,1176.90918086938,11361.6956511895
Ameiva jacuba,0.619,80.3965,1.175,1.8,13.7605,56.675,38.0009790355502,1298.97492645123,21.999302206752,46.0018135892601,282.99192282843,1365.91969097942
Ameiva parecis,0.918500000000002,35.35225,1.525,1.3,7.72225,33.575,50.9966576319803,868.957817090357,32.998607387494,62.9965187235298,152.993593025636,944.902505515064
Ameivula abaetensis,3.052,32.416,0.8,3.21675,38.7925,231.85,73.9937249474601,993.918852466087,105.988859903949,78.9921946376598,645.948532707246,4000.96038312749
Ameivula abalosi,6.74575,158.6695,4.6,8.05025,55.79,173.5,60.9973515214997,1854.01102602107,75.997494398925,77.9983267672897,714.98885273271,2676.15492827488
Ameivula cipoensis,0,0,0,0,0,0,75.0037592475101,249.0072298388,19.999720132514,75.0036198514699,73.996234284273,320.997497987547
Ameivula confusioniba,0.30425,8.06475,0.125,0.0664999999999978,2.515,2.875,38.0002786811101,405.014907948335,27.996934387402,33.0009763834901,63.009060776467,56.9974931130309
Ameivula cyanura,1.3125,8.4915,0.125,1.6335,5.04499999999999,9.65,89.98816245019,658.959462652224,36.996517036356,95.98732685814,477.976079374005,971.929197816578
Ameivula jalapensis,1.948,36.572,0.95,1.525,14.79375,19.55,62.9958242380203,581.995818986755,40.998885199418,65.9940140705899,184.993871116632,244.997480689722
Ameivula littoralis,3.54125,29.37875,0.775,3.925,30.06025,105.15,158.97924779577,1116.9506878582,119.998188743974,164.98691279677,617.973256430266,2839.71048726969
Ameivula mumbuca,2.40025,40.2465,1.15,1.96675,18.13875,30.65,95.9902484220802,616.988153626385,46.997770989214,97.9909454846197,186.995264686178,215.971027392316
