Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Ablepharus anatolicus,1997,Scincidae,0,,,,Ter,,,,,,
Ablepharus bivittatus,1832,Scincidae,1,Paleartic,LC,4.4,Ter,743131.336482241,1671.96923828125,83.3657608032227,71,0.483032390536156,47806.01175
Ablepharus budaki,1996,Scincidae,6,Paleartic,LC,2,Ter,121181.833325353,835.382751464844,152.279541015625,7,0.0741255892561036,120382.47875
Ablepharus chernovi,1953,Scincidae,2,Paleartic,LC,2.9,Ter,204470.623437232,1465.70837402344,77.5204010009766,22,0.0797695390822844,99557.115
Ablepharus darvazi,1990,Scincidae,0,Paleartic,DD,1.5,Ter,32443.5556936945,2509.53466796875,73.9890670776367,0,0.000282097959984757,5834.48766666667
Ablepharus deserti,1868,Scincidae,0,Paleartic,LC,3.9,Ter,812576.181836735,1013.22448730469,57.6082572937012,6,0.00074476922487788,30323.671
Ablepharus grayanus,1872,Scincidae,4,IndoMalay,LC,0.6,Ter,130756.227461101,305.228088378906,270.627410888672,3,0.0518526978725855,754550.266
Ablepharus kitaibelii,1833,Scincidae,28,Paleartic,LC,3.7,Ter,684248.469856977,570.957763671875,117.784645080566,157,0.120017329809398,28293.2314166667
Ablepharus lindbergi,1960,Scincidae,0,Paleartic,LC,2.3,Ter,12765.8170253022,2404.94384765625,114.433265686035,0,0.000152086927230338,
Ablepharus pannonicus,1823,Scincidae,4,Paleartic,LC,3.1,Ter,2587264.52077139,1294.935546875,77.543830871582,85,1.36806070015989,19327.8764375
Ablepharus rueppellii,1839,Scincidae,1,Paleartic,LC,2.6,Ter,62790.2008791557,585.792419433594,373.250946044922,23,0.0123845873828752,10552.8845
Mesaspis antauges,1866,Anguidae,1,Neotropic,DD,9,Ter,392.605253076464,3371.86499023438,46.4370994567871,0,0.00490292008655201,1021811.997
Abronia anzuetoi,1993,Anguidae,2,Neotropic,VU,44.5,Arb,38.3221584661216,1718.16821289063,237.036895751953,0,0.0273596985373647,45057.764
Abronia aurita,1869,Anguidae,2,Neotropic,EN,34.1,Arb,152.897792923035,1621.1640625,239.670196533203,0,0.0601058023715666,45057.764
Abronia bogerti,1954,Anguidae,0,Neotropic,DD,9.6,Arb,464.16289172404,1127.69836425781,0.876082539558411,0,0.00715008885295885,1021811.997
Abronia campbelli,1993,Anguidae,2,Neotropic,CR,36,Arb,9.99628067251197,1502.83715820313,47.4959449768066,0,0.10037774341119,45057.764
Abronia chiszari,1981,Anguidae,0,Neotropic,EN,5.8,Arb,405.9491457332,713.430358886719,18.5802841186523,0,0.0143008734572359,1021811.997
Abronia deppii,1828,Anguidae,1,Neotropic,EN,25.5,Arb,4804.10883210145,2455.83056640625,189.524917602539,3,0.0159669484002925,1021811.997
Abronia fimbriata,1885,Anguidae,0,Neotropic,EN,39,Arb,3199.98000900907,1527.80883789063,128.488433837891,0,0.160498084136692,45057.764
Abronia frosti,1998,Anguidae,3,Neotropic,CR,21.8,Arb,36.3022829263305,1908.47912597656,71.7585754394531,0,0.0283337244429173,45057.764
Abronia fuscolabialis,1944,Anguidae,0,Neotropic,EN,27.9,Arb,881.152178166848,2100.28955078125,39.1547431945801,0,0.129304002522615,1021811.997
Mesaspis gadovii,1913,Anguidae,1,Neotropic,LC,19.8,Ter&Arb,6647.81839955292,2226.78491210938,51.2567672729492,0,0.0312460158297897,1021811.997
Abronia gaiophantasma,1993,Anguidae,0,Neotropic,EN,21.8,Arb,2799.17718311777,1606.93127441406,108.104011535645,0,0.16045250256925,45057.764
Abronia graminea,1864,Anguidae,4,Neotropic,EN,19.2,Arb,2036.6487413084,2610.9267578125,123.2099609375,0,0.303582389367359,1021811.997
Mesaspis juarezi,1987,Anguidae,0,Neotropic,EN,6.3,Ter,284.90292692378,2097.52221679688,7.64291048049927,0,0.0162448975178396,1021811.997
Abronia leurolepis,1993,Anguidae,0,Neotropic,DD,18.6,Arb,121.299850777221,2136.09375,13.8139877319336,0,0.0158665704987344,1021811.997
Abronia lythrochila,1963,Anguidae,1,Neotropic,LC,29.5,Arb,1894.09352341277,2190.9130859375,205.02099609375,3,0.0202197998797007,1021811.997
Abronia martindelcampoi,2003,Anguidae,1,Neotropic,EN,25.5,Arb,1896.41170547039,2133.08837890625,67.6479339599609,0,0.0120751448367318,1021811.997
Abronia matudai,1946,Anguidae,1,Neotropic,EN,21.8,Arb,894.960469514826,2334.25390625,235.541351318359,0,0.00573916968640375,101987.8385
Abronia meledona,1999,Anguidae,0,Neotropic,EN,29.5,Arb,45.4952865070026,2095.73657226563,248.542236328125,0,0.0226805071542502,45057.764
Abronia mitchelli,1982,Anguidae,0,Neotropic,DD,18.6,Arb,232.142505552068,2341.4140625,8.92779064178467,0,0.0143540641205356,1021811.997
Abronia mixteca,1967,Anguidae,2,Neotropic,VU,61.3,Arb,3601.01700630012,2232.98657226563,38.9334754943848,0,0.0204539442686185,1021811.997
Abronia montecristoi,1983,Anguidae,1,Neotropic,EN,12.2,Arb,4680.34021886259,959.073120117188,99.4470596313477,0,0.0111283918132044,6068.004
Mesaspis monticola,1878,Anguidae,2,Neotropic,LC,10,Ter,18638.9646063347,1247.92712402344,200.149612426758,28,0.351905199015795,14946.972
Mesaspis moreletii,1872,Anguidae,4,Neotropic,LC,13.6,Ter,139476.786398657,1101.85119628906,149.124496459961,28,1.4404159897831,23458.4472
Abronia oaxacae,1885,Anguidae,1,Neotropic,VU,27.1,Arb,3396.45879479072,2363.38891601563,33.0256690979004,0,0.0276567986973868,1021811.997
Abronia ochoterenai,1939,Anguidae,0,Neotropic,DD,24.3,Arb,176.521317338411,2117.265625,20.2577819824219,0,0.0161749967891727,376992.9935
Abronia ornelasi,1984,Anguidae,2,Neotropic,DD,14.1,Arb,363.144036668519,1262.47021484375,4.557541847229,0,0.00646698105113413,1021811.997
Abronia ramirezi,1994,Anguidae,0,Neotropic,DD,12.2,Arb,242.281435493834,584.873840332031,31.7257175445557,0,0.0051763769483453,1021811.997
Abronia reidi,1961,Anguidae,0,Neotropic,DD,15.7,Arb,222.654789576469,775.876220703125,21.2785530090332,0,0.0303991776074493,1021811.997
Abronia salvadorensis,1983,Anguidae,0,Neotropic,EN,12.6,Arb,82.4887587212916,1344.26477050781,33.3007164001465,0,0.0127611007464142,16786.033
Abronia smithi,1993,Anguidae,0,Neotropic,LC,21.8,Arb,1998.24972087413,1737.65454101563,41.2922210693359,0,0.005164434128173,1021811.997
Abronia taeniata,1828,Anguidae,3,Neartic,VU,48.1,Arb,7721.610778073,1687.02502441406,60.9115715026856,0,0.00977834760369603,1021811.997
