"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"1","Abrawayaomys chebezi","8.99993042849999","49.0001394006982","349.496030331458","18.4997910414992","16.0000695715003","21.9999994983032","338.500427138913"
"2","Abrawayaomys ruschii","8.0001394195947","56.9999997668106","199.997494306418","14.9998605609994","18.0002783534064","81.9990230330491","49.0030695820691"
"3","Abrocoma bennettii","10.000696165464","47.9991632619967","330.025512144798","21.0005575000022","9.99944215632436","95.992615156644","8.00362388478492"
"4","Abrocoma boliviensis","6.00041786160696","58.0001391790006","190.002507719326","11.000417861607","17.0009747302145","60.9977710939383","151.005014736362"
"5","Abrocoma budini","10.4998607706932","44.9998606683875","490.995825239688","23.4997913228861","13.5001394646943","81.4997911941317","17.5014602177696"
"6","Abrocoma cinerea","12.9998603610006","66.0002087565006","235.996871075746","19.9999999926078","4.50048747359045","110.496448158959","10.00020901144"
"7","Abrocoma famatina","11.9999301228057","51.0000687418069","437.011135571442","23.0000000216932","8.49958318684807","85.5010446031251","15.0002082641865"
"8","Abrocoma shistacea","12.9998607077677","47.999721357383","574.000277075538","26.9998609351519","0.00083666815575187","43.0041775838644","43.0008279887903"
"9","Abrocoma uspallata","11.0004175302345","44.0002778140012","597.999307948407","25.000696172852","-3.99749298690788","59.9974960336616","53.9934539106588"
"10","Abrocoma vaccarum","11.0004175302345","44.0002778140012","597.999307948407","25.000696172852","-3.99749298690788","59.9974960336616","53.9934539106588"
"11","Abrothrix andinus","12.9999992126103","65.9998604689995","277.986629632971","21.9990251577811","3.00055700061031","108.995264444916","10.001531821966"
"12","Abrothrix illutea","10","50.5001380782245","384.002308486576","20.4999306188065","10.5005574900019","93.999928220334","14.0010461591186"
"13","Abrothrix jelskii","11.9988861221747","69.9997214859988","115.003622033728","15.9994432166052","5.00027859157115","93.9951262768027","28.005712047418"
"14","Abrothrix lanosus","5.99999994188435","37.9980526807371","343.997499216867","16.0000001877687","0.000834763258472066","18.0008354681207","117.991101246944"
"15","Abrothrix longipilis","9.00027835493995","40.0007655543607","446.513201242984","22.000696489316","1.99979127487717","41.0002784572983","61.9967283106489"
"16","Abrothrix manni","6.00034804212449","40.5004867403707","269.501472083658","14.0009049504386","7.49993011649889","43.5008339587547","251.510663572338"
"17","Abrothrix olivaceus","9.99916388581051","40.0001391953129","452.512159762273","22.000696489316","2.00041809131099","36.5005570207532","55.9986093662302"
"18","Abrothrix sanborni","2.50090502506443","31.0020184043204","185.515039531976","8.00167099050408","8.99909460924741","35.0007649265025","263.504462731732"
"19","Aconaemys fuscus","11.9997213733797","46.0005562215851","439.017558848615","24.0001393036198","2.00041689858449","86.0012518494841","79.9973548697014"
"20","Aconaemys porteri","8.00055705600223","40.0006961236248","428.016716406994","21.0008357020033","1.00027862662309","66.0006963014907","216.98160091361"
"21","Aconaemys sagei","10.0001393423797","46.9996517295668","387.518978059138","21.5006268431924","3.99979078012004","65.5022960966167","183.98580251976"
"22","Aegialomys galapagoensis","1","18.4993038328613","155.495822556898","5.49986075299917","21.0001392470006","64.4988862018927","90.0082155759508"
"23","Aegialomys xanthaeolus","8","75.9967982278138","79.0072406945683","10.0006962334372","16.9995819636064","90.9919203630469","16.0161575107552"
"24","Aepeomys lugens","7.00013925959636","77.9987462716529","52.9979110872607","10.000000044","23.0004178621888","43.0055715413906","188.968658291453"
"25","Aepeomys reigi","8.00027854489064","73.9995122908271","63.0082884074467","10.5005571440786","23.500348242688","52.5024376470484","140.477643054346"
